client,addrnumber,date_from,nation,langu,remark,operation_flag,is_deleted,recordstamp
800,36536,0001-01-01,,F,,L,False,2021-05-31 22:51:29.087521+00:00
800,7134,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,7131,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,7157,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,7135,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,7158,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,7133,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,13733,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,12086,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,11645,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,11767,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,12125,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,11819,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,12591,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,13107,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,11867,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,34446,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,34448,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,12171,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,11509,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,11612,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,13734,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,12085,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,34447,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,11349,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,6743,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,6951,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,6695,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,11649,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,11449,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,11433,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,6662,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,6684,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,11665,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,16817,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16816,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16827,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16825,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16814,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16813,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16812,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16809,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16818,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16868,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,9110,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,16830,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,6767,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,15869,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,35792,0001-01-01,,Z,,L,False,2021-05-31 22:51:29.087521+00:00
800,6723,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6736,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6745,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6770,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6914,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6921,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6980,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6988,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,6990,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,7059,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,7083,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,8305,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,9467,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,10968,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,11413,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,11647,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
