client,addrnumber,persnumber,comm_type,date_from,consnumber,langu,remark,operation_flag,is_deleted,recordstamp
800,8884,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,13049,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16493,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,17227,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34541,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34594,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37092,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,38376,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9199,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9200,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,25720,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35262,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35267,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35364,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37151,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39090,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,42769,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,43585,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7885,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,12250,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16482,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34559,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34569,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37150,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,43587,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9208,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16540,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34543,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34580,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35277,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37087,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37094,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37145,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8887,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,10166,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,11977,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34552,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37090,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39095,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39100,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,42768,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,43583,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,45072,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9192,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16490,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34519,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34521,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34528,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34536,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34593,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35282,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,5319,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,5373,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9193,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9195,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16406,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16481,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16492,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34529,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35283,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35365,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37106,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,5374,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,6526,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,6672,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7944,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9203,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9205,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16486,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34522,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34539,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34606,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,5371,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,6673,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9090,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9958,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34494,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34586,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35274,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37086,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37093,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,45025,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,2418,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,5376,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7701,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8867,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,12248,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16534,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34549,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34554,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34595,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34597,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35279,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37096,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37143,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37149,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37155,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39094,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,45022,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,3056,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8078,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8234,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8452,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9194,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16479,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,33806,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34598,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35271,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35272,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37135,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39099,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,45524,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,5261,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,11587,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34535,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34564,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34565,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34582,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34588,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34605,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39088,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,45709,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7905,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7913,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34520,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39103,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,2421,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8137,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9211,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16485,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16498,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34534,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35268,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37097,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37098,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39091,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,43584,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7982,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9213,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9930,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,12245,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16488,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16497,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34503,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34583,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35275,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,42766,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7761,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7767,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8885,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,13050,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35286,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35766,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8236,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9191,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34568,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37102,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,43589,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7739,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16407,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16604,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34548,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34581,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35292,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37095,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,6525,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,8886,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9210,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,11585,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34584,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37085,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37101,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37139,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39097,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,46271,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,46790,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34571,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,35290,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37105,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39084,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39092,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9196,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,12271,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,13289,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16480,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,33798,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,33809,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34570,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,45023,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7738,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,7777,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9197,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,9929,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,12075,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,16605,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,34525,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,37147,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,39096,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,44728,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,5369,,FAX,0001-01-01,1,D,,L,False,2021-12-23 14:59:13.298426+00:00
