AUFNR,PLNBEZ,GLTRP,GSTRP,GLTRS,GSTRS,FTRMS,AUFPL
0010000001,0,2024-01-15,2024-01-15,2024-01-15,2024-01-15,2024-01-15,0000000001
0010000002,1,2024-01-22,2024-01-22,2024-01-22,2024-01-22,2024-01-22,0000000002
0010000003,2,2024-01-29,2024-01-29,2024-01-29,2024-01-29,2024-01-29,0000000003
0010000004,3,2024-02-05,2024-02-05,2024-02-05,2024-02-05,2024-02-05,0000000004
0010000005,4,2024-02-12,2024-02-12,2024-02-12,2024-02-12,2024-02-12,0000000005
0010000006,5,2024-02-19,2024-02-19,2024-02-19,2024-02-19,2024-02-19,0000000006
0010000007,6,2024-02-26,2024-02-26,2024-02-26,2024-02-26,2024-02-26,0000000007
0010000008,7,2024-03-04,2024-03-04,2024-03-04,2024-03-04,2024-03-04,0000000008
0010000009,8,2024-03-11,2024-03-11,2024-03-11,2024-03-11,2024-03-11,0000000009
0010000010,9,2024-03-18,2024-03-18,2024-03-18,2024-03-18,2024-03-18,0000000010
