mandt,bukrs,anln1,anln2,anlkl,gegst,anlar,ernam,erdat,aenam,aedat,xloev,xspeb,felei,ktogr,xopvw,anltp,zujhr,zuper,zugdt,aktiv,abgdt,deakt,gplab,bstdt,ord41,ord42,ord43,ord44,anlue,zuawa,aneqk,aneqs,lifnr,land1,liefe,herst,eigkz,aibn1,aibn2,aibdt,urjhr,urwrt,antei,projn,eaufn,meins,menge,typbz,izwek,inken,ivdat,invzu,vmgli,xvrmw,wrtma,ehwrt,aufla,ehwzu,ehwnr,gruvo,grein,grbnd,grblt,grlfd,flurk,flurn,fiamt,stadt,grund,feins,grufl,invnr,vbund,spras,txt50,txa50,xltxid,xverid,xtchid,xkalid,xherid,xleaid,leafi,lvdat,lkdat,leabg,lejar,leper,lryth,legeb,lbasw,lkauf,lmzin,lzins,ltzbw,lkuza,lkuzi,llavb,leanz,lvtnr,letxt,xaktiv,anupd,lblnr,xv0dt,xv0nm,xv1dt,xv1nm,xv2dt,xv2nm,xv3dt,xv3nm,xv4dt,xv4nm,xv5dt,xv5nm,xv6dt,xv6nm,aimmo,objnr,leart,lvors,gdlgrp,posnr,xerwrt,xafabch,xanlgr,mcoa1,xinvm,sernr,umwkz,lrvdat,act_change_pm,has_tddp,last_reorg_date,internal_code,approval_number,approval_version,bogus_anln1,asset_version,operation_flag,is_deleted,recordstamp
800,0005,11000000,1,L1150,,,C5243902,2016-12-01,,,,,1000,00010020,,0,0,0,,,,,,,,,,,,,0,0,,,,,1.0,,,,0,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Errichtung eines Zwischenlagers,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2016-12-01,C5243902,,,,,,,,,,,1,,,,,0,,Y,,ERRICHTUNG EINES ZWISCHENLAGER,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,0005,11000000,2,L1150,,,C5243902,2016-12-01,,,,,1000,00010020,,0,0,0,,,,,,,,,,,,,0,0,,,,,1.0,,,,0,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Errichtung eines Zwischenlagers,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2016-12-01,C5243902,,,,,,,,,,,1,,,,,0,,Y,,ERRICHTUNG EINES ZWISCHENLAGER,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,1139,0,00001000,,,D044055,2006-10-27,,,,,1000,00010000,,0,0,0,,2005-10-31,,,,,,,,,,,0,0,,,,,1.0,,,,0,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Land Garage Campus 1,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2006-10-27,D044055,,,,,,,,,,,1,,,,,0,,Y,,LAND GARAGE CAMPUS 1,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,1140,0,00001000,,,D044055,2006-10-27,,,,,1000,00010000,,0,0,0,,2005-01-01,,,,,,,,,,,0,0,,,,,1.0,,,,0,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Land Office Building Campus_1,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2006-10-27,D044055,,,,,,,,,,,1,,,,,0,,Y,,LAND OFFICE BUILDING CAMPUS_1,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,1153,0,00001000,,,I841222,2015-12-22,,,,,1000,00010000,,0,0,0,,,,,,,,,,,,,0,0,,,,,1.0,,,,0,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Insert Description,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2015-12-22,I841222,,,,,,,,,,,1,,,,,0,,Y,,INSERT DESCRIPTION,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,1151,0,00001100,,,I065656,2012-10-22,,,,,1100,00010000,,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Building asset-SAP,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2012-10-22,I065656,,,,,,,,,,,1,,,,,0,,Y,,BUILDING ASSET-SAP,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,1152,0,00001100,,,I065656,2012-10-22,,,,,1100,00010000,,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Building asset-SAP,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2012-10-22,I065656,,,,,,,,,,,1,,,,,0,,Y,,BUILDING ASSET-SAP,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,1136,0,00001100,,,I013793,2006-09-22,,,,,1100,00010000,,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,gas control station,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2006-09-22,I013793,,,,,,,,,,,1,,,,,0,,Y,,GAS CONTROL STATION,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,1141,0,00001100,,,D044055,2006-10-27,,,,,1100,00010000,,0,0,0,,2006-01-01,,,,,,,,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Building 1 Campus 1,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2006-10-27,D044055,,,,,,,,,,,1,,,,,0,,Y,,BUILDING 1 CAMPUS 1,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,SL01,2000,0,00002000,,,D000145,2006-07-07,,,,,2000,00020000,,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Container Dry 20  - own -,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,2006-07-07,D000145,,,,,,,,,,,0,,,,,0,,Y,,CONTAINER DRY 20  - OWN -,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
