AUFNR,AUART,ERDAT,ERNAM,WERKS,MATNR,GAMNG,GLTRP,GSTRP,OBJNR
0010000001,TA,2024-01-15,USER01,1000,0010000001,100.0,2024-01-15,2024-01-15,0010000001
0010000002,TAS,2024-01-22,USER02,1100,0010000002,250.5,2024-01-22,2024-01-22,0010000002
0010000003,OR,2024-01-29,ADMIN,1200,0010000003,88.25,2024-01-29,2024-01-29,0010000003
0010000004,TA,2024-02-05,USER03,1300,0010000004,300.0,2024-02-05,2024-02-05,0010000004
0010000005,TAS,2024-02-12,USER04,1000,0010000005,175.75,2024-02-12,2024-02-12,0010000005
0010000006,OR,2024-02-19,USER01,1100,0010000006,60.0,2024-02-19,2024-02-19,0010000006
0010000007,TA,2024-02-26,USER02,1200,0010000007,430.0,2024-02-26,2024-02-26,0010000007
0010000008,TAS,2024-03-04,ADMIN,1300,0010000008,95.5,2024-03-04,2024-03-04,0010000008
0010000009,OR,2024-03-11,USER03,1000,0010000009,210.0,2024-03-11,2024-03-11,0010000009
0010000010,TA,2024-03-18,USER04,1100,0010000010,540.0,2024-03-18,2024-03-18,0010000010
