mandt,bukrs,belnr,gjahr,blart,bldat,budat,monat,cpudt,cputm,aedat,upddt,wwert,usnam,tcode,bvorg,xblnr,dbblg,stblg,stjah,bktxt,waers,kursf,kzwrs,kzkrs,bstat,xnetb,frath,xrueb,glvor,grpid,dokid,arcid,iblar,awtyp,awkey,fikrs,hwaer,hwae2,hwae3,kurs2,kurs3,basw2,basw3,umrd2,umrd3,xstov,stodt,xmwst,curt2,curt3,kuty2,kuty3,xsnet,ausbk,xusvr,duefl,awsys,txkrs,ctxkrs,lotkz,xwvof,stgrd,ppnam,ppdat,pptme,pptcod,brnch,numpg,adisc,xref1_hd,xref2_hd,xreversal,reindat,rldnr,ldgrp,propmano,xblnr_alt,vatdate,doccat,xsplit,cash_alloc,follow_on,xreorg,subset,kurst,kursx,kur2x,kur3x,xmca,resubmission,sapf15_status,psoty,psoak,psoks,psosg,psofn,intform,intdate,psobt,psozl,psodt,psotm,fm_umart,ccins,ccnum,ssblk,batch,sname,sampled,exclude_flag,blind,offset_status,offset_refer_dat,penrc,knumv,pybastyp,pybasno,pybasdat,pyiban,inwardno_hd,inwarddt_hd,operation_flag,is_deleted,recordstamp
50,C001,100000004,2022,SA,2022-02-07,2022-02-07,2,2022-02-07,14:37:36,,,2022-02-07,APARAMESWARA,FB01,,,,100000005.0,2022.0,,USD,,,,,,,,RFBU,,,,,BKPF,0100000004C0012022,,USD,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-07 14:50:39.752110+00:00
50,C005,1400000000,2022,DZ,2022-02-02,2022-02-02,2,2022-02-02,11:07:54,,,2022-02-02,APARAMESWARA,FBZ1,,,,1600000000.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1400000000C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-18 10:51:40.219608+00:00
50,C005,1400000001,2022,DZ,2022-02-02,2022-02-02,2,2022-02-02,11:13:14,,,2022-02-02,APARAMESWARA,FBZ1,,,,1600000001.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1400000001C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-18 10:53:32.298469+00:00
50,C001,100000005,2022,AB,2022-02-07,2022-02-07,2,2022-02-07,14:50:38,,,2022-02-07,APARAMESWARA,FB08,,,,100000004.0,2022.0,,USD,,,,,,,,RFBU,,,,,BKPF,0100000005C0012022,,USD,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-07 14:50:39.752110+00:00
50,C005,1600000000,2022,DA,2022-02-02,2022-02-02,2,2022-02-18,10:51:39,,,2022-02-02,APARAMESWARA,FB08,,,,1400000000.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1600000000C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-18 10:51:40.219608+00:00
50,C005,1600000001,2022,DA,2022-02-02,2022-02-02,2,2022-02-18,10:53:31,,,2022-02-02,APARAMESWARA,FB08,,,,1400000001.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1600000001C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-18 10:53:32.298469+00:00
100,C001,100000004,2022,SA,2022-02-07,2022-02-07,2,2022-02-07,14:37:36,,,2022-02-07,APARAMESWARA,FB01,,,,100000005.0,2022.0,,USD,,,,,,,,RFBU,,,,,BKPF,0100000004C0012022,,USD,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:41:24.593454+00:00
100,C001,100000005,2022,AB,2022-02-07,2022-02-07,2,2022-02-07,14:50:38,,,2022-02-07,APARAMESWARA,FB08,,,,100000004.0,2022.0,,USD,,,,,,,,RFBU,,,,,BKPF,0100000005C0012022,,USD,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:41:24.593454+00:00
100,C005,1400000000,2022,DZ,2022-02-02,2022-02-02,2,2022-02-02,11:07:54,,,2022-02-02,APARAMESWARA,FBZ1,,,,1600000000.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1400000000C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:41:29.653017+00:00
100,C005,1400000001,2022,DZ,2022-02-02,2022-02-02,2,2022-02-02,11:13:14,,,2022-02-02,APARAMESWARA,FBZ1,,,,1600000001.0,2022.0,,JPY,,,,,,,,RFBU,,,,,BKPF,1400000001C0052022,,JPY,,,,,,,,,,,,,,,,X,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:41:29.653017+00:00
