MANDT,BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,QSSKZ,DMBTR,WRBTR,KZBTR,PSWBT,PSWSL,TXBHW,TXBFW,MWSTS,WMWST,HWBAS,FWBAS,HWZUZ,FWZUZ,SHZUZ,STEKZ,MWART,TXGRP,KTOSL,QSSHB,KURSR,GBETR,BDIFF,BDIF2,VALUT,ZUONR,SGTXT,ZINKZ,VBUND,BEWAR,ALTKT,VORGN,FDLEV,FDGRP,FDWBT,FDTAG,FKONT,KOKRS,KOSTL,PROJN,AUFNR,VBELN,VBEL2,POSN2,ETEN2,ANLN1,ANLN2,ANBWA,BZDAT,PERNR,XUMSW,XHRES,XKRES,XOPVW,XCPDD,XSKST,XSAUF,XSPRO,XSERG,XFAKT,XUMAN,XANET,XSKRL,XINVE,XPANZ,XAUTO,XNCOP,XZAHL,SAKNR,HKONT,KUNNR,LIFNR,FILKD,XBILK,GVTYP,HZUON,ZFBDT,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,SKFBT,SKNTO,WSKTO,ZLSCH,ZLSPR,ZBFIX,HBKID,BVTYP,NEBTR,MWSK1,DMBT1,WRBT1,MWSK2,DMBT2,WRBT2,MWSK3,DMBT3,WRBT3,REBZG,REBZJ,REBZZ,REBZT,ZOLLT,ZOLLD,LZBKZ,LANDL,DIEKZ,SAMNR,ABPER,VRSKZ,VRSDT,DISBN,DISBJ,DISBZ,WVERW,ANFBN,ANFBJ,ANFBU,ANFAE,BLNBT,BLNKZ,BLNPZ,MSCHL,MANSP,MADAT,MANST,MABER,ESRNR,ESRRE,ESRPZ,KLIBT,QSZNR,QBSHB,QSFBT,NAVHW,NAVFW,MATNR,WERKS,MENGE,MEINS,ERFMG,ERFME,BPMNG,BPRME,EBELN,EBELP,ZEKKN,ELIKZ,VPRSV,PEINH,BWKEY,BWTAR,BUSTW,REWRT,REWWR,BONFB,BUALT,PSALT,NPREI,TBTKZ,SPGRP,SPGRM,SPGRT,SPGRG,SPGRV,SPGRQ,STCEG,EGBLD,EGLLD,RSTGR,RYACQ,RPACQ,RDIFF,RDIF2,PRCTR,XHKOM,VNAME,RECID,EGRUP,VPTNR,VERTT,VERTN,VBEWA,DEPOT,TXJCD,IMKEY,DABRZ,POPTS,FIPOS,KSTRG,NPLNR,AUFPL,APLZL,PROJK,PAOBJNR,PASUBNR,SPGRS,SPGRC,BTYPE,ETYPE,XEGDR,LNRAN,HRKFT,DMBE2,DMBE3,DMB21,DMB22,DMB23,DMB31,DMB32,DMB33,MWST2,MWST3,NAVH2,NAVH3,SKNT2,SKNT3,BDIF3,RDIF3,HWMET,GLUPM,XRAGL,UZAWE,LOKKT,FISTL,GEBER,STBUK,TXBH2,TXBH3,PPRCT,XREF1,XREF2,KBLNR,KBLPOS,STTAX,FKBER,OBZEI,XNEGP,RFZEI,CCBTC,KKBER,EMPFB,XREF3,DTWS1,DTWS2,DTWS3,DTWS4,GRICD,GRIRG,GITYP,XPYPR,KIDNO,ABSBT,IDXSP,LINFV,KONTT,KONTL,TXDAT,AGZEI,PYCUR,PYAMT,BUPLA,SECCO,LSTAR,CESSION_KZ,PRZNR,PPDIFF,PPDIF2,PPDIF3,PENLC1,PENLC2,PENLC3,PENFC,PENDAYS,PENRC,GRANT_NBR,SCTAX,FKBER_LONG,GMVKZ,SRTYPE,INTRENO,MEASURE,AUGGJ,PPA_EX_IND,DOCLN,SEGMENT,PSEGMENT,PFKBER,HKTID,KSTAR,XLGCLR,TAXPS,PAYS_PROV,PAYS_TRAN,MNDID,XFRGE_BSEG,SQUAN,ACROBJTYPE,ACROBJ_ID,ACRSOBJ_ID,ACRITMTYPE,VALOBJTYPE,VALOBJ_ID,VALSOBJ_ID,RE_BUKRS,RE_ACCOUNT,PGEBER,PGRANT_NBR,BUDGET_PD,PBUDGET_PD,J_1TPBUPL,PEROP_BEG,PEROP_END,FASTPAY,IGNR_IVREF,FMFGUS_KEY,FMXDOCNR,FMXYEAR,FMXDOCLN,FMXZEKKN,PRODPER,GST_PART,PLC_SUP,HSN_SAC,IRN,RECRF,INWARD_NO,INWARD_DT,GROUND_NO,GROUND_DT,GROUND_TYP,PYMTKEY,OPERATION_FLAG,IS_DELETED,RECORDSTAMP,WAERS
100,C003,5105600151,2022,2,S,,,,81,S,,,,S,1.0,,P1,,300.0,300.0,,300.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-24,450000003500010.0,,,,,,RMRP,,,,,,C001,,,,,6953.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000069,3000.0,3.0,EA,3.0,EA,3.0,EA,4500000035.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01ELHC02,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,238.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,EUR
50,C003,5105600143,2022,2,S,,,,81,S,,,,S,1.0,,P1,,600.0,600.0,,600.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-24,450000003400010.0,,,,,,RMRP,,,,,,C001,,,,,6953.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000016,3000.0,5.0,EA,5.0,EA,5.0,EA,4500000034.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PGPC01,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,476.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,USD
100,C003,5105600152,2022,2,S,,,,81,S,,,,S,1.0,,P1,,550.0,550.0,,550.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-24,450000003600010.0,,,,,,RMRP,,,,,,C001,,,,,6954.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000017,3000.0,5.0,EA,5.0,EA,5.0,EA,4500000036.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PGPC02,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,436.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,EUR
100,C003,5105600153,2022,2,S,,,,81,S,,,,S,1.0,,P1,,360.0,360.0,,360.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-25,450000003900010.0,,,,,,RMRP,,,,,,C001,,,,,6957.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000034,3000.0,3.0,EA,3.0,EA,3.0,EA,4500000039.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PSFD02,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,285.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,GBP
100,C003,5105600154,2022,2,S,,,,81,S,,,,S,1.0,,P1,,480.0,480.0,,480.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-25,450000004000010.0,,,,,,RMRP,,,,,,C001,,,,,6958.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000034,3000.0,4.0,EA,4.0,EA,4.0,EA,4500000040.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PSFD02,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,380.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,EUR
100,C003,5105600155,2022,2,S,,,,81,S,,,,S,1.0,,P1,,600.0,600.0,,600.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-25,450000003800010.0,,,,,,RMRP,,,,,,C001,,,,,6956.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000034,3000.0,5.0,EA,5.0,EA,5.0,EA,4500000038.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PSFD02,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,476.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,USD
100,C003,5105600156,2022,2,S,,,,81,S,,,,S,1.0,,P1,,420.0,420.0,,420.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-25,450000003700010.0,,,,,,RMRP,,,,,,C001,,,,,6955.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000018,3000.0,4.0,EA,4.0,EA,4.0,EA,4500000037.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PGPC03,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,333.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,EUR
100,C003,5105600157,2022,2,S,,,,81,S,,,,S,1.0,,P1,,315.0,315.0,,315.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-25,450000004100010.0,,,,,,RMRP,,,,,,C001,,,,,6959.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000039,3000.0,3.0,LB,3.0,LB,3.0,LB,4500000041.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PSFD07,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,249.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,EUR
100,C003,5105600158,2022,2,S,,,,81,S,,,,S,1.0,,P1,,400.0,400.0,,400.0,CAD,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-25,450000004200010.0,,,,,,RMRP,,,,,,C001,,,,,6960.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000040,3000.0,4.0,LB,4.0,LB,4.0,LB,4500000042.0,10.0,1.0,,,,3000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,CA01PSFD08,,,,,,,,,,CA00,,,,,,,,,,,,,,,,,,,317.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,EUR
100,C004,5105600159,2022,2,S,,,,81,S,,,,S,1.0,,V1,,480.0,480.0,,480.0,EUR,,,,,,,,,,,,1.0,KBS,,,,,,2022-04-25,450000004400010.0,,,,,,RMRP,,,,,,C001,,,,,6962.0,10.0,,,,,,,,,X,,,,,,,,,,,,,,,,,500010,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0000016,4000.0,4.0,EA,4.0,EA,4.0,EA,4500000044.0,10.0,1.0,,,,4000.0,,RE02,,,,,,,,,,,,,,,,,,,,,,EU01PGPC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:07.788536+00:00,USD
