mandt,kokrs,kostl,datbi,datab,bkzkp,pkzkp,bukrs,gsber,kosar,verak,verak_user,waers,kalsm,txjcd,prctr,werks,logsystem,ersda,usnam,bkzks,bkzer,bkzob,pkzks,pkzer,vmeth,mgefl,abtei,nkost,kvewe,kappl,koszschl,land1,anred,name1,name2,name3,name4,ort01,ort02,stras,pfach,pstlz,pstl2,regio,spras,telbx,telf1,telf2,telfx,teltx,telx1,datlt,drnam,khinr,cckey,kompl,stakz,objnr,funkt,afunk,cpi_templ,cpd_templ,func_area,sci_templ,scd_templ,ski_templ,skd_templ,vname,recid,etype,jv_otype,jv_jibcl,jv_jibsa,ferc_ind,operation_flag,is_deleted,recordstamp
50,0001,MAHI,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-10 06:44:39.410045+00:00
800,CP,CP1000,9999-12-31,2002-01-01,,,CPFO,,G,John Smith,,USD,,,,,,2002-08-19,PTABI_SAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CP1,,X,,KSCP  CP1000,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,CP,CP1010,9999-12-31,2002-01-01,,,CPBV,,G,John Smith,,USD,,,,,,2007-10-16,GUSKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CP1,,X,,KSCP  CP1010,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,S300,S-3310,9999-12-31,1998-01-01,,,S300,,7,Herr Knudson,,USD,,,0000003020,,,1999-04-23,KNUDSEN,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3300,,X,,KSS300S-3310,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,S300,S-3410,9999-12-31,1998-01-01,,,S300,,7,Frau Albert,,USD,,,0000003030,,,1999-04-23,KNUDSEN,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3400,,X,,KSS300S-3410,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,S300,S-3510,9999-12-31,1998-01-01,,,S300,,7,Frau Miller,,USD,,,0000003040,,,1999-04-23,KNUDSEN,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3500,,X,,KSS300S-3510,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,S300,S-3610,9999-12-31,1998-01-01,,,S300,,7,Herr Sanchez,,USD,,,0000003050,,,1999-04-23,KNUDSEN,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3600,,X,,KSS300S-3610,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,S300,S-3710,9999-12-31,1998-01-01,,,S300,,7,Herr Finder,,USD,,,0000003060,,,1999-04-23,KNUDSEN,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3700,,X,,KSS300S-3710,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,4300,0000410000,9999-12-31,2010-01-01,,,4300,4000,1,Busch,,INR,,,0000001000,,,2013-06-27,C5188816,,,,,,,X,Tech' Dep't,,,,,,,,,,,,,,,,,,,,,,,,,,,H43,,X,,KS43000000410000,,,,,100.0,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
800,7600,0000001000,9999-12-31,2012-01-01,,,7600,7000,1,Raúl Molteni,,COP,,,,,,2012-10-29,I812053,,,,,,,,Tech' Dep't,,,,,,,,,,,,,,,,,,,,,,,,,,,H7600,,X,,KS76000000001000,,,,,,,,,,,,,,,,,L,False,2021-07-27 03:10:41.174365+00:00
