mandt,spras,kokrs,kostl,datbi,ktext,ltext,mctxt,operation_flag,is_deleted,recordstamp
800,P,2200,0000002100,2009-12-31,Finanças & Admin.,Finanças & Administração,,L,False,2021-07-27 03:11:02.714509+00:00
800,S,2200,0000002100,2009-12-31,Finanzas y Gestión,Finanzas y Gestión,,L,False,2021-07-27 03:11:02.714509+00:00
800,D,2200,0000002100,2009-12-31,Finanzen und Admin.,Finanzen & Administration,,L,False,2021-07-27 03:11:02.714509+00:00
800,J,2200,0000002100,2009-12-31,財務会計および管理,財務会計および管理,,L,False,2021-07-27 03:11:02.714509+00:00
800,R,2200,0000002100,2009-12-31,Бухгалт. и админист.,Финансы & администрирование,,L,False,2021-07-27 03:11:02.714509+00:00
800,W,5000,0000003100,2009-12-31,Sales,Sales,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,6,5000,0000003100,2009-12-31,Sales,Sales,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,5,5000,0000003100,2009-12-31,Sales,Sales,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,d,5000,0000003100,2009-12-31,Sales,Sales,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,E,5000,0000003100,2009-12-31,Sales,Sales,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,4,5000,0000003100,2009-12-31,Sales,Sales,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,G,5000,0000003100,2009-12-31,Sales,Sales,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,1,5000,0000003100,2009-12-31,销售,销售,SALES,L,False,2021-07-27 03:11:02.714509+00:00
800,J,5000,0000003100,2009-12-31,販売管理,売上,営業,L,False,2021-07-27 03:11:02.714509+00:00
800,R,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,W,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,d,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,6,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,G,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,1,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,4,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,E,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,S,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,5,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,P,2800,0000283010,2009-12-31,CFO office,CFO Office,CFO OFFICE,L,False,2021-07-27 03:11:02.714509+00:00
800,F,2800,0000283010,2009-12-31,CFO office,CFO Office,Bureau du DAF,L,False,2021-07-27 03:11:02.714509+00:00
800,F,2200,0000002100,2009-12-31,Finance & Admin.,Comptabilité,COMPTABILITÉ,L,False,2021-07-27 03:11:02.714509+00:00
800,E,2200,0000002100,2009-12-31,Finance & Admin.,Finance & Administration,FINANCE & ADMIN.,L,False,2021-07-27 03:11:02.714509+00:00
800,1,2200,0000002100,2009-12-31,Finance & Admin.,Finance & Administration,FINANCE & ADMIN.,L,False,2021-07-27 03:11:02.714509+00:00
800,F,5000,0000003100,2009-12-31,Ventes,Ch. aff.,VENTE ASCENSEURS,L,False,2021-07-27 03:11:02.714509+00:00
800,P,5000,0000003100,2009-12-31,Vendas+Distribuição,Faturamento,VENDAS ELEVADORES,L,False,2021-07-27 03:11:02.714509+00:00
800,S,5000,0000003100,2009-12-31,Volumen de negocios,Volumen de negocios,VENTAS DE ASCENSORES,L,False,2021-07-27 03:11:02.714509+00:00
