tabname,fieldname,as4local,as4vers,position,keyflag,mandatory,rollname,checktable,adminfield,inttype,intlen,reftable,precfield,reffield,conrout,notnull,datatype,leng,decimals,domname,shlporigin,tabletype,depth,comptype,reftype,languflag,dbposition,anonymous,outputstyle
TKKVVKKM,FDNAM,A,,2,X,,FDNAM,*,0,C,30,,,,,X,CHAR,30,,FDNAME,,,,E,,,,,
MCHX_BINCO_BADI,ADD_CHAR06,A,,6,,,CHAR30,,0,C,30,,,,,,CHAR,30,,CHAR30,,,,E,,,,,
VV_T511K_NV_RVPRZ,KOTXT,A,,7,,,TEXT30,,0,C,60,,,,,,CHAR,30,,TEXT30,,,,E,,,,,
RSD_S_DELTAPAIR,PLANPART,A,,1,,,RSINFOPROV,,0,C,30,,,,,,CHAR,30,,RSINFOPROV,D,,,E,,,,,
PJP_FWS_REQ_HEADER,USER,A,,85,,,SYSID,,0,C,60,,,,,,CHAR,30,,CHAR30,,,1.0,E,,,,,
UMB_SC190,ICHANM,A,,8,,,UMC_Y_ICHANM,,1,C,60,,,,,,CHAR,30,,UMC_D_ICHANM,,,,E,,,,,
FSBP_FSCAA_STR_FIELD_INFO,DYNPFIELD,A,,5,,,BU_DYNPFLD,,0,C,30,,,,,,CHAR,30,,BU_FELDNM,,,,E,,,,,
ICH_PHONE_NUMBER,SUBSCRIBER_ID,A,,3,,,ICH_PHONE_NUMBER_SUBSCRIBER_ID,,0,C,30,,,,,,CHAR,30,,,,,,E,,,,,
GHO_S_SP_ALLOC_MC_STDQTY_DET,GHO_OBJ_ID,A,,20,,,GHO_NETOBJ_ID,*,2,C,60,,,,,,CHAR,30,,TPLNR,,,,E,,,,,
POC_DB_SIG_HANDL,SIG_CLASS,A,,6,,,SEOCLSNAME,,0,C,30,,,,,,CHAR,30,,SEOCLSNAME,,,,E,,,,,
RSUICDONE,SELUPDIC,A,,5,,,RSINFOCUBE,,0,C,30,,,,,X,CHAR,30,,RSINFOCUBE,,,,E,,,,,
IPC_COMT_CUCFG,KBVERSION,A,,7,,,IPC_COMT_KBVERSION,,1,C,30,,,,,,CHAR,30,,CHAR30,,,,E,,,,,
TDS_GAF_EWB_PREDEF,ROLLNAME,A,,11,,,ROLLNAME,DD04L,1,C,60,,,,,,CHAR,30,,ROLLNAME,X,,,E,,,,,
FVD_PL_PROD_TYPE_PER_CC,PROD_TYPE_LTX,A,,4,,,TEXT30,,0,C,60,,,,,,CHAR,30,,TEXT30,,,,E,,,,,
TDATAGROUPS,PROCESS,A,,3,,,CATT_PROCESS,TCHAINS,0,C,30,,,,,X,CHAR,30,,TWB_NAME,P,,,E,,,,,
RPARTCPOIMAIN,TEL_NUMBERUSR,A,,284,,,AD_TLNMBR1,,1,C,60,,,,,,CHAR,30,,CHAR30,,,,E,,,,,
HCMT_BSP_PA_FI_R0033,TXT06,A,,58,,,AUSTXT,,0,C,60,,,,,,CHAR,30,,TEXT30,,,,E,,,,,
T7BREFD_JOB,JOB_CODE,A,,9,,,HRPADBR_JOB_CODE,,0,C,60,,,,,X,CHAR,30,,CHAR30,,,,E,,,,,
MMPURUI_DETAIL_COMPONENTS_STY,INTERFACE_VIEW,A,,3,,,MMPURUI_WD_VIEW,,0,C,30,,,,,,CHAR,30,,,,,,E,,,,,
BAPI_RE_RENTAL_OBJECT,NEIGHBORHOOD_03,A,,55,,,REBDNEIGHBORHOOD,,0,C,60,,,,,,CHAR,30,,REBDNEIGHBORHOOD,,,,E,,,,,
P01P_PBSZV_ST,ABMEL,A,,3,,,P01P_PBSZV_STRUCTURE_NAME,DD02L,1,C,30,,,,,,CHAR,30,,AS4TAB,P,,,E,,,,,
V_TJKSDCICORDUSG,TEXT,A,,3,,,BEZEI30,,0,C,60,,,,,,CHAR,30,,TEXT30,,,,E,,,,,
ROXBY30123,ACCESS_OBJECT,A,,33,,,PAK_ACCESS_OBJECT,,0,C,30,,,,,,CHAR,30,,,,,,E,,,,,
VSSFW_0007,BFUNCTION,A,,1,,,,,0,C,30,,,,,,CHAR,30,,,,,,,,,,,
PBR_FORM_RSC_HEADER,EMPRESA,A,,1,,,NAME1,,0,C,60,,,,,,CHAR,30,,TEXT30,,,,E,,,,,
CKF_GUI_KIS1,WERKSTEXT,A,,204,,,NAME1,,2,C,60,,,,,,CHAR,30,,TEXT30,,,,E,,,,,
RSMPE_FUNT,SFW_SWITCHID,A,,15,,,SFW_SWITCHID,*,1,C,30,,,,,,CHAR,30,,SFW_SWITCHID,D,,,E,,,,,
RJHANZDRV,TA_TELX,A,,45,,,DRV_FAX,,0,C,30,,,,,,CHAR,30,,TEXT30,,,,E,,,,,
TIVCN05T,RECNXRELOBL,A,,3,,,VVXMVARTINTL,,0,C,30,,,,,,CHAR,30,,VVXMVARTINTL,,,,E,,,,,
PIVB_CALC_KF_T,REPORT_SCENARIO,A,,3,X,,PIVB_REPORT_SCENARIO,,0,C,60,,,,,X,CHAR,30,,PIVB_REPORT_SCENARIO,,,,E,,,,,
CSIM_ST_HEADER_MATERIAL,ATWRT83,A,,698,,,ATWRT,,1,C,60,,,,,,CHAR,30,,ATWRT,,,,E,,,,,
SCUSTOMER_IDE,CLBRG,A,,94,,,BU_CLBRG,,4,C,60,,,,,,CHAR,30,,CHAR30,,,,E,,,,,
V_TFK090_MENU,ENTRY_MODULE,A,,4,,,FKK_MAD_MENU_MODULE,TFDIR,0,C,60,,,,,,CHAR,30,,FUNCNAME,P,,,E,,,,,
VTI_FUSKO,XKOARTL,A,,54,,,XKOARTL,,0,C,60,,,,,,CHAR,30,,XMBEZ,,,,E,,,,,
MSDSQLPERF,COUNTER4,A,,5,,,,,0,N,30,,,,,,NUMC,30,,,,,,,,,,,
PIQPROC_AUD1,RUNID,A,,5,,,PIQAUDR_ID,,1,C,32,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
CMS_STR_RIG_AST_MAP_CRT,OBJECT_TYP,A,,1,,,CMS_DTE_OBJ_TYP,,0,C,64,,,,,,CHAR,32,,CMS_OBJ_TYP,,,,E,,,,,
WB2_TRO_CANC_REQU_MSG,CONTENT,A,,45,,,EAGLT_CONTCT_PERS_INTERN_ID_CT,,0,C,64,,,,,,CHAR,32,,,,,4.0,E,,,,,
UMB_YS_INITIATIVE,RFCDEST,A,,12,,,UMC_Y_RFCDEST,*,2,C,64,,,,,,CHAR,32,,RFCDEST,D,,,E,,,,,
HRGB_EFO_EYU_OUT_GOV_15_M,CLASS,A,,7,,,HR_GB_EFO_EYU_OUT_15_CLASS,,0,C,64,,,,,,CHAR,32,,,,,2.0,E,,,,,
P01EL_DBGB,GUID,A,,2,X,,P01_SVGUID,,0,C,64,,,,,X,CHAR,32,,SYSUUID_C,,,,E,,,,,
RCF_S_MDL_CAND_RSM_ATTACHMENT,ATT_GUID,A,,27,,,RCF_ATT_GUID,,2,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
SWLN3TCMPAV,COMPONENT,A,,1,,,SWLN3CMPNM,,0,C,32,,,,,,CHAR,32,,TEXT32,,,,E,,,,,
HRTMC_S_DR_FIELD_BADI_INFO,BADI_FIELD_NAME,A,,3,,,HRTMC_DR_BADI_FIELD,*,0,C,32,,,,,,CHAR,32,,HRTMC_DR_FIELD_NAME,,,,E,,,,,
RN1CC_EDRUG,DRUG_MASTER_ID,A,,3,,,N1ME_DRUGID,,1,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
SXMSCONF_DEFAULTS_S,DOCU,A,,1,,,CHAR32,,0,C,32,,,,,,CHAR,32,,CHAR32,,,,E,,,,,
CRMC_UI_FRW_HDR,GF_COMP_ID,A,,7,,,CRMT_UI_FRW_GF_CMP_ID,CRMC_UI_FRW_CP,0,C,32,,,,,,CHAR,32,,CRMT_UI_FRM_CMP_ID,P,,,E,,,,,
MDG_MAT_MATL_ERPRPLCT_REQ_MSG,CONTENT,A,,45,,,MDGCO_CONTACT_PERSON_INTERNAL,,0,C,64,,,,,,CHAR,32,,,,,4.0,E,,,,,
TTED_REPFLDS_COM,DOCUMENTNAME,A,,3,X,,TTET_DOCNAME_COM,*,0,C,32,,,,,X,CHAR,32,,TTET_DOCNAME_COM,,,,E,,,,,
CNVMBTPCLSTRUCRF,DESTINATION_ID,A,,3,,,RFCDEST,*,0,C,64,,,,,,CHAR,32,,RFCDEST,D,,,E,,,,,
DML_ST_TEXT_KEY_DELIVERY,OWNER,A,,1,,,DML_OWNER2,,0,C,32,,,,,,CHAR,32,,DML_OWNER2,,,,E,,,,,
HRDESV_DS_S_DSME_V03,DSID,A,,41,,,P01_SVDSID,,0,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
SAPPLCO_PURGDOC_AN_PURGRP_PTY,CONTENT,A,,6,,,SAPPLCO_PARTY_INTERNAL_ID_CONT,,0,C,64,,,,,,CHAR,32,,,,,1.0,E,,,,,
V_OXT_TASKLINK,EXTENSIONID,A,,2,X,,OXT_EXTENSIONID,,0,C,32,,,,,,CHAR,32,,OXT_GUID,,,,E,,,,,
SAPPLSEFPURCHASEREQ_I_CHG_C,VALUE,A,,158,,,SAPPLSEF_PARTY_INTERNAL_ID_CON,,0,C,64,,,,,,CHAR,32,,,,,2.0,E,,,,,
FDT_INC_ADMN_0030_DATA,OVERS_ID,A,,9,,,FDT_VERSION_UUID,,0,C,32,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
T77RCF_TRANS_ACT,ACTIVITY_GUID,A,,2,X,,RCF_ACT_GUID,,0,C,64,,,,,X,CHAR,32,,SYSUUID_C,,,,E,,,,,
WGDS_TRADE_ITEM_CATALOGUE_STY,CONTENT,A,,437,,,RDM_PARTY_INTERNAL_IDCONTENT,,0,C,64,,,,,,CHAR,32,,,,,2.0,E,,,,,
RMSAS_STD_CALC,ITEM,A,,1,,,RMSAE_ID,,0,C,32,,,,,,CHAR,32,,RMSAD_ID,,,,E,,,,,
ICL_BW_WCMPDS,WCMPH_SEQNUM,A,,6,,,ICL_WCMP_SEQNUM,,1,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
BDSLORE16,REP2_ID,A,,6,,,SDOK_DOCID,,0,C,32,,,,,X,CHAR,32,,SDOK_DOCID,,,,E,,,,,
SPROLOPR,OBJECT_ID,A,,1,X,,SDOK_DOCID,,0,C,32,,,,,X,CHAR,32,,SDOK_DOCID,,,,E,,,,,
FDT_INC_ACTN_6000_DATA,MSG_PARAM_3,A,,10,,,FDT_UUID,,0,C,32,,,,,,CHAR,32,,SYSUUID_C,D,,,E,,,,,
SAPPLCO_CUST_QTE_ERPBY_IDRSP57,CONTENT,A,,11,,,SAPPLCO_PARTY_INTERNAL_ID_CONT,,0,C,64,,,,,,CHAR,32,,,,,1.0,E,,,,,
OIUY3_TX_RPSM,PROP_ALIAS_NAME,A,,9,,,OIUY3_TX_GLO_PROP_ALIAS_NAME,,0,C,64,,,,,,CHAR,32,,,,,,E,,,,,
SAPPLCO_SLS_ORD_ERPCRTE_CK_R40,CONTENT,A,,6,,,SAPPLCO_PARTY_INTERNAL_ID_CONT,,0,C,64,,,,,,CHAR,32,,,,,1.0,E,,,,,
T77TMCKWGRPHREPR,OBJECT_ID,A,,2,X,,SDOK_REID,T77TMCKWGRPHF,0,C,32,,,,,X,CHAR,32,,SDOK_DOCID,P,,,E,,,,,
DTINF_S_INTEL_OUTPUT_INTERNAL,FIELDS_GUID,A,,7,,,SYSUUID_C32,,0,C,64,,,,,,CHAR,32,,SYSUUID_C32,,,,E,,,,,
FKK_MD_S_MASTERDATA,DATA4,A,,36,,,CDATA_KK,,0,C,64,,,,,,CHAR,32,,CDATA_KK,,,1.0,E,,,,,
ALRFCTACRE,RFCDEST,A,,1,,,RFCDEST,*,0,C,32,,,,,,CHAR,32,,RFCDEST,D,,,E,,,,,
RN1_ME_MD_GRID_OUTTAB_FOFSA,DRUGID,A,,7,,,N1ME_DRUGID,,1,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
ESH_OM_ADPRVDFL,ORG_SYSREL_GUID,A,,17,,,ESH_E_OM_SYSREL_GUID,,2,C,32,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
ECNSTRUCD,ATTRIB2,A,,25,,,ECN_ATTRIB,,1,C,32,,,,,,CHAR,32,,SWC_ELEM,,,,E,,,,,
RCF_S_SE_RECACTMOD_FIELDS,ACT_GUID,A,,1,,,RCF_RP_ACT_GUID,,0,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
ACEPS_PPLIST_STANDARD,REF_SUBKEY,A,,30,,,ACE_REF_SUBKEY,,0,C,32,,,,,,CHAR,32,,ACE_REF_SUBKEY,,,,E,,,,,
IUUC_RC_TMPL_RMA,RMA_ID,A,,1,X,,IUUC_TMPL_RULE_ID,,0,C,64,,,,,X,CHAR,32,,SYSUUID_C,,,,E,,,,,
N2GL_ITEM,DEPEND_ITEM_ID,A,,21,,,N2GL_DEPENDENT_ID,,0,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
HRDESV_A1_S_DXFK,DSID,A,,6,,,P01_SVDSID,,1,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
RCF_S_ACT_STATCHG_UPD_PL,ACT_GUID,A,,11,,,RCF_ACT_GUID,,0,C,64,,,,,,CHAR,32,,SYSUUID_C,,,,E,,,,,
HRGB_EFO_EXB_OUT_16_HEADER,TRANSACTION_ID,A,,7,,,,,0,C,64,,,,,,CHAR,32,,,,,1.0,,,,,,
BLAP_PCPAYMENT_CANCEL_REQUEST,VALUE,A,,1038,,,SAPPLSEF_CNTCT_PERSN_INTID_COD,,0,C,64,,,,,,CHAR,32,,,,,4.0,E,,,,,
RCGWLIOT,RFCDEST,A,,37,,,RFCDEST,*,1,C,32,,,,,,CHAR,32,,RFCDEST,D,,,E,,,,,
HRPAYFR_S_PY_BAREME_INPUT,GLBID,A,,162,,,PC_B2A_GLBID,,0,C,64,,,,,,CHAR,32,,CHAR32,,,1.0,E,,,,,
GSS_RFC_CALLS,MASTER_KEY,A,,14,,,SYSUUID_C32,,0,C,64,,,,,,CHAR,32,,SYSUUID_C32,,,,E,,,,,
RSRA_SX_KWF_TMPL,OBJID,A,,10,,,SDOK_DOCID,,1,C,64,,,,,,CHAR,32,,SDOK_DOCID,,,1.0,E,,,,,
DNOC_USERCFGT,FIELD,A,,4,X,,DNOT_FIELD,DNOC_USERCFG,0,C,32,,,,,X,CHAR,32,,DNOE_FIELD,P,,,E,,,,,
HRGB_EFO_FPS_OUT_21_HEADER1,CLASS,A,,4,,,HRGB_EFO_FPS_OUT_21_CLASS1,,0,C,64,,,,,,CHAR,32,,,,,1.0,E,,,,,
APPLSEF_PROJ_ERPWBSELMNT_UPD10,VALUE,A,,14,,,APPLSEF_PROJECT_WORK_BREAKDO17,,0,C,64,,,,,,CHAR,32,,,,,2.0,E,,,,,
ERC_SE_CANDCYLCBURQ_SCNDYLCSTS,UUID,A,,3,,,ERC_SE_NOSC_RECRTMT_ACT_UUID,,0,C,64,,,,,,CHAR,32,,,,,,E,,,,,
FSCD_ICDR_BBTDRQU_MESSAGE,CONTENT,A,,20,,,FSCD_BUSINESS_DOCUMENT_MESSAGE,,0,C,70,,,,,,CHAR,35,,,,,2.0,E,,,,,
APPLSEF_PROJ_ACTY_BY_ACTY_ID10,VALUE,A,,9,,,APPLSEF_BUSINESS_DOCUMENT_MES1,,0,C,70,,,,,,CHAR,35,,,,,2.0,E,,,,,
IBKK42_S1,ACNUM_EXT,A,,1,,,BKK_ACEXT,,0,C,70,,,,,,CHAR,35,,BKK_ACEXT,D,,,E,,,,,
IDWTADD_US,US_COMP_STRAS,A,,46,,,STRAS_GP,,0,C,70,,,,,,CHAR,35,,TEXT35,,,,E,,,,,
SAPPLCO_CUST_RET_ERPCRTE_REQ13,ID,A,,40,,,SAPPLCO_NOSC_BUSINESS_TRANSACT,,0,C,70,,,,,,CHAR,35,,,,,2.0,E,,,,,
RJGBAPIBUSISM007_STR,PSON2,A,,1180,,,NAME2_GP,,2,C,70,,,,,,CHAR,35,,NAME,,,2.0,E,,,,,
FSCM_DC_CHGREQ_MSG,CONTENT,A,,9,,,FSCM_BUSINESS_DOCUMENT_MESSAGE,,0,C,70,,,,,,CHAR,35,,,,,2.0,E,,,,,
FKKR_S_ICMI01_BASIC,HILDOC_ID,A,,24,,,RAI_HLDID_KK,,0,C,70,,,,,,CHAR,35,,,,,,E,,,,,
HRGB_EFO_EXB_OUT_GOV_20_O,COMPANY,A,,72,,,HRGB_EFO_EXB_OUT_20_COMPANY,,0,C,70,,,,,,CHAR,35,,,,,4.0,E,,,,,
ISMSD_PDF_BILLING_HEAD,NAME3,A,,312,,,NAME3_ISP,,1,C,70,,,,,,CHAR,35,,NAME,,,2.0,E,,,,,
RSEDCD400,TXT_STAT_R,A,,4,,,,,0,C,70,,,,,,CHAR,35,,,,,,,,,,,
NLAANLEVER_RESPONSE,NUMMER,A,,9,,,,,0,C,70,,,,,,CHAR,35,,,,,1.0,,,,,,
IBKKITDIEX,PUBLIC_CONT_L1,A,,50,,,BCA_DTE_CHAR035,,1,C,70,,,,,,CHAR,35,,BCA_DOM_CF_CHAR35,,,,E,,,,,
BIL_S_PRT_INTERFACE,PFORT,A,,43,,,PFORT_GP,,0,C,70,,,,,,CHAR,35,,TEXT35,,,2.0,E,,,,,
SHP_VORGABE_DATEN,LIFEX,A,,133,,,LIFEX,,1,C,70,,,,,,CHAR,35,,TEXT35,,,,E,,,,,
SAPPLSEF_PHYS_INV_CT_CRTREQMSG,REFERENCE_ID,A,,6,,,SAPPLSEF_NOSC_BUSIN_DOC_MSG_ID,,0,C,70,,,,,,CHAR,35,,,,,1.0,E,,,,,
V_CM09_OPT,BSTKD,A,,58,,,BSTKD,,0,C,70,,,,,,CHAR,35,,BSTKD,,,,E,,,,,
ISA_PARTNER_BUFFER,STREET,A,,9,,,STRAS_GP,,1,C,35,,,,,,CHAR,35,,TEXT35,,,,E,,,,,
SRAL_CUR_ACCT_CONTR_FSBSC_DA12,ROUTING_ID,A,,30,,,SRAL_BANK_ROUTING_ID,,0,C,35,,,,,,CHAR,35,,,,,2.0,E,,,,,
BAPI_FTR_PAYDET,BANK_ACCOUNT_2,A,,30,,,BNKN2_BF,,0,C,70,,,,,,CHAR,35,,CHAR35,,,,E,,,,,
