BANFN,BNFPO,BSART,MATNR,WERKS,MENGE,BADAT,AFNAM,FRGKZ,EBELN
0,00001,0,0010000001,1000,10.0,2024-01-15,0,0,0010000001
1,00002,1,0010000002,1100,20.0,2024-01-22,1,1,0010000002
2,00003,2,0010000003,1200,5.0,2024-01-29,2,2,0010000003
3,00004,3,0010000004,1300,15.0,2024-02-05,3,3,0010000004
4,00005,4,0010000005,1000,8.0,2024-02-12,4,4,0010000005
5,00006,5,0010000006,1100,25.0,2024-02-19,5,5,0010000006
6,00007,6,0010000007,1200,12.0,2024-02-26,6,6,0010000007
7,00008,7,0010000008,1300,30.0,2024-03-04,7,7,0010000008
8,00009,8,0010000009,1000,7.0,2024-03-11,8,8,0010000009
9,00010,9,0010000010,1100,18.0,2024-03-18,9,9,0010000010
