mandt,ebeln,ebelp,zekkn,vgabe,gjahr,belnr,buzei,bewtp,bwart,budat,menge,bpmng,dmbtr,wrbtr,waers,arewr,wesbs,bpwes,shkzg,bwtar,elikz,xblnr,lfgja,lfbnr,lfpos,grund,cpudt,cputm,reewr,evere,refwr,matnr,werks,xwsbr,etens,knumv,mwskz,lsmng,lsmeh,ematn,areww,hswae,bamng,charg,bldat,xwoff,xunpl,ernam,srvpos,packno,introw,bekkn,lemin,arewb,rewrb,saprl,menge_pop,bpmng_pop,dmbtr_pop,wrbtr_pop,wesbb,bpweb,weora,arewr_pop,kudif,retamt_fc,retamt_lc,retamtp_fc,retamtp_lc,xmacc,wkurs,inv_item_origin,vbeln_st,vbelp_st,sgt_scat,logsy,et_upd,j_sc_die_comp_f,fsh_season_year,fsh_season,fsh_collection,fsh_theme,wrf_charstc1,wrf_charstc2,wrf_charstc3,operation_flag,is_deleted,recordstamp
250,4500000006,10,,8,,80000014,10,L,,2022-01-21,10.0,,,,,,,,,,,,,,,,2022-01-21,12:29:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000011,10,,8,,80000015,10,L,,2022-01-24,10.0,,,,,,,,,,,,,,,,2022-01-24,03:42:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000012,10,,8,,80000016,10,L,,2022-01-24,10.0,,,,,,,,,,,,,,,,2022-01-24,05:20:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000013,10,,8,,80000017,10,L,,2022-01-24,100.0,,,,,,,,,,,,,,,,2022-01-24,05:33:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000014,10,,8,,80000018,10,L,,2022-01-24,2.0,,,,,,,,,,,,,,,,2022-01-24,09:26:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000015,10,,8,,80000019,10,L,,2022-01-24,10.0,,,,,,,,,,,,,,,,2022-01-24,11:14:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000019,10,,8,,80000031,10,L,,2022-01-25,10.0,,,,,,,,,,,,,,,,2022-01-25,10:41:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000024,10,,8,,80000032,10,L,,2022-01-25,10.0,,,,,,,,,,,,,,,,2022-01-25,14:34:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000027,10,,8,,80000039,10,L,,2022-01-28,1.0,,,,,,,,,,,,,,,,2022-01-28,15:00:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
250,4500000030,10,,8,,80000041,10,L,,2022-01-28,10.0,,,,,,,,,,,,,,,,2022-01-28,17:06:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:57.486125+00:00
