mandt,ebeln,ebelp,etens,ebtyp,eindt,lpein,uzeit,erdat,ezeit,menge,dabmg,estkz,loekz,kzdis,xblnr,vbeln,vbelp,mprof,ematn,mahnz,charg,uecha,ref_etens,imwrk,vbeln_st,vbelp_st,handoverdate,handovertime,sgt_scat,fsh_salloc_qty,operation_flag,is_deleted,recordstamp
250,4500001197,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-02 06:27:23.504021+00:00
250,4500000000,10,1,LA,2022-01-17,1.0,,2022-01-17,10:50:15,1.0,1.0,2.0,,X,,180000000.0,10.0,,TEST CPG1,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000001,10,1,LA,2022-01-19,1.0,,2022-01-19,15:06:36,1.0,,2.0,,X,,180000001.0,10.0,,TEST ROH,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000002,10,1,LA,2022-01-19,1.0,,2022-01-19,15:16:02,2.0,2.0,2.0,,X,,180000002.0,10.0,,TEST CPG1,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000003,10,1,LA,2022-01-20,1.0,,2022-01-20,11:17:09,10.0,10.0,2.0,,X,,180000003.0,10.0,,TEST ROH EU,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000007,10,1,LA,2022-01-31,1.0,,2022-01-21,15:26:38,4.0,4.0,2.0,,X,,180000004.0,10.0,,TEST CPG,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000007,10,2,LA,2022-02-15,1.0,,2022-01-21,15:31:54,6.0,,2.0,,X,,180000005.0,10.0,,TEST CPG,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000009,10,1,LA,2021-01-21,1.0,,2022-01-21,19:43:56,5.0,,2.0,,X,,180000007.0,10.0,,TEST CPG,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000008,10,1,LA,2021-01-21,1.0,,2022-01-21,19:21:58,10.0,,2.0,,X,,180000006.0,10.0,,TEST CPG,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000010,10,1,LA,2022-01-31,1.0,,2022-01-22,03:39:05,4.0,,2.0,,X,4500000010_1,180000008.0,10.0,,TEST CPG,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000010,10,2,LA,2022-01-25,1.0,,2022-01-22,03:40:14,2.0,2.0,2.0,,X,4500000010_2,180000009.0,10.0,,TEST CPG,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000020,10,1,LA,2021-01-24,1.0,,2022-01-24,21:32:02,1.0,,2.0,,X,,180000012.0,10.0,,TEST CPG,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000016,10,1,LA,2022-02-03,1.0,,2022-01-24,13:28:07,10.0,10.0,2.0,,X,,180000010.0,10.0,,TEST M1,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000017,10,1,LA,2022-02-03,1.0,,2022-01-24,14:22:04,10.0,10.0,2.0,,X,,180000011.0,10.0,,TEST M1,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
250,4500000022,10,1,LA,2022-01-31,1.0,,2022-01-25,12:36:45,1.0,1.0,2.0,,X,,180000014.0,10.0,,TEST F1,,,,,,,,,,,,L,False,2022-01-31 20:41:58.237876+00:00
