MANDT,EBELN,EBELP,ETENR,EINDT,SLFDT,LPEIN,MENGE,AMENG,WEMNG,WAMNG,UZEIT,BANFN,BNFPO,ESTKZ,QUNUM,QUPOS,MAHNZ,BEDAT,RSNUM,SERNR,FIXKZ,GLMNG,DABMG,CHARG,LICHA,CHKOM,VERID,ABART,MNG02,DAT01,ALTDT,AULWE,MBDAT,MBUHR,LDDAT,LDUHR,TDDAT,TDUHR,WADAT,WAUHR,ELDAT,ELUHR,ANZSN,NODISP,GEO_ROUTE,ROUTE_GTS,GTS_IND,TSP,CD_LOCNO,CD_LOCTYPE,HANDOVERDATE,HANDOVERTIME,WESBB,FSH_RALLOC_QTY,FSH_SALLOC_QTY,FSH_OS_ID,KEY_ID,OTB_VALUE,OTB_CURR,OTB_RES_VALUE,OTB_SPEC_VALUE,SPR_RSN_PROFILE,BUDG_TYPE,OTB_STATUS,OTB_REASON,CHECK_TYPE,DL_ID,HANDOVER_DATE,NO_SCEM,DNG_DATE,DNG_TIME,CNCL_ANCMNT_DONE,DATESHIFT_NUMBER,OPERATION_FLAG,IS_DELETED,RECORDSTAMP,REMNG
250,4500000000,10,1,2022-01-19,2022-01-19,1,1.0,,1.0,,,10000000.0,10.0,R,,,,2022-01-14,,,X,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,100.0
250,4500000001,10,1,2022-01-20,2022-01-20,1,1.0,,,,,10000001.0,10.0,R,,,,2022-01-19,,,X,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,250.5
250,4500000003,10,1,2022-01-21,2022-01-21,1,10.0,,10.0,,,10000003.0,10.0,R,,,,2022-01-20,,,X,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,88.25
250,4500000002,10,1,2022-01-24,2022-01-24,1,2.0,,2.0,,,10000002.0,10.0,R,,,,2022-01-19,,,X,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,300.0
250,4500000010,10,1,2022-01-31,2022-01-31,1,6.0,,2.0,,,,,R,,,,2022-01-21,,,X,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,175.75
250,4500000007,10,1,2022-01-31,2022-01-31,1,10.0,,4.0,,,,,R,,,,2022-01-21,,,X,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,60.0
250,4500000026,10,1,2022-02-01,2022-02-01,1,10.0,,10.0,,,,,R,,,,2022-01-27,,,X,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,430.0
250,4500000016,10,1,2022-02-03,2022-02-03,1,10.0,,10.0,,,,,R,,,,2022-01-24,,,X,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,95.5
250,4500000017,10,1,2022-02-03,2022-02-03,1,10.0,,10.0,,,,,R,,,,2022-01-24,,,X,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,210.0
250,4500000022,10,1,2022-02-04,2022-02-04,1,1.0,,1.0,,,10000005.0,10.0,R,,,,2022-01-25,3.0,,X,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,540.0
250,4500000023,10,1,2022-02-04,2022-02-04,1,1.0,,1.0,,,10000006.0,10.0,R,,,,2022-01-25,5.0,,X,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,100.0
250,4500000009,10,1,2021-01-22,2021-01-22,1,10.0,,,,,,,R,,,,2021-01-21,,,X,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,250.5
250,4500000008,10,1,2021-01-22,2021-01-22,1,10.0,,,,,,,R,,,,2021-01-21,,,X,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,88.25
250,4500000020,10,1,2021-01-30,2021-01-30,1,1.0,,,,,,,R,,,,2021-01-24,,,X,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,300.0
50,4500000000,10,1,2022-01-18,2022-01-18,1,1.0,,,,,10000000.0,10.0,R,,,,2022-01-17,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,175.75
50,4500000001,10,1,2022-01-19,2022-01-19,1,5.0,,,,,10000001.0,10.0,R,,,,2022-01-17,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,60.0
250,4500000013,10,1,2022-01-23,2022-01-23,1,100.0,,,,,,,R,,,,2022-01-23,,,X,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,430.0
50,4500000005,10,1,2022-01-24,2022-01-24,1,1.0,,,,,10000005.0,10.0,R,,,,2022-01-24,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,95.5
250,4500000005,10,1,2022-01-24,2022-01-24,1,1.0,,,,,,,R,,,,2022-01-21,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,210.0
250,4500000004,10,1,2022-01-24,2022-01-24,1,10.0,,,,,,,R,,,,2022-01-21,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,540.0
250,4500000006,10,1,2022-01-24,2022-01-24,1,10.0,,10.0,10.0,,,,R,,,,2022-01-21,,,X,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,100.0
250,4500000011,10,1,2022-01-24,2022-01-24,1,10.0,,10.0,10.0,,,,R,,,,2022-01-23,,,X,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,250.5
50,4500000002,10,1,2022-01-25,2022-01-25,1,3.0,,,,,10000002.0,10.0,R,,,,2022-01-23,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,88.25
50,4500000003,10,1,2022-01-25,2022-01-25,1,3.0,,,,,10000003.0,10.0,R,,,,2022-01-23,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,300.0
50,4500000004,10,1,2022-01-25,2022-01-25,1,3.0,,,,,10000004.0,10.0,R,,,,2022-01-23,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,175.75
250,4500000014,10,1,2022-01-25,2022-01-25,1,2.0,,2.0,2.0,,,,R,,,,2022-01-24,,,X,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,60.0
250,4500000018,10,1,2022-01-25,2022-01-25,1,2.0,,,,,,,R,,,,2022-01-24,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,430.0
250,4500000024,10,1,2022-01-25,2022-01-25,1,10.0,,,10.0,,,,R,,,,2022-01-25,,,X,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,95.5
250,4500000012,10,1,2022-01-25,2022-01-25,1,10.0,,10.0,10.0,,,,R,,,,2022-01-23,,,X,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,210.0
250,4500000015,10,1,2022-01-25,2022-01-25,1,10.0,,10.0,10.0,,,,R,,,,2022-01-24,,,X,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,540.0
250,4500000019,10,1,2022-01-25,2022-01-25,1,10.0,,10.0,10.0,,,,R,,,,2022-01-24,,,X,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,100.0
50,4500000006,10,1,2022-01-26,2022-01-26,1,10.0,,,,,10000006.0,10.0,R,,,,2022-01-25,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,250.5
250,4500000027,10,1,2022-01-28,2022-01-28,1,1.0,,,,,,,R,,,,2022-01-27,,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,88.25
250,4500000030,10,1,2022-01-28,2022-01-28,1,10.0,,10.0,10.0,,,,R,,,,2022-01-28,,,X,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,300.0
250,4500000029,10,1,2022-02-04,2022-02-04,1,5.0,,,,,,,R,,,,2022-01-28,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,175.75
250,4500000025,10,1,2022-02-07,2022-02-07,1,2.0,,2.0,,,,,R,,,,2022-01-27,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,60.0
250,4500000028,10,1,2022-02-07,2022-02-07,1,10.0,,,,,,,R,,,,2022-01-28,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,430.0
50,4500000007,10,1,2022-01-27,2022-01-27,1,10.0,,,,,10000008.0,10.0,R,,,,2022-01-26,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,95.5
50,4500000008,10,1,2022-01-27,2022-01-27,1,12.0,,,,,10000009.0,10.0,R,,,,2022-01-26,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,210.0
250,4500000021,10,1,2022-02-04,2022-02-04,1,10.0,,10.0,,,,,R,,,,2020-01-01,,,X,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:59.548321+00:00,540.0
250,4500069420,10,1,2022-04-19,2022-04-19,1,1.0,,,,,,,R,,,,2022-03-24,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-26 02:44:48.202008+00:00,100.0
250,4500069421,10,1,2022-04-19,2022-04-19,1,1.0,,,,,,,R,,,,2022-03-24,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-26 02:44:48.202008+00:00,250.5
250,4500069422,10,1,2022-04-06,2022-04-06,1,10.0,,,,,,,R,,,,2022-04-06,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-06 08:29:52.025714+00:00,88.25
250,4500069423,10,1,2022-04-06,2022-04-06,1,10.0,,,,,,,R,,,,2022-04-06,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-06 10:19:23.212106+00:00,300.0
250,4500069424,10,1,2022-04-06,2022-04-06,1,10.0,,,,,,,R,,,,2022-04-06,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-06 10:21:20.671285+00:00,175.75
250,4500069425,10,1,2022-04-13,2022-04-13,1,10.0,,,,,,,R,,,,2022-04-13,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 07:21:43.238895+00:00,60.0
250,4500069426,10,1,2022-04-13,2022-04-13,1,10.0,,,,,,,R,,,,2022-04-13,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 07:24:37.791187+00:00,430.0
250,4500069427,10,1,2022-04-13,2022-04-13,1,10.0,,,,,,,R,,,,2022-04-13,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 07:50:43.277347+00:00,95.5
100,4500000015,10,1,2022-02-01,2022-02-01,1,10.0,,,,,,,R,,,,2022-02-01,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,210.0
100,4500000016,10,1,2022-02-02,2022-02-02,1,5.0,,,,,,,R,,,,2022-02-02,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,540.0
100,4500000017,10,1,2022-02-02,2022-02-02,1,5.0,,,,,,,R,,,,2022-02-02,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,100.0
100,4500000000,10,1,2022-01-18,2022-01-18,1,1.0,,,,,10000000.0,10.0,R,,,,2022-01-17,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,250.5
100,4500000001,10,1,2022-01-19,2022-01-19,1,5.0,,,,,10000001.0,10.0,R,,,,2022-01-17,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,88.25
100,4500000002,10,1,2022-01-25,2022-01-25,1,3.0,,,,,10000002.0,10.0,R,,,,2022-01-23,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,300.0
100,4500000003,10,1,2022-01-25,2022-01-25,1,3.0,,,,,10000003.0,10.0,R,,,,2022-01-23,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,175.75
100,4500000004,10,1,2022-01-25,2022-01-25,1,3.0,,,,,10000004.0,10.0,R,,,,2022-01-23,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,60.0
100,4500000005,10,1,2022-01-24,2022-01-24,1,1.0,,,,,10000005.0,10.0,R,,,,2022-01-24,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,430.0
100,4500000006,10,1,2022-01-26,2022-01-26,1,10.0,,,,,10000006.0,10.0,R,,,,2022-01-25,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.717403+00:00,95.5
