mandt,ebeln,ebelp,zekkn,loekz,aedat,kflag,menge,vproz,netwr,sakto,gsber,kostl,projn,vbeln,vbelp,veten,kzbrb,anln1,anln2,aufnr,wempf,ablad,kokrs,xbkst,xbauf,xbpro,erekz,kstrg,paobjnr,prctr,ps_psp_pnr,nplnr,aufpl,imkey,aplzl,vptnr,fipos,recid,fistl,geber,fkber,dabrz,aufpl_ord,aplzl_ord,mwskz,txjcd,navnw,kblnr,kblpos,lstar,prznr,grant_nbr,budget_pd,fm_split_batch,fm_split_begru,aa_final_ind,aa_final_reason,aa_final_qty,aa_final_qty_f,menge_f,fmfgus_key,egrup,vname,tcobjnr,dateofservice,notaxcorr,diffoptrate,hasdiffoptrate,operation_flag,is_deleted,recordstamp
50,4500000023,10,1,,,,5.0,,,500010,,,,,,,,,,,,,C001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 14:11:46.693302+00:00
100,4500000023,10,1,,,,5.0,,,500010,,,,,,,,,,,,,C001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 14:46:55.965658+00:00
50,4500000000,10,1,,,,1.0,,,500010,1.0,,,52.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000001,10,1,,,,5.0,,,500010,1.0,,,53.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000002,10,1,,,,3.0,,,500010,1.0,,,63.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000003,10,1,,,,3.0,,,500010,1.0,,,64.0,10.0,1.0,,,,,,,C001,,,,,,,US01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000004,10,1,,,,3.0,,,500010,1.0,,,65.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000005,10,1,,,,1.0,,,500010,1.0,,,67.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000006,10,1,,,,10.0,,,500010,1.0,,,94.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000007,10,1,,,,10.0,,,500010,1.0,,,96.0,10.0,1.0,,,,,,,C001,,,,,,,CA01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000008,10,1,,,,12.0,,,500010,1.0,,,97.0,10.0,1.0,,,,,,,C001,,,,,,,CA01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:00.237145+00:00
50,4500000009,10,1,,,,10.0,,,500010,1.0,,,115.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 21:58:05.305181+00:00
50,4500000010,10,1,,,,10.0,,,500010,1.0,,,119.0,10.0,1.0,,,,,,,C001,,,,,,,EU01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 21:59:32.806689+00:00
50,4500000011,10,1,,,,15.0,,,500010,1.0,,,120.0,10.0,1.0,,,,,,,C001,,,,,,,EU01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-01-31 22:00:16.127503+00:00
50,4500000012,10,1,,,,10.0,,,500010,1.0,,,139.0,10.0,1.0,,,,,,,C001,,,,,,,AP01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 11:51:27.054036+00:00
50,4500000013,10,1,,,,10.0,,,500010,1.0,,,140.0,10.0,1.0,,,,,,,C001,,,,,,,AP01PSFD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 11:52:46.682325+00:00
50,4500000014,30,1,,,,10.0,,,500010,1.0,,,141.0,10.0,1.0,,,,,,,C001,,,,,,,AP01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-01 11:54:31.086307+00:00
50,4500000018,10,1,,,,5.0,,,500010,1.0,,,174.0,10.0,1.0,,,,,,,C001,,,,,,,US01PURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-24 03:06:22.827094+00:00
50,4500000027,10,1,,,,5.0,,,500010,1.0,,,1827.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:05:12.728151+00:00
50,4500000028,10,1,,,,5.0,,,500010,1.0,,,1828.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:27:55.183937+00:00
50,4500000029,10,1,,,,5.0,,,500010,1.0,,,1829.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHC03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-19 03:35:16.531282+00:00
50,4500000025,10,1,,,,5.0,,,500010,1.0,,,1769.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 15:13:26.452486+00:00
50,4500000026,10,1,,,,5.0,,,500010,1.0,,,1773.0,10.0,1.0,,,,,,,C001,,,,,,,US01ELHE02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 17:00:43.177193+00:00
50,4500000021,10,1,,,,5.0,,,500010,1.0,,,1764.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 13:25:06.304140+00:00
50,4500000022,10,1,,,,5.0,,,500010,1.0,,,1765.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 13:36:54.532063+00:00
50,4500000019,10,1,,,,5.0,,,500010,1.0,,,863.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-17 18:12:54.132047+00:00
50,4500000024,10,1,,,,5.0,,,500010,1.0,,,1768.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGHP04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-03-18 14:29:13.028563+00:00
50,4500000030,10,1,,,,5.0,,,500010,1.0,,,6590.0,10.0,1.0,,,,,,,C001,,,,,,,US01PGPC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 05:49:05.581048+00:00
50,4500000031,10,1,,,,10.0,,,500010,1.0,,,6591.0,10.0,1.0,,,,,,,C001,,,,,,,US01PSFD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 06:10:45.742286+00:00
50,4500000032,10,1,,,,6.0,,,500010,1.0,,,6592.0,10.0,1.0,,,,,,,C001,,,,,,,US01PSBV01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-13 06:25:12.904736+00:00
