mandt,ebeln,bukrs,bstyp,bsart,bsakz,loekz,statu,aedat,ernam,pincr,lponr,lifnr,spras,zterm,zbd1t,zbd2t,zbd3t,zbd1p,zbd2p,ekorg,ekgrp,waers,wkurs,kufix,bedat,kdatb,kdate,bwbdt,angdt,bnddt,gwldt,ausnr,angnr,ihran,ihrez,verkf,telf1,llief,kunnr,konnr,abgru,autlf,weakt,reswk,lblif,inco1,inco2,ktwrt,submi,knumv,kalsm,stafo,lifre,exnum,unsez,logsy,upinc,stako,frggr,frgsx,frgke,frgzu,frgrl,lands,lphis,adrnr,stceg_l,stceg,absgr,addnr,kornr,memory,procstat,rlwrt,revno,scmproc,reason_code,memorytype,rettp,retpc,dptyp,dppct,dpamt,dpdat,msr_id,hierarchy_exists,threshold_exists,legal_contract,description,release_date,vsart,handoverloc,shipcond,incov,inco2_l,inco3_l,externalsystem,externalreferenceid,ext_rev_tmstmp,force_id,force_cnt,reloc_id,reloc_seq_id,source_logsys,fsh_transaction,fsh_item_group,fsh_vas_last_item,fsh_os_stg_change,vzskz,fsh_snst_status,pohf_type,eq_eindt,eq_werks,fixpo,ekgrp_allow,werks_allow,contract_allow,pstyp_allow,fixpo_allow,key_id_allow,aurel_allow,delper_allow,eindt_allow,ltsnr_allow,otb_level,otb_cond_type,key_id,otb_value,otb_curr,otb_res_value,otb_spec_value,spr_rsn_profile,budg_type,otb_status,otb_reason,check_type,con_otb_req,con_prebook_lev,con_distr_lev,operation_flag,is_deleted,recordstamp
250,4500001085,EU01,F,UB,T,,9,2022-02-10,MALVIYAH,10,10,,E,,,,,,,EU10,EU1,EUR,1.0,,2022-02-09,,,,,,,,,,,,,,,,,,,2100.0,,,,,,1000001092,RM2000,SAP,,,,,1,,,,,,,NL,,,NL,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-10 07:05:37.818099+00:00
250,4500001086,EU01,F,UB,T,,9,2022-02-10,MALVIYAH,10,10,,E,,,,,,,EU10,EU1,EUR,1.0,,2022-02-09,,,,,,,,,,,,,,,,,,,2100.0,,,,,,1000001093,RM2000,SAP,,,,,1,,,,,,,NL,,,NL,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-10 07:17:27.942806+00:00
250,4500001192,EU01,F,UB,T,,9,2022-02-24,MALVIYAH,10,10,,E,,,,,,,EU10,EU1,EUR,1.0,,2022-02-23,,,,,,,,,,,,,,,,,,,2100.0,,,,,,1000001201,RM2000,SAP,,,,,1,,,,,,,NL,,,NL,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-24 06:53:25.370603+00:00
250,4500000024,USA1,F,UB,T,,9,2022-01-25,MALVIYAH,10,10,,E,,,,,,,US10,US1,USD,1.0,,2022-01-25,,,,,,,,,,,,,,,,,,,1100.0,,,,,,1000000022,RM2000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
250,4500000030,USA1,F,UB,T,,9,2022-01-28,MALVIYAH,10,10,,E,,,,,,,US10,US1,USD,1.0,,2022-01-28,,,,,,,,,,,,,,,,,,,1100.0,,,,,,1000000028,RM2000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
250,4500001078,USA1,F,UB,T,,9,2022-02-07,MALVIYAH,10,10,,E,,,,,,,US10,US1,USD,1.0,,2022-02-07,,,,,,,,,,,,,,,,,,,1100.0,,,,,,1000001086,RM2000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-07 09:10:30.090999+00:00
250,4500000030,USA1,F,UB,T,C,9,2022-01-28,MALVIYAH,10,10,,E,,,,,,,US10,US1,USD,1.0,,2022-01-28,,,,,,,,,,,,,,,,,,,1100.0,,,,,,1000000028,RM2000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-25 11:13:41.670950+00:00
50,4500000000,C001,F,NB,,,9,2022-01-17,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
50,4500000001,C001,F,NB,,,9,2022-01-17,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,1000000001,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
50,4500000002,C001,F,NB,,,9,2022-01-23,SATISHE,10,10,CV000001,E,,,,,,,P001,P01,USD,1.0,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,1000000002,RM0000,SAP,,,,,1,,,,,,,US,,,US,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:01.546635+00:00
