mandt,ebeln,ebelp,loekz,statu,aedat,txz01,matnr,ematn,bukrs,werks,lgort,bednr,matkl,infnr,idnlf,ktmng,menge,meins,bprme,bpumz,bpumn,umrez,umren,netpr,peinh,netwr,brtwr,agdat,webaz,mwskz,bonus,insmk,spinf,prsdr,schpr,mahnz,mahn1,mahn2,mahn3,uebto,uebtk,untto,bwtar,bwtty,abskz,agmem,elikz,erekz,pstyp,knttp,kzvbr,vrtkz,twrkz,wepos,weunb,repos,webre,kzabs,labnr,konnr,ktpnr,abdat,abftz,etfz1,etfz2,kzstu,notkz,lmein,evers,zwert,navnw,abmng,prdat,bstyp,effwr,xoblr,kunnr,adrnr,ekkol,sktof,stafo,plifz,ntgew,gewei,txjcd,etdrk,sobkz,arsnr,arsps,insnc,ssqss,zgtyp,ean11,bstae,revlv,geber,fistl,fipos,ko_gsber,ko_pargb,ko_prctr,ko_pprctr,meprf,brgew,volum,voleh,inco1,inco2,vorab,kolif,ltsnr,packno,fplnr,gnetwr,stapo,uebpo,lewed,emlif,lblkz,satnr,attyp,vsart,handoverloc,kanba,adrn2,cuobj,xersy,eildt,drdat,druhr,drunr,aktnr,abeln,abelp,anzpu,punei,saiso,saisj,ebon2,ebon3,ebonf,mlmaa,mhdrz,anfnr,anfps,kzkfg,usequ,umsok,banfn,bnfpo,mtart,uptyp,upvor,kzwi1,kzwi2,kzwi3,kzwi4,kzwi5,kzwi6,sikgr,mfzhi,ffzhi,retpo,aurel,bsgru,lfret,mfrgr,nrfhg,j_1bnbm,j_1bmatuse,j_1bmatorg,j_1bownpro,j_1bindust,abueb,nlabd,nfabd,kzbws,bonba,fabkz,j_1aindxp,j_1aidatep,mprof,eglkz,kztlf,kzfme,rdprf,techs,chg_srv,chg_fplnr,mfrpn,mfrnr,emnfr,novet,afnam,tzonrc,iprkz,lebre,berid,xconditions,apoms,ccomp,grant_nbr,fkber,status,reslo,kblnr,kblpos,weora,srv_bas_com,prio_urg,prio_req,empst,diff_invoice,trmrisk_relevant,creationdate,creationtime,spe_abgru,spe_crm_so,spe_crm_so_item,spe_crm_ref_so,spe_crm_ref_item,spe_crm_fkrel,spe_chng_sys,spe_insmk_src,spe_cq_ctrltype,spe_cq_nocq,reason_code,cqu_sar,anzsn,spe_ewm_dtc,exlin,exsnr,ehtyp,retpc,dptyp,dppct,dpamt,dpdat,fls_rsto,ext_rfx_number,ext_rfx_item,ext_rfx_system,srm_contract_id,srm_contract_itm,blk_reason_id,blk_reason_txt,itcons,fixmg,wabwe,cmpl_dlv_itm,inco2_l,inco3_l,externalreferenceid,tc_aut_det,manual_tc_reason,fiscal_incentive,tax_subject_st,fiscal_incentive_id,sf_txjcd,bev1_negen_item,bev1_nedepfree,bev1_nestruccat,advcode,budget_pd,excpe,fmfgus_key,iuid_relevant,mrpind,sgt_scat,sgt_rcat,wrf_charstc1,wrf_charstc2,wrf_charstc3,refsite,serru,sernp,disub_sobkz,disub_pspnr,disub_kunnr,disub_vbeln,disub_posnr,disub_owner,fsh_season_year,fsh_season,fsh_collection,fsh_theme,fsh_atp_date,fsh_vas_rel,fsh_vas_prnt_id,fsh_transaction,fsh_item_group,fsh_item,fsh_ss,fsh_grid_cond_rec,fsh_psm_pfm_split,cnfm_qty,fsh_pqr_uepos,ref_item,source_id,source_key,put_back,pol_id,cons_order,operation_flag,is_deleted,recordstamp
250,4500000000,10,,,2022-01-17,Test Dry Good,TEST CPG1,TEST CPG1,USA1,1000,,,,5300000000.0,,,1.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,100.0,100.0,,,,,,B,X,,,,,,,,,,,,,X,,0,,,,,X,,X,,,,,,,,,,,,EA,,,,,2022-01-14,F,100.0,,,,,,SAP,5.0,9.0,KG,,,,,,,,,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000000.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-01-14,10:41:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:02.329876+00:00
250,4500000002,10,,,2022-01-19,Test Dry Good,TEST CPG1,TEST CPG1,USA1,1000,,,,5300000000.0,,,2.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,200.0,200.0,,,I1,,,B,X,,,,,,,,,,,,,X,,0,,,,,X,,X,,,,,,,,,,,,EA,,,,,2022-01-19,F,200.0,,,,,,SAP,5.0,9.0,KG,,,,,,,,,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000002.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-01-19,15:15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:02.329876+00:00
250,4500000000,10,,,2022-02-22,Test Dry Good,TEST CPG1,TEST CPG1,USA1,1000,1001.0,,,5300000000.0,,,1.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,100.0,100.0,,,,,,B,X,,,,,,,,,,,,,X,,0,,,,,X,,X,,,,,,,,,,,,EA,,,,,2022-01-14,F,100.0,,,,,,SAP,5.0,9.0,KG,,,,,,,,,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000000.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-01-14,10:41:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-22 08:45:41.745178+00:00
250,4500000000,10,,,2022-02-25,Test Dry Good,TEST CPG1,TEST CPG1,USA1,1000,1001.0,,,5300000000.0,,,1.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,100.0,100.0,,,,,,B,X,,,,,,,,,,,,,X,,0,,,,,X,,X,,,,,,,,,,,,EA,V1,,,,2022-01-14,F,100.0,,,,,,SAP,5.0,9.0,KG,,,,,,,,,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000000.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-01-14,10:41:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-25 11:09:10.788204+00:00
250,4500000002,10,,,2022-02-25,Test Dry Good,TEST CPG1,TEST CPG1,USA1,1000,,,,5300000000.0,,,2.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,200.0,200.0,,,I1,,,B,X,,,,,,,,,,,,,X,,0,,,,,X,,X,,,,,,,,,,,,EA,V1,,,,2022-01-19,F,200.0,,,,,,SAP,5.0,9.0,KG,,,,,,,,,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000002.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-01-19,15:15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-25 11:09:10.788204+00:00
250,4500000000,10,L,,2022-02-25,Test Dry Good,TEST CPG1,TEST CPG1,USA1,1000,1001.0,,,5300000000.0,,,1.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,100.0,100.0,,,,,,B,X,,,,,,,,,,,,,X,,0,,,,,X,,X,,,,,,,,,,,,EA,V1,,,,2022-01-14,F,100.0,,,,,,SAP,5.0,9.0,KG,,,,,,,,,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000000.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-01-14,10:41:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-25 11:13:44.250079+00:00
250,4500000002,10,L,,2022-02-25,Test Dry Good,TEST CPG1,TEST CPG1,USA1,1000,,,,5300000000.0,,,2.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,200.0,200.0,,,I1,,,B,X,,,,,,,,,,,,,X,,0,,,,,X,,X,,,,,,,,,,,,EA,V1,,,,2022-01-19,F,200.0,,,,,,SAP,5.0,9.0,KG,,,,,,,,,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000002.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-01-19,15:15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-25 11:13:44.250079+00:00
100,4500000034,10,,V,2022-04-25,Plant Based Clothes liquid  Detergent 5L,C0000002,C0000002,C003,3000,,,01,5300000035.0,,,3.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,300.0,300.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-24,F,300.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01PGHP02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000050.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,06:04:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
100,4500000035,10,,V,2022-04-25,W Slimline Desktop,C0000069,C0000069,C003,3000,,,01,5300000005.0,,,3.0,EA,EA,1.0,1.0,1.0,1.0,100.0,1.0,300.0,300.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-24,F,300.0,,1000056.0,,,,SAP,1.0,5.0,KG,CA00,,,,,,,,,,,,,,,,CA01ELHC02,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000051.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,06:14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
50,4500000034,10,,V,2022-04-25,Cool Hand wash,C0000016,C0000016,C003,3000,,,01,5300000038.0,,,5.0,EA,EA,1.0,1.0,1.0,1.0,120.0,1.0,600.0,600.0,,,P1,,,B,X,,,,,,,,,,,,,,,5,X,V,,,,,X,,,,,,,,,,,,EA,,,,,2022-04-24,F,600.0,,1000056.0,,,,SAP,1.0,,KG,CA00,,,,,,,,,,,,,,,,CA01PGPC01,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10000045.0,10.0,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,EST,,,,,,,,,,,,,,,,,,,,2022-04-25,06:28:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-26 14:35:08.587146+00:00
