rclnt,ryear,docnr,rldnr,rbukrs,docln,activ,rmvct,rtcur,runit,awtyp,rrcty,rvers,logsys,racct,cost_elem,rcntr,prctr,rfarea,rbusa,kokrs,segment,scntr,pprctr,sfarea,sbusa,rassc,psegment,tsl,hsl,ksl,osl,msl,wsl,drcrk,poper,rwcur,gjahr,budat,belnr,buzei,bschl,bstat,linetype,xsplitmod,usnam,timestamp,operation_flag,is_deleted,recordstamp
50,2022,1400000016,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP01,,,C001,,,,,,,,132.0,132.0,,,,132.0,S,1,USD,2022,2022-01-23,1400000016,1,40,,4000,X,APARAMESWARA,20220123121015.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000008,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01PSFD02,,,C001,,,,,,,,44.0,44.0,,,,44.0,S,1,USD,2022,2022-01-23,1400000008,1,40,,4000,X,APARAMESWARA,20220123115133.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000015,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC10,,,C001,,,,,,,,1969.0,1969.0,,,,1969.0,S,1,USD,2022,2022-01-23,1400000015,1,40,,4000,X,APARAMESWARA,20220123120824.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000017,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,C999,,,C001,SEG_A,,,,,,,228.8,228.8,,,,228.8,S,1,USD,2022,2022-01-23,1400000017,1,40,,4000,X,APARAMESWARA,20220123121113.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000020,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP03,,,C001,,,,,,,,330.0,330.0,,,,330.0,S,1,USD,2022,2022-01-27,1400000020,1,40,,4000,X,APARAMESWARA,20220127155551.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000018,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC10,,,C001,,,,,,,,9845.0,9845.0,,,,9845.0,S,1,USD,2022,2022-01-27,1400000018,1,40,,4000,X,APARAMESWARA,20220127155307.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000001,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP01,,,C001,,,,,,,,198.0,198.0,,,,198.0,S,1,USD,2022,2022-01-23,1400000001,1,40,,4000,X,APARAMESWARA,20220123113011.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000007,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP02,,,C001,,,,,,,,59.4,59.4,,,,59.4,S,1,USD,2022,2022-01-23,1400000007,1,40,,4000,X,APARAMESWARA,20220123115008.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000001,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP02,,,C001,,,,,,,,22.0,22.0,,,,22.0,S,1,USD,2022,2022-01-23,1400000001,1,40,,4000,X,APARAMESWARA,20220123113011.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000009,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC09,,,C001,,,,,,,,110.0,110.0,,,,110.0,S,1,USD,2022,2022-01-23,1400000009,1,40,,4000,X,APARAMESWARA,20220123115441.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000005,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01PSFD02,,,C001,,,,,,,,14.3,14.3,,,,14.3,S,1,USD,2022,2022-01-23,1400000005,1,40,,4000,X,APARAMESWARA,20220123114056.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000006,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC10,,,C001,,,,,,,,984.5,984.5,,,,984.5,S,1,USD,2022,2022-01-23,1400000006,1,40,,4000,X,APARAMESWARA,20220123114301.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000004,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP02,,,C001,,,,,,,,46.2,46.2,,,,46.2,S,1,USD,2022,2022-01-23,1400000004,1,40,,4000,X,APARAMESWARA,20220123113823.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000003,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC09,,,C001,,,,,,,,400.0,400.0,,,,400.0,S,1,USD,2022,2022-01-23,1400000003,1,40,,4000,X,APARAMESWARA,20220123113411.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000010,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP01,,,C001,,,,,,,,44.0,44.0,,,,44.0,S,1,USD,2022,2022-01-23,1400000010,1,40,,4000,X,APARAMESWARA,20220123115632.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000021,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,C999,,,C001,SEG_A,,,,,,,3938.0,3938.0,,,,3938.0,S,1,USD,2022,2022-01-27,1400000021,1,40,,4000,X,APARAMESWARA,20220127155654.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000010,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01PGHP02,,,C001,,,,,,,,46.2,46.2,,,,46.2,S,1,USD,2022,2022-01-23,1400000010,1,40,,4000,X,APARAMESWARA,20220123115632.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000019,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC09,,,C001,,,,,,,,841.5,841.5,,,,841.5,S,1,USD,2022,2022-01-27,1400000019,1,40,,4000,X,APARAMESWARA,20220127155441.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000008,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01PSFD01,,,C001,,,,,,,,30.8,30.8,,,,30.8,S,1,USD,2022,2022-01-23,1400000008,1,40,,4000,X,APARAMESWARA,20220123115133.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000003,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC10,,,C001,,,,,,,,500.0,500.0,,,,500.0,S,1,USD,2022,2022-01-23,1400000003,1,40,,4000,X,APARAMESWARA,20220123113411.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000018,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC09,,,C001,,,,,,,,3850.0,3850.0,,,,3850.0,S,1,USD,2022,2022-01-27,1400000018,1,40,,4000,X,APARAMESWARA,20220127155307.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000012,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC09,,,C001,,,,,,,,841.5,841.5,,,,841.5,S,1,USD,2022,2022-01-23,1400000012,1,40,,4000,X,APARAMESWARA,20220123115928.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000020,0L,C001,1,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC09,,,C001,,,,,,,,2640.0,2640.0,,,,2640.0,S,1,USD,2022,2022-01-27,1400000020,1,40,,4000,X,APARAMESWARA,20220127155551.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000019,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC10,,,C001,,,,,,,,984.5,984.5,,,,984.5,S,1,USD,2022,2022-01-27,1400000019,1,40,,4000,X,APARAMESWARA,20220127155441.0,L,False,2022-01-31 20:42:03.665140+00:00
50,2022,1400000009,0L,C001,2,RFBU,,USD,,BKPF,0,1,,113000,,,US01ELHC10,,,C001,,,,,,,,132.0,132.0,,,,132.0,S,1,USD,2022,2022-01-23,1400000009,1,40,,4000,X,APARAMESWARA,20220123115441.0,L,False,2022-01-31 20:42:03.665140+00:00
