mandt,kunnr,land1,name1,name2,ort01,pstlz,regio,sortl,stras,telf1,telfx,xcpdk,adrnr,mcod1,mcod2,mcod3,anred,aufsd,bahne,bahns,bbbnr,bbsnr,begru,brsch,bubkz,datlt,erdat,ernam,exabl,faksd,fiskn,knazk,knrza,konzs,ktokd,kukla,lifnr,lifsd,locco,loevm,name3,name4,niels,ort02,pfach,pstl2,counc,cityc,rpmkr,sperr,spras,stcd1,stcd2,stkza,stkzu,telbx,telf2,teltx,telx1,lzone,xzemp,vbund,stceg,dear1,dear2,dear3,dear4,dear5,gform,bran1,bran2,bran3,bran4,bran5,ekont,umsat,umjah,uwaer,jmzah,jmjah,katr1,katr2,katr3,katr4,katr5,katr6,katr7,katr8,katr9,katr10,stkzn,umsa1,txjcd,periv,abrvw,inspbydebi,inspatdebi,ktocd,pfort,werks,dtams,dtaws,duefl,hzuor,sperz,etikg,civve,milve,kdkg1,kdkg2,kdkg3,kdkg4,kdkg5,xknza,fityp,stcdt,stcd3,stcd4,stcd5,stcd6,xicms,xxipi,xsubt,cfopc,txlw1,txlw2,ccc01,ccc02,ccc03,ccc04,cassd,knurl,j_1kfrepre,j_1kftbus,j_1kftind,confs,updat,uptim,nodel,dear6,cvp_xblck,suframa,rg,exp,uf,rgdate,ric,rne,rnedate,cnae,legalnat,crtn,icmstaxpay,indtyp,tdt,comsize,decregpc,vso_r_palhgt,vso_r_pal_ul,vso_r_pk_mat,vso_r_matpal,vso_r_i_no_lyr,vso_r_one_mat,vso_r_one_sort,vso_r_uld_side,vso_r_load_pref,vso_r_dpoint,alc,pmt_office,fee_schedule,duns,duns4,sam_ue_id,sam_eft_ind,psofg,psois,pson1,pson2,pson3,psovn,psotl,psohs,psost,psoo1,psoo2,psoo3,psoo4,psoo5,operation_flag,is_deleted,recordstamp
50,0001000027,US,USA East as Inter company Customer,,Atlanta,,GA,CUSTOMER,,,,,23043,USA EAST AS INTER COMPANY,,ATLANTA,Company,,,,,,,,,,2022-01-17,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA0000000,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-03 20:55:54.983401+00:00
50,0001000027,US,USA East as Inter company Customer,,Atlanta,,GA,CUSTOMER,,,,,23043,USA EAST AS INTER COMPANY,,ATLANTA,Company,,,,,,,,,,2022-01-17,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,C001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA0000000,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-02 03:21:50.293969+00:00
50,0001000027,US,USA East as Inter company Customer,,Atlanta,,GA,CUSTOMER,,,,,23043,USA EAST AS INTER COMPANY,,ATLANTA,Company,,,,,,,,,,2022-01-17,SATISHE,,,,,,,1000,,US01V,,,,,,,,,,,,,,E,,,,,,,,,,,C001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA0000000,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-04 14:44:49.485081+00:00
50,0001000027,US,US01 I/C Customer,,Atlanta,,GA,CUSTOMER,,,,,23043,US01 I/C CUSTOMER,,ATLANTA,Company,,,,,,,,,,2022-01-17,SATISHE,,,,,,,1000,,US01V,,,,,,,,,,,,,,E,,,,,,,,,,,C001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA0000000,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,False,2022-02-04 15:44:31.114220+00:00
50,0001000028,CA,customer-standard,,Toronto,,ON,CUSTOMER,,,,,23052,CUSTOMER-STANDARD,,TORONTO,Company,,,,,,,,,,2022-01-24,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAON,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:04.648706+00:00
50,0001000029,CA,customer-FD,,Toronto,,ON,CUSTOMER,,,,,23053,CUSTOMER-FD,,TORONTO,Company,,,,,,,,,,2022-01-25,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAON,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:04.648706+00:00
50,0001000030,CA,customer-CR,,Toronto,,ON,CUSTOMER,,,,,23054,CUSTOMER-CR,,TORONTO,Company,,,,,,,,,,2022-01-25,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAON,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:04.648706+00:00
50,0001000031,CA,customer-DR,,Toronto,,ON,CUSTOMER,,,,,23055,CUSTOMER-DR,,TORONTO,Company,,,,,,,,,,2022-01-25,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAON,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:04.648706+00:00
50,0001000032,CA,customer-RE,,Toronto,,ON,CUSTOMER,,,,,23056,CUSTOMER-RE,,TORONTO,Company,,,,,,,,,,2022-01-25,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAON,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:04.648706+00:00
50,0001000033,CA,customer-inv,,Toronto,,ON,CUSTOMER,,,,,23057,CUSTOMER-INV,,TORONTO,Company,,,,,,,,,,2022-01-25,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAON,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:04.648706+00:00
50,0001000034,CA,customer-inv,,Toronto,,ON,CUSTOMER,,,,,23058,CUSTOMER-INV,,TORONTO,Company,,,,,,,,,,2022-01-25,SATISHE,,,,,,,1000,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAON,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:04.648706+00:00
