mandt,knumv,kposn,stunr,zaehk,kappl,kschl,kdatu,krech,kawrt,kbetr,waers,kkurs,kpein,kmeir,kumza,kumne,kmtyp,kwert,kinak,koaid,kfkiv,recordstamp,operation_flag
50,409,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,410,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,411,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,412,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,413,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,414,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,415,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,416,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,417,10,911,1,TX,JR1,03.02.2022,A,6400.0,80.0,,0,0,,0,0,1,512.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,420,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,429,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,430,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,431,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,432,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,433,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,434,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,435,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,436,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,437,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,438,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,439,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,440,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,441,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,442,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,443,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,444,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,445,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,446,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,447,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,448,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,449,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,450,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,451,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,452,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,453,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,454,10,911,1,TX,JR1,07.02.2022,A,3200.0,80.0,,0,0,,0,0,1,256.0,,D,,2022-02-18 20:41:50.170365+00:00,I
50,40,10,911,1,TX,JR1,11.01.2022,A,4.0,100.0,,0,0,,0,0,1,0.4,,D,,2022-02-01 13:45:21.673743+00:00,I
50,41,10,911,1,TX,JR1,11.01.2022,A,4.0,100.0,,0,0,,0,0,1,0.4,,D,,2022-02-01 13:46:49.126517+00:00,I
50,42,10,911,1,TX,JR1,11.01.2022,A,4.0,100.0,,0,0,,0,0,1,0.4,,D,,2022-02-01 13:48:29.880646+00:00,I
50,43,10,911,1,TX,JR1,11.01.2022,A,4.0,100.0,,0,0,,0,0,1,0.4,,D,,2022-02-01 13:50:46.192519+00:00,I
50,52,10,911,1,TX,JR1,11.01.2022,A,84.0,100.0,,0,0,,0,0,1,8.4,,D,,2022-02-01 13:45:56.305338+00:00,I
50,53,10,911,1,TX,JR1,11.01.2022,A,84.0,100.0,,0,0,,0,0,1,8.4,,D,,2022-02-01 13:47:24.939611+00:00,I
50,54,10,911,1,TX,JR1,11.01.2022,A,42.0,100.0,,0,0,,0,0,1,4.2,,D,,2022-02-01 13:49:04.430922+00:00,I
50,55,10,911,1,TX,JR1,11.01.2022,A,42.0,100.0,,0,0,,0,0,1,4.2,,D,,2022-02-01 13:51:21.897338+00:00,L
50,56,10,911,1,TX,JR1,11.01.2022,A,24.0,100.0,,0,0,,0,0,1,2.4,,D,,2022-02-01 13:52:44.282728+00:00,L
50,57,10,911,1,TX,JR1,11.01.2022,A,24.0,100.0,,0,0,,0,0,1,2.4,,D,,2022-02-01 13:55:00.341675+00:00,L
50,58,10,911,1,TX,JR1,11.01.2022,A,12.0,100.0,,0,0,,0,0,1,1.2,,D,,2022-01-31 20:41:50.170365+00:00,L
50,59,10,911,1,TX,JR1,11.01.2022,A,12.0,100.0,,0,0,,0,0,1,1.2,,D,,2022-01-31 20:41:50.170365+00:00,L
50,60,10,911,1,TX,JR1,11.01.2022,A,26.0,100.0,,0,0,,0,0,1,2.6,,D,,2022-01-31 20:41:50.170365+00:00,L
50,61,10,911,1,TX,JR1,11.01.2022,A,26.0,100.0,,0,0,,0,0,1,2.6,,D,,2022-01-31 20:41:50.170365+00:00,L
50,62,10,911,1,TX,JR1,11.01.2022,A,13.0,100.0,,0,0,,0,0,1,1.3,,D,,2022-01-31 20:41:50.170365+00:00,L
50,63,10,911,1,TX,JR1,11.01.2022,A,13.0,100.0,,0,0,,0,0,1,1.3,,D,,2022-01-31 20:41:50.170365+00:00,L
50,64,10,911,1,TX,JR1,11.01.2022,A,1530.0,100.0,,0,0,,0,0,1,153.0,,D,,2022-01-31 20:41:50.170365+00:00,L
50,65,10,911,1,TX,JR1,11.01.2022,A,1530.0,100.0,,0,0,,0,0,1,153.0,,D,,2022-01-31 20:41:50.170365+00:00,L
50,66,10,911,1,TX,JR1,11.01.2022,A,765.0,100.0,,0,0,,0,0,1,76.5,,D,,2022-01-31 20:41:50.170365+00:00,L
50,67,10,911,1,TX,JR1,11.01.2022,A,765.0,100.0,,0,0,,0,0,1,76.5,,D,,2022-01-31 20:41:50.170365+00:00,L
50,68,10,911,1,TX,JR1,11.01.2022,A,1790.0,100.0,,0,0,,0,0,1,179.0,,D,,2022-01-31 20:41:50.170365+00:00,L
50,69,10,911,1,TX,JR1,11.01.2022,A,1790.0,100.0,,0,0,,0,0,1,179.0,,D,,2022-01-31 20:41:50.170365+00:00,L
50,70,10,911,1,TX,JR1,11.01.2022,A,895.0,100.0,,0,0,,0,0,1,89.5,,D,,2022-01-31 20:41:50.170365+00:00,L
50,71,10,911,1,TX,JR1,11.01.2022,A,895.0,100.0,,0,0,,0,0,1,89.5,,D,,2022-01-31 20:41:50.170365+00:00,L
50,76,10,911,1,TX,JR1,11.01.2022,A,42.0,100.0,,0,0,,0,0,1,4.2,,D,,2022-01-31 20:41:50.170365+00:00,L
50,77,10,911,1,TX,JR1,11.01.2022,A,42.0,100.0,,0,0,,0,0,1,4.2,,D,,2022-01-31 20:41:50.170365+00:00,L
50,78,10,911,1,TX,JR1,11.01.2022,A,12.0,100.0,,0,0,,0,0,1,1.2,,D,,2022-01-31 20:41:50.170365+00:00,L
50,79,10,911,1,TX,JR1,11.01.2022,A,12.0,100.0,,0,0,,0,0,1,1.2,,D,,2022-01-31 20:41:50.170365+00:00,L
50,80,10,911,1,TX,JR1,11.01.2022,A,24.0,100.0,,0,0,,0,0,1,2.4,,D,,2022-01-31 20:41:50.170365+00:00,L
50,81,10,911,1,TX,JR1,11.01.2022,A,24.0,100.0,,0,0,,0,0,1,2.4,,D,,2022-01-31 20:41:50.170365+00:00,L
50,82,10,911,1,TX,JR1,11.01.2022,A,4.0,100.0,,0,0,,0,0,1,0.4,,D,,2022-01-31 20:41:50.170365+00:00,L
50,83,10,911,1,TX,JR1,11.01.2022,A,4.0,100.0,,0,0,,0,0,1,0.4,,D,,2022-01-31 20:41:50.170365+00:00,L
50,84,10,911,1,TX,JR1,11.01.2022,A,26.0,100.0,,0,0,,0,0,1,2.6,,D,,2022-01-31 20:41:50.170365+00:00,L
50,85,10,911,1,TX,JR1,11.01.2022,A,26.0,100.0,,0,0,,0,0,1,2.6,,D,,2022-01-31 20:41:50.170365+00:00,L
50,86,10,911,1,TX,JR1,11.01.2022,A,14.0,100.0,,0,0,,0,0,1,1.4,,D,,2022-01-31 20:41:50.170365+00:00,L
50,87,10,911,1,TX,JR1,11.01.2022,A,14.0,100.0,,0,0,,0,0,1,1.4,,D,,2022-01-31 20:41:50.170365+00:00,L
