mandt,vbeln,ernam,erzet,erdat,bzirk,vstel,vkorg,lfart,autlf,kzazu,wadat,lddat,tddat,lfdat,kodat,ablad,inco1,inco2,expkz,route,faksk,lifsk,vbtyp,knfak,tpqua,tpgrp,lprio,vsbed,kunnr,kunag,kdgrp,stzkl,stzzu,btgew,ntgew,gewei,volum,voleh,anzpk,berot,lfuhr,grulg,lstel,tragr,fkarv,fkdat,perfk,routa,stafo,kalsm,knumv,waerk,vkbur,vbeak,zukrl,verur,commn,stwae,stcur,exnum,aenam,aedat,lgnum,lispl,vkoiv,vtwiv,spaiv,fkaiv,pioiv,fkdiv,kuniv,kkber,knkli,grupp,sbgrp,ctlpc,cmwae,amtbl,bolnr,lifnr,traty,traid,cmfre,cmngv,xabln,bldat,wadat_ist,trspg,tpsid,lifex,ternr,kalsm_ch,klief,kalsp,knump,netwr,aulwe,werks,lcnum,abssc,kouhr,tduhr,lduhr,wauhr,lgtor,lgbzo,akwae,akkur,akprz,proli,xblnr,handle,tsegfl,tsegtp,tzonis,tzonrc,cont_dg,verursys,kzwab,vlstk,tcode,vsart,trmtyp,sdabw,vbund,xwoff,dirta,prvbe,folar,podat,potim,vganz,imwrk,spe_loekz,spe_loc_seq,spe_acc_app_sts,spe_shp_inf_sts,spe_ret_canc,spe_wauhr_ist,spe_wazone_ist,spe_rev_vlstk,spe_le_scenario,spe_orig_sys,spe_chng_sys,spe_georoute,spe_georouteind,spe_carrier_ind,spe_gts_rel,spe_gts_rt_cde,spe_rel_tmstmp,spe_unit_system,spe_inv_bfr_gi,spe_qi_status,spe_red_ind,sakes,spe_lifex_type,spe_ttype,spe_pro_number,loc_guid,spe_billing_ind,printer_profile,msr_active,prtnr,stge_loc_change,tm_ctrl_key,dlv_split_initia,dlv_version,handoverloc,handoverdate,handovertime,handovertzone,incov,inco2_l,inco3_l,bev1_luleinh,bev1_rpfaess,bev1_rpkist,bev1_rpcont,bev1_rpsonst,bev1_rpflgnr,borgr_grp,fsh_transaction,fsh_vas_last_item,fsh_vas_cg,operation_flag,is_deleted,recordstamp
50,80000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-07 16:29:00.214348+00:00
50,80000138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-25 08:30:11.312032+00:00
50,80000139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-25 10:20:24.261697+00:00
50,80000140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-25 10:21:42.344711+00:00
50,80000141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-27 05:20:20.718339+00:00
50,80000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-27 05:20:45.461935+00:00
250,80000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-01 06:26:40.919168+00:00
250,80000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-28 12:31:17.439094+00:00
250,80000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-01 04:43:39.832433+00:00
250,80000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-01 05:41:55.279245+00:00
