mandt,vbeln,posnr,pstyv,ernam,erzet,erdat,matnr,matwa,matkl,werks,lgort,charg,lichn,kdmat,prodh,lfimg,meins,vrkme,umvkz,umvkn,ntgew,brgew,gewei,volum,voleh,kztlf,uebtk,uebto,untto,chspl,faksp,mbdat,lgmng,arktx,lgpbe,vbelv,posnv,vbtyv,vgsys,vgbel,vgpos,upflu,uepos,fkrel,ladgr,tragr,komkz,lgnum,lispl,lgtyp,lgpla,bwtex,bwart,bwlvs,kzdlg,bdart,plart,mtart,xchpf,xchar,vgref,posar,bwtar,sumbd,mtvfp,eannr,gsber,vkbur,vkgrp,vtweg,spart,grkor,fmeng,antlf,vbeaf,vbeav,stafo,wavwr,kzwi1,kzwi2,kzwi3,kzwi4,kzwi5,kzwi6,sobkz,aedat,ean11,kvgr1,kvgr2,kvgr3,kvgr4,kvgr5,mvgr1,mvgr2,mvgr3,mvgr4,mvgr5,vpzuo,vgtyp,rfvgtyp,kostl,kokrs,paobjnr,prctr,ps_psp_pnr,aufnr,posnr_pp,kdauf,kdpos,vpmat,vpwrk,prbme,umref,knttp,kzvbr,fipos,fistl,geber,pckpf,bedar_lf,cmpnt,kcmeng,kcbrgew,kcntgew,kcvolum,uecha,cuobj,cuobj_ch,anzsn,serail,kcgewei,kcvoleh,sernr,abrli,abart,abrvw,qplos,qtlos,nachl,magrv,objko,objpo,aeskd,shkzg,prosa,uepvw,empst,abtnr,koqui,stadat,aktnr,knumh_ch,prefe,exart,clint,chmvs,abeln,abelp,lfimg_flo,lgmng_flo,kcmeng_flo,kzumw,kmpmg,aurel,kpein,kmein,netpr,netwr,kowrr,kzbew,mfrgr,chhpv,abfor,abges,mbuhr,wktnr,wktps,j_1bcfop,j_1btaxlw1,j_1btaxlw2,j_1btxsdc,situa,rsnum,rspos,rsart,kannr,kzfme,profl,kcmengvme,kcmengvmef,kzbws,pspnr,eprio,rules,kzbef,mprof,ematn,lgbzo,handle,verurpos,lifexpos,noatp,nopck,rblvs,berid,bestq,umbsq,ummat,umwrk,umlgo,umcha,umbar,umsok,sonum,usonu,akkur,akmng,vkgru,shkzg_um,insmk,kzech,flgwm,berkz,hupos,nowab,konto,kzear,hsdat,vfdat,lfgja,lfbnr,lfpos,grund,fobwa,dlvtp,exbwr,bpmng,exvkw,cmpre_flt,kzpod,lfdez,umrev,podrel,kzuml,fkber,grant_nbr,kzwso,gmcontrol,posting_change,um_ps_psp_pnr,pre_vl_etens,spe_gen_elikz,spe_scrap_ind,spe_auth_number,spe_inspout_guid,spe_follow_up,spe_exp_date_ext,spe_exp_date_int,spe_auth_complet,ormng,spe_atp_tmstmp,spe_orig_sys,spe_lieffz,spe_imwrk,spe_lifexpos2,spe_except_code,spe_keep_qty,spe_alternate,spe_mat_subst,spe_struc,spe_apo_qntyfac,spe_apo_qntydiv,spe_herkl,spe_bxp_date_ext,spe_version,spe_compl_mvt,j_1btaxlw4,j_1btaxlw5,j_1btaxlw3,budget_pd,kbnkz,farr_reltype,sitkz,sgt_rcat,sgt_scat,fsh_season_year,fsh_season,fsh_collection,fsh_theme,fsh_kvgr6,fsh_kvgr7,fsh_kvgr8,fsh_kvgr9,fsh_kvgr10,fsh_vas_rel,fsh_vas_prnt_id,fsh_transaction,fsh_item_group,fsh_item,fsh_rsnum,fsh_rspos,cons_order,wrf_charstc1,wrf_charstc2,wrf_charstc3,operation_flag,is_deleted,recordstamp
250,180000003,10,ELN,GAIKWADPAWAR,11:17:09,2022-01-20,TEST ROH EU,,DRY GOODS,2000.0,,,,,,10.0,EA,EA,1.0,1.0,2000.0,2000.0,G,,,,,,,,,,10.0,Test ROH,,,,,,4500000003.0,10.0,,,,,,,,,,,,101.0,,,,,ROH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST ROH EU,,GW4AW00F7joUl517kQtbAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:13.010068+00:00
250,180000683,10,ELN,VISHAKHA,07:52:17,2022-02-04,TEST ROH EU,,DRY GOODS,2000.0,,,,,,10.0,EA,EA,1.0,1.0,2000.0,2000.0,G,,,,,,,,,,10.0,Test ROH,,,,,,4500000003.0,10.0,,,,,,,,,,,,101.0,,,,,ROH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST ROH EU,,GW4AW00F7joXiUllcBj5Am,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:18.181081+00:00
250,180000023,10,ELN,GAIKWADPAWAR,06:47:16,2022-02-03,TEST,,DRY GOODS,1000.0,1001.0,,,,,10.0,G,G,1.0,1.0,2000.0,2000.0,G,,,,,,,,,,10.0,Chips,,,,,,4500000053.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,GW4AW00F7joXbwFkoRabAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 06:47:28.058818+00:00
250,180000027,10,ELN,VISHAKHA,07:26:53,2022-02-03,TEST,,DRY GOODS,1000.0,,,,,,30.0,G,G,1.0,1.0,6000.0,6000.0,G,,,,,,,,,,30.0,Chips,,,,,,4500000052.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,GW4AW00F7joXc5KNXmCbAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-03 07:26:57.086197+00:00
250,180000749,10,ELN,VISHAKHA,07:52:28,2022-02-04,TEST,,DRY GOODS,1000.0,,,,,,10.0,G,G,1.0,1.0,2000.0,2000.0,G,,,,,,,,,,10.0,Chips,,,,,,4500000051.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,GW4AW00F7joXiUojaNxbAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:28.657645+00:00
250,180000750,10,ELN,VISHAKHA,07:52:28,2022-02-04,TEST,,DRY GOODS,1000.0,,,,,,30.0,G,G,1.0,1.0,6000.0,6000.0,G,,,,,,,,,,30.0,Chips,,,,,,4500000052.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,GW4AW00F7joXiUojaN{5Am,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:29.115059+00:00
250,180000751,10,ELN,VISHAKHA,07:52:28,2022-02-04,TEST,,DRY GOODS,1000.0,1001.0,,,,,10.0,G,G,1.0,1.0,2000.0,2000.0,G,,,,,,,,,,10.0,Chips,,,,,,4500000053.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,GW4AW00F7joXiUojaO0bAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:29.115059+00:00
250,180000752,10,ELN,VISHAKHA,07:52:28,2022-02-04,TEST,,DRY GOODS,1000.0,1001.0,,,,,30.0,G,G,1.0,1.0,6000.0,6000.0,G,,,,,,,,,,30.0,Chips,,,,,,4500000054.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,GW4AW00F7joXiUpJg8tbAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-04 07:52:29.115059+00:00
250,180000005,10,ELN,SIBASISM,15:31:54,2022-01-21,TEST CPG,,DRY GOODS,1000.0,1001.0,,,,,6.0,EA,EA,1.0,1.0,54.0,60.0,KG,,,,,,,,,,6.0,Test CPG,,,,,,4500000007.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,ROH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST CPG,,GW4AW00F7joUsUXTTv1bAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:13.010068+00:00
250,180000006,10,ELN,DEMANDI,19:21:58,2022-01-21,TEST CPG,,DRY GOODS,1000.0,,,,,,10.0,EA,EA,1.0,1.0,90.0,100.0,KG,,,,,,,,,,10.0,Test CPG,,,,,,4500000008.0,10.0,,,,1.0,1.0,,,,,,,101.0,,,,,ROH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST CPG,,GW4AW00F7joUtUpc16}bAm,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:13.010068+00:00
