mandt,matnr,ersda,ernam,laeda,aenam,vpsta,pstat,lvorm,mtart,mbrsh,matkl,bismt,meins,bstme,zeinr,zeiar,zeivr,zeifo,aeszn,blatt,blanz,ferth,formt,groes,wrkst,normt,labor,ekwsl,brgew,ntgew,gewei,volum,voleh,behvo,raube,tempb,disst,tragr,stoff,spart,kunnr,eannr,wesch,bwvor,bwscl,saiso,etiar,etifo,entar,ean11,numtp,laeng,breit,hoehe,meabm,prdha,aeklk,cadkz,qmpur,ergew,ergei,ervol,ervoe,gewto,volto,vabme,kzrev,kzkfg,xchpf,vhart,fuelg,stfak,magrv,begru,datab,liqdt,saisj,plgtp,mlgut,extwg,satnr,attyp,kzkup,kznfm,pmata,mstae,mstav,mstde,mstdv,taklv,rbnrm,mhdrz,mhdhb,mhdlp,inhme,inhal,vpreh,etiag,inhbr,cmeth,cuobf,kzumw,kosch,sprof,nrfhg,mfrpn,mfrnr,bmatn,mprof,kzwsm,saity,profl,ihivi,iloos,serlv,kzgvh,xgchp,kzeff,compl,iprkz,rdmhd,przus,mtpos_mara,bflme,matfi,cmrel,bbtyp,sled_bbd,gtin_variant,gennr,rmatp,gds_relevant,weora,hutyp_dflt,pilferable,whstc,whmatgr,hndlcode,hazmat,hutyp,tare_var,maxc,maxc_tol,maxl,maxb,maxh,maxdim_uom,herkl,mfrgr,qqtime,qqtimeuom,qgrp,serial,ps_smartform,logunit,cwqrel,cwqproc,cwqtolgr,adprof,ipmipproduct,allow_pmat_igno,medium,commodity,animal_origin,textile_comp_ind,sgt_csgr,sgt_covsa,sgt_stat,sgt_scope,sgt_rel,fsh_mg_at1,fsh_mg_at2,fsh_mg_at3,fsh_sealv,fsh_seaim,fsh_sc_mid,anp,psm_code,bev1_luleinh,bev1_luldegrp,bev1_nestruccat,dsd_sl_toltyp,dsd_sv_cnt_grp,dsd_vc_group,vso_r_tilt_ind,vso_r_stack_ind,vso_r_bot_ind,vso_r_top_ind,vso_r_stack_no,vso_r_pal_ind,vso_r_pal_ovr_d,vso_r_pal_ovr_w,vso_r_pal_b_ht,vso_r_pal_min_h,vso_r_tol_b_ht,vso_r_no_p_gvh,vso_r_quan_unit,vso_r_kzgvh_ind,packcode,dg_pack_status,mcond,retdelc,loglev_reto,nsnid,adspc_spc,imatn,picnum,bstat,color_atinn,size1_atinn,size2_atinn,color,size1,size2,free_char,care_code,brand_id,fiber_code1,fiber_part1,fiber_code2,fiber_part2,fiber_code3,fiber_part3,fiber_code4,fiber_part4,fiber_code5,fiber_part5,fashgrd,operation_flag,is_deleted,recordstamp
800,PAPEL,2005-04-19,MONTESJ,2005-04-19,MONTESJ,KCEBX,KCEB,,AEM,1,001,,ST,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,NORM,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,000000000000001117,2005-04-19,MONTESJ,,,KEB,KEB,,AEM,1,001,,ST,,,,,,,,0.0,,,,PAPEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,NORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,R30-255,2005-09-22,I016214,,,KELB,KELB,,AEM,A,012,,ST,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,NORM,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
800,SRM_INST_DPC,2012-02-17,I036584,2012-02-17,I036584,KEDLB,KEDLB,,EPA,M,00701,,ST,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,VERP,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,I,False,2021-03-31 03:05:18.644256+00:00
250,TEST ROH,2022-01-11,MALVIYAH,,,KVELB,KVELB,,ROH,1,DRY GOODS,,G,,,,,,,,,,,,,,,,200.0,200.0,G,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:16.492271+00:00
250,TEST CPG,2022-01-11,MALVIYAH,2022-01-21,SIBASISM,KVEXBLZ,KVEBL,,ROH,Z,DRY GOODS,,EA,,,,,,,,,,,,,,,,10.0,9.0,KG,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:16.492271+00:00
250,TEST ROH EU,2022-01-20,GAIKWADPAWAR,,,KELB,KELB,,ROH,Z,DRY GOODS,,EA,,,,,,,,,,,,,,,,200.0,200.0,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:16.492271+00:00
250,TEST M1,2022-01-24,MOUNIKAPALI,2022-01-25,MOUNIKAPALI,KELBQZXD,KELBQD,,ROH,Z,GRAINS,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:16.492271+00:00
250,TEST R1,2022-01-25,MOUNIKAPALI,,,KEDLB,KEDLB,,ROH,Z,GRAINS,,KG,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:16.492271+00:00
250,TEST R_SUB,2022-01-25,GAIKWADPAWAR,2022-01-25,MOUNIKAPALI,KEDLBZX,KEDLB,,ROH,Z,GRAINS,,KG,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:42:16.492271+00:00
