MATNR,WERKS,CHARG,HSDAT,VFDAT,CLABS,CINSM,CUMLM,BESCHB,ERDAT,ERNAM
0010000001,1000,0,2024-01-15,2024-01-15,100.0,100.0,100.0,0,2024-01-15,USER01
0010000002,1100,1,2024-01-22,2024-01-22,250.5,250.5,250.5,1,2024-01-22,USER02
0010000003,1200,2,2024-01-29,2024-01-29,88.25,88.25,88.25,2,2024-01-29,ADMIN
0010000004,1300,3,2024-02-05,2024-02-05,300.0,300.0,300.0,3,2024-02-05,USER03
0010000005,1000,4,2024-02-12,2024-02-12,175.75,175.75,175.75,4,2024-02-12,USER04
0010000006,1100,5,2024-02-19,2024-02-19,60.0,60.0,60.0,5,2024-02-19,USER01
0010000007,1200,6,2024-02-26,2024-02-26,430.0,430.0,430.0,6,2024-02-26,USER02
0010000008,1300,7,2024-03-04,2024-03-04,95.5,95.5,95.5,7,2024-03-04,ADMIN
0010000009,1000,8,2024-03-11,2024-03-11,210.0,210.0,210.0,8,2024-03-11,USER03
0010000010,1100,9,2024-03-18,2024-03-18,540.0,540.0,540.0,9,2024-03-18,USER04
