mandt,belnr,gjahr,buzei,cobl_nr,wrbtr,anln1,anln2,aplzl,aufnr,dabrz,fipos,fistl,fkber,geber,grant_nbr,gsber,imkey,kokrs,kostl,kstrg,paobjnr,prctr,ps_psp_pnr,recid,saknr,sgtxt,txjcd,vbeln,vbelp,vptnr,menge,mwskz,zekkn,bpmng,xunpl,lstar,prznr,aufpl,bukrs,shkzg,bzdat,bnkan_fw,xnegp,erlkz,fikrs,kblnr,kblpos,pargb,pernr,xskrl,nplnr,vornr,zuonr,meins,mwart,fwbas,hwbas,abper,ledat,menge_f,bpmng_f,werks,budget_pd,measure,fmfgus_key,koart,spgrs,aa_final_ind,aa_final_qty,aa_final_qty_f,parked_qty,parked_qty_f,operation_flag,is_deleted,recordstamp
50,5105600101,2022,1,2,15.0,,,,,,,,,,,1,,C001,,,,US01PGHP03,,,500010,,CA0000000,63,10,,3.0,I1,1,3.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,L,False,2022-01-31 20:43:01.468235+00:00
100,5105600101,2022,1,2,15.0,,,,,,,,,,,1,,C001,,,,US01PGHP03,,,500010,,CA0000000,63,10,,3.0,I1,1,3.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600102,2022,1,2,150.0,,,,,,,,,,,1,,C001,,,,US01PSFD01,,,500010,,CA0000000,64,10,,3.0,I1,1,3.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,L,False,2022-01-31 20:43:01.468235+00:00
100,5105600102,2022,1,2,150.0,,,,,,,,,,,1,,C001,,,,US01PSFD01,,,500010,,CA0000000,64,10,,3.0,I1,1,3.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600103,2022,1,2,1200.0,,,,,,,,,,,1,,C001,,,,US01ELHC09,,,500010,,CA0000000,65,10,,3.0,I1,1,3.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,L,False,2022-01-31 20:43:01.468235+00:00
100,5105600103,2022,1,2,1200.0,,,,,,,,,,,1,,C001,,,,US01ELHC09,,,500010,,CA0000000,65,10,,3.0,I1,1,3.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600104,2022,1,2,100.0,,,,,,,,,,,1,,C001,,,,US01ELHC09,,,500010,,CA0000000,67,10,,1.0,I1,1,1.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,L,False,2022-01-31 20:43:01.468235+00:00
100,5105600104,2022,1,2,100.0,,,,,,,,,,,1,,C001,,,,US01ELHC09,,,500010,,CA0000000,67,10,,1.0,I1,1,1.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-04-21 15:02:28.139859+00:00
50,5105600117,2022,1,2,3000.0,,,,,,,,,,,1,,C001,US011770,,,US01ELHC10,,,510020,,CA0000000,148,10,,10.0,I1,1,10.0,,,,,C001,S,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-02-02 07:20:14.977186+00:00
50,5105600121,2022,1,2,3000.0,,,,,,,,,,,1,,C001,US011770,,,US01ELHC10,,,510020,,CA0000000,148,10,,10.0,I1,1,10.0,,,,,C001,H,,,,,,,,,,,,,,EA,,,,,,,,1000,,,,,,,,,,,I,False,2022-02-02 16:46:16.649928+00:00
