mandt,belnr,gjahr,buzei,ebeln,ebelp,zekkn,matnr,bwkey,bwtar,bukrs,werks,wrbtr,shkzg,mwskz,txjcd,menge,bstme,bpmng,bprme,lbkum,vrkum,meins,pstyp,knttp,bklas,erekz,exkbe,xekbz,tbtkz,spgrp,spgrm,spgrt,spgrg,spgrv,spgrq,spgrs,spgrc,spgrext,bustw,xblnr,xrueb,bnkan,kschl,salk3,vmsal,xlifo,lfbnr,lfgja,lfpos,matbf,rbmng,bprbm,rbwwr,lfehl,gricd,grirg,gityp,packno,introw,sgtxt,xskrl,kzmek,mrmok,stunr,zaehk,stock_posting,stock_posting_pp,stock_posting_py,werec,lifnr,frbnr,xhistma,complaint_reason,retamt_fc,retpc,retduedt,xrettaxnet,re_account,erp_contract_id,erp_contract_itm,srm_contract_id,srm_contract_itm,cont_pstyp,srvmapkey,charg,inv_itm_origin,invrel,xdinv,diff_amount,xcprf,fsh_season_year,fsh_season,fsh_collection,fsh_theme,hsn_sac,customs_val,licno,zeile,sgt_scat,wrf_charstc1,wrf_charstc2,wrf_charstc3,operation_flag,is_deleted,recordstamp
50,5105600121,2022,1,4500000015,10,1.0,C0000077,1000,,C001,1000,3000.0,H,I1,CA0000000,10.0,EA,10.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 16:46:17.487848+00:00
50,5105600117,2022,1,4500000015,10,1.0,C0000077,1000,,C001,1000,3000.0,S,I1,CA0000000,10.0,EA,10.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 07:20:15.029562+00:00
50,5105600120,2022,1,4500000016,10,1.0,C0000077,1000,,C001,1000,1500.0,H,I0,CA0000000,5.0,EA,5.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 15:00:27.017080+00:00
50,5105600118,2022,1,4500000016,10,1.0,C0000077,1000,,C001,1000,1500.0,S,I0,CA0000000,5.0,EA,5.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 11:17:39.135740+00:00
50,5105600119,2022,1,4500000017,10,1.0,C0000077,1000,,C001,1000,1500.0,S,I0,CA0000000,5.0,EA,5.0,EA,,,EA,0,C,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-02 11:45:19.842685+00:00
50,5105600101,2022,1,4500000002,10,1.0,C0000003,1000,,C001,1000,15.0,S,I1,CA0000000,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:03.581603+00:00
50,5105600102,2022,1,4500000003,10,1.0,C0000033,1000,,C001,1000,150.0,S,I1,CA0000000,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000033,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:03.581603+00:00
50,5105600103,2022,1,4500000004,10,1.0,C0000076,1000,,C001,1000,1200.0,S,I1,CA0000000,3.0,EA,3.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000076,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:03.581603+00:00
50,5105600104,2022,1,4500000005,10,1.0,C0000076,1000,,C001,1000,100.0,S,I1,CA0000000,1.0,EA,1.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000076,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:03.581603+00:00
50,5105600131,2022,1,4500000018,10,1.0,C0000076,1000,,C001,1000,500.0,S,I1,CA0000000,5.0,EA,5.0,EA,,,EA,5,X,7920,,X,,,,,,,,,,,,RE02,,,,,,,,,,,C0000076,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-02-24 03:08:46.720291+00:00
