mandt,setclass,subclass,setname,langu,descript,operation_flag,is_deleted,recordstamp
800,0,,DBO,1,女式夹克衫， / / menswear 大衣和运动,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,BLANK,1,初始值,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-W11,1,承诺资金数值类型,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,7K-W22,1,采购订单数值类型,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-H1,1,半年度的第一天,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-H2,1,第 2 个半年,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-Q1,1,第一季度,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-Q2,1,第二季度,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-Q3,1,第三季度,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,G99-Q4,1,第四季度,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,GROUP1,1,成本构成组 1,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,NOACCT,1,会计标识编号,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PS_ALL,1,所有成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,PS_SEC,1,次级成本,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,VALUTP,1,实际评估,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,ZCC-PA,1,成本控制范围,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,Z_DEMO,1,Z_DEMO,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,0F.GLU1,1,FI 计划,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-ACT,1,实际成本的附加集,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,1-Z-PLN,1,计划成本的附加集,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8C-ACCI,1,帐户区间,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8C-RFAI,1,功能的范围间隔,L,False,2022-01-03 23:11:30.242775+00:00
800,0,,8C-RPCI,1,利润中心间隔,L,False,2022-01-03 23:11:30.242775+00:00
