mandt,setclass,subclass,setname,lineid,valsign,valoption,valfrom,valto,seqnr,operation_flag,is_deleted,recordstamp
0,0,,0FRACCT_ALL.GLFUNCT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,0MRACCT_ALL.GLFUNCT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,0MRBUSA_ALL.GLFUNCT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,0MRFAREA_ALL.GLFUNCT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-BELKZ-AL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-BELNR-AL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-KOSTL-AL.KKBE,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-KSTAR-AL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-KSTARDUM.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-KSTDUMMY.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-LSTAR-AL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-LSTAR.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-LSTDUMMY.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-MEINH.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-PAFNR-AL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-PAROB.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-PKSTL-2.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-PLSDUMMY.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-SSK.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1-S-STAGR-AL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1BUKRS_ALL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1GSBER_ALL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,1SCOPE_ALL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,5A-RACCT-ALL.COFIT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,5A-RBUKRS-AL.COFIT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,5A-RBUSA-ALL.COFIT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,5A-RFAREA-AL.COFIT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,6-KSTAR-ALL.CCSS,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,7U-PARPL-ALL.KKBU,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,7U-PKSLA-ALL.KKBU,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,7U-PLIFN-ALL.KKBU,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,7U-PMAWR-ALL.KKBU,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,8A-ALL-ACCT.GLPCT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,8A-ALL-PRCTR.GLPCT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,8A-ALL-PRCTR.GLTPC,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
0,0,,8A-ANL-ALL.GLPCT,1,I,CP,*,,1.0,L,False,2022-01-31 20:43:12.742456+00:00
