mandt,ktopl,saknr,xbilk,sakan,bilkt,erdat,ernam,gvtyp,ktoks,mustr,vbund,xloev,xspea,xspeb,xspep,mcod1,func_area,operation_flag,is_deleted,recordstamp
50,CA01,500020,,500020,,2022-02-02,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-02 07:35:24.166198+00:00
50,CA01,711000,,711000,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 11:38:07.148886+00:00
50,CA01,720100,,720100,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 10:41:30.203308+00:00
50,CA01,720200,,720200,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 10:33:17.416583+00:00
50,CA01,720400,,720400,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 08:33:23.235969+00:00
50,CA01,725100,,725100,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 10:43:57.671629+00:00
50,CA01,725200,,725200,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 10:35:53.022582+00:00
50,CA01,725300,,725300,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 11:43:09.970460+00:00
50,CA01,725400,,725400,,2022-02-07,APARAMESWARA,X,PL,,,,,,,,,I,False,2022-02-07 08:35:22.759315+00:00
50,CA01,121110,X,121110,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 11:01:45.633721+00:00
50,CA01,124100,X,124100,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 11:14:38.103727+00:00
50,CA01,125010,X,125010,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 11:22:02.340660+00:00
50,CA01,211915,X,211915,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 11:05:16.048267+00:00
50,CA01,217510,X,217510,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 11:24:32.154153+00:00
50,CA01,220900,X,220900,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 08:55:02.700504+00:00
50,CA01,211220,X,211220,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 16:04:36.881858+00:00
50,CA01,240100,X,240100,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 16:10:58.876569+00:00
50,CA01,240200,X,240200,,2022-02-07,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-07 16:16:41.641582+00:00
50,CA01,216500,X,216500,,2022-02-18,APARAMESWARA,,BS,,,,,,,,,I,False,2022-02-18 11:04:37.681724+00:00
0,GKR,200145,,200145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,200145,,200145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,200145,,200145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,200145,,200145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,200145,,200145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,200145,,200145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,205145,,205145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
1,GKR,205145,,205145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
50,GKR,205145,,205145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
100,GKR,205145,,205145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
200,GKR,205145,,205145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
250,GKR,205145,,205145,,1998-03-27,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
0,GKR,209100,,209100,,1997-09-11,SAP,X,ERG.,,,,,,,,,L,False,2022-01-31 20:43:27.411722+00:00
