mandt,spras,ktopl,saknr,txt20,txt50,mcod1,operation_flag,is_deleted,recordstamp
50,E,CA01,220900,Tax Payable,Alterative Tax Payable  - UMS,ALTERATIVE TAX PAYABLE  -,I,False,2022-02-07 08:55:02.805766+00:00
0,D,GKR,154098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
0,D,GKR,175098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
1,D,GKR,154098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
1,D,GKR,175098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
50,D,GKR,154098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
50,D,GKR,175098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
100,D,GKR,154098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
100,D,GKR,175098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
200,D,GKR,154098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
200,D,GKR,175098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
250,D,GKR,154098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
250,D,GKR,175098,Korr. GB Steuern,Nachbelastung Geschäftsbereich Steuern,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
0,D,GKR,161098,Korr.GB.Verb.Ausl.,Nachbelastung Geschäftsbereich Verbindl. Ausland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
1,D,GKR,161098,Korr.GB.Verb.Ausl.,Nachbelastung Geschäftsbereich Verbindl. Ausland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
50,D,GKR,161098,Korr.GB.Verb.Ausl.,Nachbelastung Geschäftsbereich Verbindl. Ausland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
100,D,GKR,161098,Korr.GB.Verb.Ausl.,Nachbelastung Geschäftsbereich Verbindl. Ausland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
200,D,GKR,161098,Korr.GB.Verb.Ausl.,Nachbelastung Geschäftsbereich Verbindl. Ausland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
250,D,GKR,161098,Korr.GB.Verb.Ausl.,Nachbelastung Geschäftsbereich Verbindl. Ausland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
0,D,GKR,880098,Korr.GB Kundenkonti,Nachbelastung Geschäftsbereich Kundenskonti,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
1,D,GKR,880098,Korr.GB Kundenkonti,Nachbelastung Geschäftsbereich Kundenskonti,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
50,D,GKR,880098,Korr.GB Kundenkonti,Nachbelastung Geschäftsbereich Kundenskonti,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
100,D,GKR,880098,Korr.GB Kundenkonti,Nachbelastung Geschäftsbereich Kundenskonti,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
200,D,GKR,880098,Korr.GB Kundenkonti,Nachbelastung Geschäftsbereich Kundenskonti,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
250,D,GKR,880098,Korr.GB Kundenkonti,Nachbelastung Geschäftsbereich Kundenskonti,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
0,D,GKR,140098,Korr.GB.Ford.Inland,Nachbelastung Geschäftsbereich Forderungen Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
1,D,GKR,140098,Korr.GB.Ford.Inland,Nachbelastung Geschäftsbereich Forderungen Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
50,D,GKR,140098,Korr.GB.Ford.Inland,Nachbelastung Geschäftsbereich Forderungen Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
100,D,GKR,140098,Korr.GB.Ford.Inland,Nachbelastung Geschäftsbereich Forderungen Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
200,D,GKR,140098,Korr.GB.Ford.Inland,Nachbelastung Geschäftsbereich Forderungen Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
250,D,GKR,140098,Korr.GB.Ford.Inland,Nachbelastung Geschäftsbereich Forderungen Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
0,D,GKR,160098,Korr.GB.Verb.Inland,Nachbelastung Geschäftsbereich Verbindl. Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
1,D,GKR,160098,Korr.GB.Verb.Inland,Nachbelastung Geschäftsbereich Verbindl. Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
50,D,GKR,160098,Korr.GB.Verb.Inland,Nachbelastung Geschäftsbereich Verbindl. Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
100,D,GKR,160098,Korr.GB.Verb.Inland,Nachbelastung Geschäftsbereich Verbindl. Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
200,D,GKR,160098,Korr.GB.Verb.Inland,Nachbelastung Geschäftsbereich Verbindl. Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
250,D,GKR,160098,Korr.GB.Verb.Inland,Nachbelastung Geschäftsbereich Verbindl. Inland,NACHBELASTUNG GESCHÄFTSBE,L,False,2022-01-31 20:43:35.420426+00:00
