mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
0,AD,AND,,,,X,,S,,X,,,,AD,AND,20.0,,,,,,15.0,5.0,,,,1.0,,,,,,,,,,,,,,,,123.0,,043,,ANDORR,,,3.0,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,AD,AND,,,,X,,S,,X,,,,AD,AND,20.0,,,,,,15.0,5.0,,,,1.0,,,,,,,,,,,,,,,,123.0,,043,,ANDORR,,,3.0,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,AD,AND,,,,X,,S,,X,,,,AD,AND,20.0,,,,,,15.0,5.0,,,,1.0,,,,,,,,,,,,,,,,123.0,,043,,ANDORR,,,3.0,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AD,AND,,,,X,,S,,X,,,,AD,AND,20.0,,,,,,15.0,5.0,,,,1.0,,,,,,,,,,,,,,,,123.0,,043,,ANDORR,,,3.0,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,AD,AND,,,,X,,S,,X,,,,AD,AND,20.0,,,,,,15.0,5.0,,,,1.0,,,,,,,,,,,,,,,,123.0,,043,,ANDORR,,,3.0,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,AD,AND,,,,X,,S,,X,,,,AD,AND,20.0,,,,,,15.0,5.0,,,,1.0,,,,,,,,,,,,,,,,123.0,,043,,ANDORR,,,3.0,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AD,AND,,,,X,,S,,X,,,,AD,AND,20.0,,,,,,15.0,5.0,,,,1.0,,,,,,,,,,,,,,,,123.0,,043,,ANDORR,,,3.0,,,ADP,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
0,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
0,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
