mandt,land1,teleffrom,telefto,telefrm,telexfrom,telexto,mobile_sms,operation_flag,is_deleted,recordstamp
0,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
0,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
1,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
50,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
