mandt,msehi,kzex3,kzex6,andec,kzkeh,kzwob,kz1eh,kz2eh,dimid,zaehl,nennr,exp10,addko,expon,decan,isocode,primary,temp_value,temp_unit,famunit,press_val,press_unit,operation_flag,is_deleted,recordstamp
100,KT,X,X,,X,,,,MASS,1000000,1,,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,LB,X,X,,X,,,,MASS,453592,1000000,,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,OZ,X,X,,X,,,,MASS,56699,2000000,,,,,ONZ,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,TON,X,X,,X,,,,MASS,113398,125,,,,,STN,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,H,,,3.0,X,,,,TIME,3600,1,,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,10,X,X,,X,,,,TIME,86400,1,,,,,DAY,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,MS,X,X,,X,,,,TIME,1,1000,,,,,C26,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,NS,X,X,,X,,,,TIME,1,1000000,-3.0,,,,C47,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,PS,X,X,,X,,,,TIME,1,1,-12.0,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,MIS,X,X,,X,,,,TIME,1,1000000,,,,,B98,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,TST,X,X,,X,,,,TIME,12,17,,9.0,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,C36,X,X,,X,,,,ACBAC,1,1,,,,3.0,C36,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,C38,X,X,,X,,,,ACBAC,1000,1,,,,3.0,C38,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,V02,X,X,,X,,,,ACBAC,1,1,,,,3.0,C36,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,GQ,X,X,,X,,,,DENSI,1,1,-9.0,,,,GQ,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,A93,X,X,,X,,,,DENSI,1,1,-3.0,,,,A93,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,B34,X,X,,X,,,,DENSI,1,1,3.0,,,,B34,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,D41,X,X,,X,,,,DENSI,1,1,3.0,,,,D41,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,GLI,X,X,,X,,,,DENSI,1,1,,,,,GL,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,MGL,X,X,,X,,,,DENSI,1,1000,,,,,M1,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,MGQ,X,X,,X,,,,DENSI,1,1000000,,,,,GP,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,RHO,X,X,,X,,,,DENSI,1000,1,,,,,23,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,UGL,X,X,,X,,,,DENSI,1,1,-6.0,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,kgb,X,X,,X,,,,DENSI,838641437,1,-8.0,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,kgs,X,X,,,,,,DENSI,372397870,1,-7.0,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,lbg,X,X,,,,,,DENSI,119826420,1,-6.0,,,,GE,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,lbs,X,X,,,,,,DENSI,168916832,1,-7.0,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,tbl,X,X,,,,,,DENSI,838641437,1,-5.0,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,tgl,X,X,,,,,,DENSI,239652841,1,-3.0,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,tm3,X,X,,,,,,DENSI,1,1,,,,,,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,KA,X,X,,,,,,ECURR,1000,1,,,,,B22,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,MA,X,X,,,,,,ECURR,1,1000,,,,,4K,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,B84,X,X,,X,,,,ECURR,1,1,-6.0,,,,B84,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
100,C39,X,X,,X,,,,ECURR,1,1,-9.0,,,,C39,,,,,,,I,False,2022-04-21 15:05:20.868144+00:00
