mandt,spras,msehi,mseh3,mseh6,mseht,msehl,operation_flag,is_deleted,recordstamp
100,D,%,%,%,%,Prozent,I,False,2022-04-21 15:05:21.148410+00:00
100,E,%,%,%,%,Percentage,I,False,2022-04-21 15:05:21.148410+00:00
100,E,1,ONE,One,One,One,I,False,2022-04-21 15:05:21.148410+00:00
100,D,1,ONE,one,Eins,Eins,I,False,2022-04-21 15:05:21.148410+00:00
100,D,A,A,A,A,Ampere,I,False,2022-04-21 15:05:21.148410+00:00
100,E,A,A,A,A,Ampere,I,False,2022-04-21 15:05:21.148410+00:00
100,D,F,F,F,F,Farad,I,False,2022-04-21 15:05:21.148410+00:00
100,E,F,F,F,F,Farad,I,False,2022-04-21 15:05:21.148410+00:00
100,E,G,G,g,g,Gram,I,False,2022-04-21 15:05:21.148410+00:00
100,D,G,G,g,g,Gramm,I,False,2022-04-21 15:05:21.148410+00:00
100,E,H,H,h,Hour,Hour,I,False,2022-04-21 15:05:21.148410+00:00
100,D,H,H,h,Stunde,Stunde,I,False,2022-04-21 15:05:21.148410+00:00
100,D,J,J,J,J,Joule,I,False,2022-04-21 15:05:21.148410+00:00
100,E,J,J,J,J,Joule,I,False,2022-04-21 15:05:21.148410+00:00
100,D,K,K,K,K,Kelvin,I,False,2022-04-21 15:05:21.148410+00:00
100,E,K,K,K,K,Kelvin,I,False,2022-04-21 15:05:21.148410+00:00
100,D,L,L,l,l,Liter,I,False,2022-04-21 15:05:21.148410+00:00
100,E,L,L,l,l,Liter,I,False,2022-04-21 15:05:21.148410+00:00
100,D,M,M,m,m,Meter,I,False,2022-04-21 15:05:21.148410+00:00
100,E,M,M,m,m,Meter,I,False,2022-04-21 15:05:21.148410+00:00
100,D,N,N,N,N,Newton,I,False,2022-04-21 15:05:21.148410+00:00
100,E,N,N,N,N,Newton,I,False,2022-04-21 15:05:21.148410+00:00
100,E,P,P,P,Points,Points,I,False,2022-04-21 15:05:21.148410+00:00
100,D,P,P,P,Punkte,Punkte,I,False,2022-04-21 15:05:21.148410+00:00
100,E,S,S,s,s,Second,I,False,2022-04-21 15:05:21.148410+00:00
100,D,S,S,s,s,Sekunde,I,False,2022-04-21 15:05:21.148410+00:00
100,D,V,V,V,V,Volt,I,False,2022-04-21 15:05:21.148410+00:00
100,E,V,V,V,V,Volt,I,False,2022-04-21 15:05:21.148410+00:00
100,D,W,W,W,W,Watt,I,False,2022-04-21 15:05:21.148410+00:00
100,E,W,W,W,W,Watt,I,False,2022-04-21 15:05:21.148410+00:00
100,D,%O,%O,%O,%0,Promille,I,False,2022-04-21 15:05:21.148410+00:00
100,E,%O,%O,%O,%0,Per mille,I,False,2022-04-21 15:05:21.148410+00:00
100,E,10,D,d,Days,Days,I,False,2022-04-21 15:05:21.148410+00:00
100,D,10,T,d,Tage,Tage,I,False,2022-04-21 15:05:21.148410+00:00
100,E,2M,CMS,cm/s,cm/s,Centimeter/second,I,False,2022-04-21 15:05:21.148410+00:00
100,D,2M,CMS,cm/s,cm/s,Zentimeter/Sekunde,I,False,2022-04-21 15:05:21.148410+00:00
100,D,2X,000,m/min,m/min,Meter/Minute,I,False,2022-04-21 15:05:21.148410+00:00
