mandt,periv,bdatj,bumon,butag,poper,reljr,operation_flag,is_deleted,recordstamp
800,PS,0.0,1,31,7,0,L,False,2021-12-23 14:58:49.850096+00:00
100,24,,1,15,1,0,I,False,2022-04-21 15:05:23.395339+00:00
100,24,,1,31,2,0,I,False,2022-04-21 15:05:23.395339+00:00
0,24,,1,15,1,0,L,False,2022-01-31 20:43:46.193534+00:00
1,24,,1,15,1,0,L,False,2022-01-31 20:43:46.193534+00:00
50,24,,1,15,1,0,L,False,2022-01-31 20:43:46.193534+00:00
100,24,,1,15,1,0,L,False,2022-01-31 20:43:46.193534+00:00
200,24,,1,15,1,0,L,False,2022-01-31 20:43:46.193534+00:00
250,24,,1,15,1,0,L,False,2022-01-31 20:43:46.193534+00:00
0,24,,1,31,2,0,L,False,2022-01-31 20:43:46.193534+00:00
1,24,,1,31,2,0,L,False,2022-01-31 20:43:46.193534+00:00
50,24,,1,31,2,0,L,False,2022-01-31 20:43:46.193534+00:00
100,24,,1,31,2,0,L,False,2022-01-31 20:43:46.193534+00:00
200,24,,1,31,2,0,L,False,2022-01-31 20:43:46.193534+00:00
250,24,,1,31,2,0,L,False,2022-01-31 20:43:46.193534+00:00
800,24,0.0,1,15,1,0,L,False,2021-12-23 14:58:49.850096+00:00
800,24,0.0,1,31,2,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AA,1997.0,1,31,1,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AA,1996.0,1,31,1,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AA,1998.0,1,31,4,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1992.0,1,31,1,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1993.0,1,31,1,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1997.0,1,31,4,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1996.0,1,31,4,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1995.0,1,31,4,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1998.0,1,31,4,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1994.0,1,31,4,0,L,False,2021-12-23 14:58:49.850096+00:00
100,DL,,1,1,1,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,2,2,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,3,3,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,4,4,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,5,5,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,6,6,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,7,7,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,8,8,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,9,9,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,10,10,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,11,11,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,12,12,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,13,13,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,14,14,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,15,15,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,16,16,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,17,17,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,18,18,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,19,19,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,20,20,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,21,21,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,22,22,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,23,23,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,24,24,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,25,25,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,26,26,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,27,27,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,28,28,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,29,29,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,30,30,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,1,31,31,0,I,False,2022-04-21 15:05:23.395339+00:00
0,DL,,1,1,1,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,1,1,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,1,1,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,1,1,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,1,1,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,1,1,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,2,2,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,2,2,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,2,2,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,2,2,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,2,2,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,2,2,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,3,3,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,3,3,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,3,3,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,3,3,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,3,3,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,3,3,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,4,4,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,4,4,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,4,4,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,4,4,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,4,4,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,4,4,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,5,5,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,5,5,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,5,5,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,5,5,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,5,5,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,5,5,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,6,6,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,6,6,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,6,6,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,6,6,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,6,6,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,6,6,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,7,7,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,7,7,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,7,7,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,7,7,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,7,7,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,7,7,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,8,8,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,8,8,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,8,8,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,8,8,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,8,8,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,8,8,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,9,9,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,9,9,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,9,9,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,9,9,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,9,9,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,9,9,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,10,10,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,10,10,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,10,10,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,10,10,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,10,10,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,10,10,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,11,11,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,11,11,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,11,11,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,11,11,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,11,11,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,11,11,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,12,12,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,12,12,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,12,12,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,12,12,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,12,12,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,12,12,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,13,13,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,13,13,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,13,13,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,13,13,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,13,13,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,13,13,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,14,14,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,14,14,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,14,14,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,14,14,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,14,14,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,14,14,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,15,15,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,15,15,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,15,15,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,15,15,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,15,15,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,15,15,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,16,16,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,16,16,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,16,16,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,16,16,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,16,16,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,16,16,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,17,17,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,17,17,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,17,17,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,17,17,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,17,17,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,17,17,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,18,18,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,18,18,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,18,18,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,18,18,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,18,18,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,18,18,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,19,19,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,19,19,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,19,19,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,19,19,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,19,19,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,19,19,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,20,20,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,20,20,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,20,20,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,20,20,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,20,20,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,20,20,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,21,21,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,21,21,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,21,21,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,21,21,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,21,21,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,21,21,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,22,22,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,22,22,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,22,22,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,22,22,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,22,22,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,22,22,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,23,23,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,23,23,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,23,23,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,23,23,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,1,23,23,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,1,23,23,0,L,False,2022-01-31 20:43:46.193534+00:00
0,DL,,1,24,24,0,L,False,2022-01-31 20:43:46.193534+00:00
1,DL,,1,24,24,0,L,False,2022-01-31 20:43:46.193534+00:00
50,DL,,1,24,24,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,1,24,24,0,L,False,2022-01-31 20:43:46.193534+00:00
