mandt,matkl,spart,lref3,wwgda,wwgpa,abtnr,begru,gewei,j_1bnbm,bklas,ekwsl,anlkl,def_schdsc,price_group,operation_flag,is_deleted,recordstamp
250,CHEMICAL,,,,,,,,,,,,,,I,False,2022-03-30 07:52:28.258981+00:00
250,DRY ING,,,,,,,,,,,,,,I,False,2022-03-30 07:52:28.258981+00:00
250,NATURAL M,,,,,,,,,,,,,,I,False,2022-03-30 07:52:28.258981+00:00
250,OTHER MAT,,,,,,,,,,,,,,I,False,2022-03-30 07:52:28.258981+00:00
250,PLASTICS,,,,,,,,,,,,,,I,False,2022-03-30 07:52:28.258981+00:00
200,CHEMICAL,,,,,,,,,,,,,,I,False,2022-03-30 07:45:21.496535+00:00
200,DRY ING,,,,,,,,,,,,,,I,False,2022-03-30 07:45:21.496535+00:00
200,NATURAL M,,,,,,,,,,,,,,I,False,2022-03-30 07:45:21.496535+00:00
200,OTHER MAT,,,,,,,,,,,,,,I,False,2022-03-30 07:45:21.496535+00:00
200,PLASTICS,,,,,,,,,,,,,,I,False,2022-03-30 07:45:21.496535+00:00
200,BAKING,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,BEVERAGE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,CONDIMENT,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,COOKING,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,DRY GOODS,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,ENTREE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,GRAINS,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,MISC,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,PAPERGOOD,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,PROTEIN,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,SAUCE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,SNACK,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
200,VEGETABLE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,BAKING,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
250,BEVERAGE,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.227112+00:00
