mandt,mtart,mtref,mbref,flref,numki,numke,envop,bsext,bsint,pstat,kkref,vprsv,kzvpr,vmtpo,ekalr,kzgrp,kzkfg,begru,kzprc,kzpip,prdru,aranz,wmakg,izust,ardel,kzmpn,mstae,cchis,ctype,class,chneu,vtype,vnumki,vnumke,kzrac,operation_flag,is_deleted,recordstamp
0,CONT,ROH,ROH,VERP,1.0,2.0,X,0.0,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,CONT,ROH,ROH,VERP,1.0,2.0,X,0.0,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,CONT,ROH,ROH,VERP,1.0,2.0,X,0.0,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CONT,ROH,ROH,VERP,1.0,2.0,X,0.0,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,CONT,ROH,ROH,VERP,1.0,2.0,X,0.0,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,CONT,ROH,ROH,VERP,1.0,2.0,X,0.0,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CONT,ROH,ROH,VERP,1.0,2.0,X,0.0,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,ZSER,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,KV,,V,,ZSER,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,PLM,FERT,PLM,PLM,1.0,2.0,X,0.0,0.0,ACDKQSVXZ,,,,,,,,,,,,,,,0.0,,,,1.0,PLM,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,ZHT1,FERT,Z2,ZHTI,1.0,2.0,X,,,K,,,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,HERS,HERS,HERS,HERS,1.0,2.0,X,2.0,0.0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,HERS,HERS,HERS,HERS,1.0,2.0,X,2.0,0.0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,HERS,HERS,HERS,HERS,1.0,2.0,X,2.0,0.0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HERS,HERS,HERS,HERS,1.0,2.0,X,2.0,0.0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,HERS,HERS,HERS,HERS,1.0,2.0,X,2.0,0.0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,HERS,HERS,HERS,HERS,1.0,2.0,X,2.0,0.0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HERS,HERS,HERS,HERS,1.0,2.0,X,2.0,0.0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,HERS,HERS,HERS,HERS,,,X,2.0,0.0,CE,,,,,,,,,,,,,,,0.0,X,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,IBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,CBAU,IBAU,ROH,ROH,1.0,2.0,,0.0,0.0,CK,,,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,NLAG,NLAG,ROH,NLAG,1.0,2.0,,2.0,2.0,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,NLAG,NLAG,ROH,NLAG,1.0,2.0,,2.0,2.0,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
