mandt,spras,mtart,mtbez,operation_flag,is_deleted,recordstamp
100,D,ABF,Abfall,I,False,2022-04-21 15:05:53.084948+00:00
100,D,COUP,Coupon,I,False,2022-04-21 15:05:53.084948+00:00
100,D,LEER,Leergut,I,False,2022-04-21 15:05:53.084948+00:00
100,D,VOLL,Vollgut,I,False,2022-04-21 15:05:53.084948+00:00
100,D,NOF1,Non Food,I,False,2022-04-21 15:05:53.084948+00:00
100,D,ROH,Rohstoff,I,False,2022-04-21 15:05:53.084948+00:00
100,D,FGTR,Getränke,I,False,2022-04-21 15:05:53.084948+00:00
100,D,VERP,Verpackung,I,False,2022-04-21 15:05:53.084948+00:00
100,D,ERSA,Ersatzteile,I,False,2022-04-21 15:05:53.084948+00:00
100,D,HAWA,Handelsware,I,False,2022-04-21 15:05:53.084948+00:00
100,D,WERB,Werbemittel,I,False,2022-04-21 15:05:53.084948+00:00
100,D,HALB,Halbfabrikat,I,False,2022-04-21 15:05:53.084948+00:00
100,D,WERT,Wertmaterial,I,False,2022-04-21 15:05:53.084948+00:00
100,D,INTR,Intramaterial,I,False,2022-04-21 15:05:53.084948+00:00
100,D,PROD,Produktgruppe,I,False,2022-04-21 15:05:53.084948+00:00
100,D,DIEN,Dienstleistung,I,False,2022-04-21 15:05:53.084948+00:00
100,D,FRIP,Frischprodukte,I,False,2022-04-21 15:05:53.084948+00:00
100,D,HERS,Herstellerteil,I,False,2022-04-21 15:05:53.084948+00:00
100,D,CBAU,Compatible unit,I,False,2022-04-21 15:05:53.084948+00:00
100,D,FERT,Fertigerzeugnis,I,False,2022-04-21 15:05:53.084948+00:00
100,D,MODE,Mode (saisonal),I,False,2022-04-21 15:05:53.084948+00:00
100,D,CONT,KANBAN-Behälter,I,False,2022-04-21 15:05:53.084948+00:00
100,D,PROC,Prozeß-Material,I,False,2022-04-21 15:05:53.084948+00:00
100,D,EPA,Ausstattungspaket,I,False,2022-04-21 15:05:53.084948+00:00
100,D,PIPE,Pipeline-Material,I,False,2022-04-21 15:05:53.084948+00:00
100,D,LEIH,Leihgut-Packmittel,I,False,2022-04-21 15:05:53.084948+00:00
100,D,NLAG,Nichtlagermaterial,I,False,2022-04-21 15:05:53.084948+00:00
100,D,VKHM,Verkaufshilfsmittel,I,False,2022-04-21 15:05:53.084948+00:00
100,D,WETT,Wettbewerberprodukt,I,False,2022-04-21 15:05:53.084948+00:00
100,D,FOOD,Food (excl. Frische),I,False,2022-04-21 15:05:53.084948+00:00
100,D,HIBE,Hilfs-/Betriebsstoff,I,False,2022-04-21 15:05:53.084948+00:00
100,D,CH00,CH Vertragsverwaltung,I,False,2022-04-21 15:05:53.084948+00:00
100,D,FHMI,Fertigungshilfsmittel,I,False,2022-04-21 15:05:53.084948+00:00
100,D,PLAN,Handelsware (geplant),I,False,2022-04-21 15:05:53.084948+00:00
100,D,UNBW,Unbewertetes Material,I,False,2022-04-21 15:05:53.084948+00:00
100,D,MPO,Materialplanungsobjekt,I,False,2022-04-21 15:05:53.084948+00:00
100,D,LGUT,Leergut Warenwirtschaft,I,False,2022-04-21 15:05:53.084948+00:00
100,D,IBAU,Instandhaltungs-Baugruppe,I,False,2022-04-21 15:05:53.084948+00:00
100,D,KMAT,Konfigurierbares Material,I,False,2022-04-21 15:05:53.084948+00:00
100,E,ABF,Waste,I,False,2022-04-21 15:05:53.084948+00:00
100,E,COUP,Coupons,I,False,2022-04-21 15:05:53.084948+00:00
100,E,LEER,Empties,I,False,2022-04-21 15:05:53.084948+00:00
100,E,DIEN,Service,I,False,2022-04-21 15:05:53.084948+00:00
100,E,NOF1,Nonfoods,I,False,2022-04-21 15:05:53.084948+00:00
100,E,FGTR,Beverages,I,False,2022-04-21 15:05:53.084948+00:00
100,E,VERP,Packaging,I,False,2022-04-21 15:05:53.084948+00:00
100,E,VKHM,Additionals,I,False,2022-04-21 15:05:53.084948+00:00
100,E,FRIP,Perishables,I,False,2022-04-21 15:05:53.084948+00:00
100,E,ERSA,Spare Parts,I,False,2022-04-21 15:05:53.084948+00:00
100,E,VOLL,Full products,I,False,2022-04-21 15:05:53.084948+00:00
100,E,ROH,Raw materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,HAWA,Trading Goods,I,False,2022-04-21 15:05:53.084948+00:00
100,E,PROD,Product groups,I,False,2022-04-21 15:05:53.084948+00:00
100,E,CBAU,Compatible Unit,I,False,2022-04-21 15:05:53.084948+00:00
100,E,INTR,Intra materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,LGUT,Empties (retail),I,False,2022-04-21 15:05:53.084948+00:00
100,E,FERT,Finished Product,I,False,2022-04-21 15:05:53.084948+00:00
100,E,CONT,Kanban Container,I,False,2022-04-21 15:05:53.084948+00:00
100,E,WERB,Product catalogs,I,False,2022-04-21 15:05:53.084948+00:00
100,E,EPA,Equipment Package,I,False,2022-04-21 15:05:53.084948+00:00
100,E,HERS,Manufacturer Part,I,False,2022-04-21 15:05:53.084948+00:00
100,E,PROC,Process materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,MODE,Apparel (seasonal),I,False,2022-04-21 15:05:53.084948+00:00
100,E,HIBE,Operating supplies,I,False,2022-04-21 15:05:53.084948+00:00
100,E,PIPE,Pipeline materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,WETT,Competitor products,I,False,2022-04-21 15:05:53.084948+00:00
100,E,NLAG,Non-stock materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,CH00,CH Contract Handling,I,False,2022-04-21 15:05:53.084948+00:00
100,E,LEIH,Returnable packaging,I,False,2022-04-21 15:05:53.084948+00:00
100,E,HALB,Semifinished Product,I,False,2022-04-21 15:05:53.084948+00:00
100,E,WERT,Value-only materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,UNBW,Nonvaluated materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,KMAT,Configurable materials,I,False,2022-04-21 15:05:53.084948+00:00
100,E,IBAU,Maintenance assemblies,I,False,2022-04-21 15:05:53.084948+00:00
100,E,PLAN,Trading goods (planned),I,False,2022-04-21 15:05:53.084948+00:00
100,E,MPO,Material Planning Object,I,False,2022-04-21 15:05:53.084948+00:00
100,E,FHMI,Production Resource/Tool,I,False,2022-04-21 15:05:53.084948+00:00
100,E,FOOD,Foods (excl. perishables),I,False,2022-04-21 15:05:53.084948+00:00
800,1,MPO,物料计划对象,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZPKG,包装材料,L,False,2021-08-06 04:10:50.356760+00:00
800,1,COMP,产品分配、采购,L,False,2021-08-06 04:10:50.356760+00:00
800,1,FHMI,生产资源/工具,L,False,2021-08-06 04:10:50.356760+00:00
800,1,IBAU,维护装配,L,False,2021-08-06 04:10:50.356760+00:00
800,1,NLAG,非商店商品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ZSER,SP: 服务,L,False,2021-08-06 04:10:50.356760+00:00
800,1,COUP,商家优惠券,L,False,2021-08-06 04:10:50.356760+00:00
800,1,HERS,制造商部件,L,False,2021-08-06 04:10:50.356760+00:00
800,1,PROD,产品组,L,False,2021-08-06 04:10:50.356760+00:00
800,1,EPA,设备包装,L,False,2021-08-06 04:10:50.356760+00:00
800,1,CBAU,兼容设备,L,False,2021-08-06 04:10:50.356760+00:00
800,1,MSFT,成品样品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,WERB,商品目录,L,False,2021-08-06 04:10:50.356760+00:00
800,1,LGUT,空(零售),L,False,2021-08-06 04:10:50.356760+00:00
800,1,BLG,BLG 空 外部,L,False,2021-08-06 04:10:50.356760+00:00
800,1,DIEN,服务,L,False,2021-08-06 04:10:50.356760+00:00
800,1,NOF1,非食品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,ERSA,备件,L,False,2021-08-06 04:10:50.356760+00:00
800,1,PROC,过程商品,L,False,2021-08-06 04:10:50.356760+00:00
800,1,WERT,只有价值物料,L,False,2021-08-06 04:10:50.356760+00:00
800,1,PLAN,贸易货物 (计划),L,False,2021-08-06 04:10:50.356760+00:00
