mandt,rldnr,gcurr,class,typ,trcur,lccur,rccur,occur,quant,atqnt,tab,rcopy,shkz,glsip,vortrag,dldnr,xdldnr,curt1,curt2,curt3,v2post,lctyp,fix,post,rollup,depld,appl,subappl,komp,gzledger,exit,kldnr,logsys,valutyp,gcompress,splitmethd,date_det_poper,glflex,xleading,orient_ledger,avg_rollup,xcash_ledger,operation_flag,is_deleted,recordstamp
0,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
800,3A,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,,CO,RCL,0.0,,,3B,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,3B,,A,0.0,X,X,X,,X,,COFIT,,X,,,,,10,30.0,,,,X,X,,X,CO,RCL,0.0,,,3A,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
0,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,8A,,,0.0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90.0,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
