mandt,langu,rldnr,name,operation_flag,is_deleted,recordstamp
100,D,3A,Abstimmledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,7R,Retail Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,7R,Retail Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9J,HHM Finanzplan,I,False,2022-04-21 15:18:15.197176+00:00
100,E,0L,Leading Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,1L,Leading Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9F,FM Payment Budget,I,False,2022-04-21 15:18:15.197176+00:00
100,D,90,Grants Management,I,False,2022-04-21 15:18:15.197176+00:00
100,E,90,Grants Management,I,False,2022-04-21 15:18:15.197176+00:00
100,D,0L,führendes Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,1L,führendes Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9F,HHM Zahlungsbudget,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9J,FM Financial Budget,I,False,2022-04-21 15:18:15.197176+00:00
100,E,LR,Local rollup ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,10,Consolidation Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,1C,Consolidation Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,8E,Export Ledger for 8A,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9G,FM Commitment Budget,I,False,2022-04-21 15:18:15.197176+00:00
100,D,8C,Rollup Profit Center,I,False,2022-04-21 15:18:15.197176+00:00
100,E,8C,Rollup Profit Center,I,False,2022-04-21 15:18:15.197176+00:00
100,D,10,Konsolidierungsledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,1C,Konsolidierungsledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,LR,Lokales Rollup-Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,3A,Reconciliation Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,8A,Profit-Center-Rechnung,I,False,2022-04-21 15:18:15.197176+00:00
100,D,8E, Export -Ledger für 8A,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9G,HHM Verpflichtungsbudget,I,False,2022-04-21 15:18:15.197176+00:00
100,E,1M,Management consolidation,I,False,2022-04-21 15:18:15.197176+00:00
100,E,8A,Profit Center Accounting,I,False,2022-04-21 15:18:15.197176+00:00
100,D,00,Sachkonto-Verkehrszahlen,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9C,Controlling Haushaltsmgm.,I,False,2022-04-21 15:18:15.197176+00:00
100,D,1M,Management-Konsolidierung,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9M,BEE Ledger: Zahlungsbudget,I,False,2022-04-21 15:18:15.197176+00:00
100,E,0R,Export Ledger for Ledger 0,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9I,FM CB Availability Control,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9H,FM PB Availability Control,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9D,Funds Mgmt Workflow Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9K,GM PB Availability Control,I,False,2022-04-21 15:18:15.197176+00:00
100,D,3J,ISSR: Meldewesen DE Erfolg,I,False,2022-04-21 15:18:15.197176+00:00
100,E,3I,ISSR: Reporting DE Balance,I,False,2022-04-21 15:18:15.197176+00:00
100,E,3K,ISSR: Reporting DE Payable,I,False,2022-04-21 15:18:15.197176+00:00
100,D,0F,Umsatzkostenverfahren-Buch,I,False,2022-04-21 15:18:15.197176+00:00
100,D,0R,Export-Ledger für Ledger 0,I,False,2022-04-21 15:18:15.197176+00:00
100,D,3I,ISSR: Meldewesen DE Bestand,I,False,2022-04-21 15:18:15.197176+00:00
100,E,L0,Local direct posting ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,09,Zusatzledger Konsolidierung,I,False,2022-04-21 15:18:15.197176+00:00
100,E,9C,Funds Management Controlling,I,False,2022-04-21 15:18:15.197176+00:00
100,E,G0,Global direct posting ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,L0,Lokales Durchbuchungs-Ledger,I,False,2022-04-21 15:18:15.197176+00:00
100,D,9D,Workflowledger Haushaltsmgm.,I,False,2022-04-21 15:18:15.197176+00:00
