mandt,waers,isocd,altwr,gdatu,xprimary,operation_flag,is_deleted,recordstamp
0,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
1,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
50,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
100,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
200,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
250,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
0,ADP,ADP,20,,,L,False,2022-01-31 20:43:51.581515+00:00
1,ADP,ADP,20,,,L,False,2022-01-31 20:43:51.581515+00:00
50,ADP,ADP,20,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ADP,ADP,20,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ADP,ADP,20,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ADP,ADP,20,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AFA,AFA,4,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AFA,AFA,4,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AFA,AFA,4,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AFA,AFA,4,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AFA,AFA,4,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AFA,AFA,4,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
0,ALL,ALL,8,,,L,False,2022-01-31 20:43:51.581515+00:00
1,ALL,ALL,8,,,L,False,2022-01-31 20:43:51.581515+00:00
50,ALL,ALL,8,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ALL,ALL,8,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ALL,ALL,8,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ALL,ALL,8,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AMD,AMD,51,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AMD,AMD,51,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AMD,AMD,51,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AMD,AMD,51,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AMD,AMD,51,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AMD,AMD,51,,,L,False,2022-01-31 20:43:51.581515+00:00
0,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
1,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
50,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ANG,ANG,532,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AOA,AOA,973,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AON,AON,24,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AON,AON,24,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AON,AON,24,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AON,AON,24,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AON,AON,24,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AON,AON,24,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AOR,AOR,982,,,L,False,2022-01-31 20:43:51.581515+00:00
0,ARS,ARS,32,,,L,False,2022-01-31 20:43:51.581515+00:00
1,ARS,ARS,32,,,L,False,2022-01-31 20:43:51.581515+00:00
50,ARS,ARS,32,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ARS,ARS,32,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ARS,ARS,32,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ARS,ARS,32,,,L,False,2022-01-31 20:43:51.581515+00:00
0,ATS,ATS,40,,,L,False,2022-01-31 20:43:51.581515+00:00
1,ATS,ATS,40,,,L,False,2022-01-31 20:43:51.581515+00:00
50,ATS,ATS,40,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ATS,ATS,40,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ATS,ATS,40,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ATS,ATS,40,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AUD,AUD,36,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AUD,AUD,36,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AUD,AUD,36,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AUD,AUD,36,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AUD,AUD,36,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AUD,AUD,36,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AWG,AWG,533,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AZM,AZM,31,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AZM,AZM,31,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AZM,AZM,31,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AZM,AZM,31,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AZM,AZM,31,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AZM,AZM,31,,,L,False,2022-01-31 20:43:51.581515+00:00
0,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
1,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
50,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AZN,AZN,944,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BAM,BAM,977,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BBD,BBD,52,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BBD,BBD,52,,,L,False,2022-01-31 20:43:51.581515+00:00
50,BBD,BBD,52,,,L,False,2022-01-31 20:43:51.581515+00:00
100,BBD,BBD,52,,,L,False,2022-01-31 20:43:51.581515+00:00
200,BBD,BBD,52,,,L,False,2022-01-31 20:43:51.581515+00:00
250,BBD,BBD,52,,,L,False,2022-01-31 20:43:51.581515+00:00
0,BDT,BDT,50,,,L,False,2022-01-31 20:43:51.581515+00:00
1,BDT,BDT,50,,,L,False,2022-01-31 20:43:51.581515+00:00
