mandt,kurst,fcurr,tcurr,gdatu,ffact,tfact,abwct,abwga,operation_flag,is_deleted,recordstamp
200,M,VND,USD,79819898,1.0,1.0,,,I,False,2022-02-09 07:12:11.285269+00:00
200,M,VND,EUR,79819898,1.0,1.0,,,I,False,2022-02-09 07:17:31.398679+00:00
250,M,VND,EUR,79819898,1.0,1.0,,,I,False,2022-02-09 07:19:58.661302+00:00
250,M,VND,USD,79819898,1.0,1.0,,,I,False,2022-02-09 07:19:58.661302+00:00
200,M,CNY,EUR,79849898,1.0,1.0,,,I,False,2022-02-08 06:53:47.657414+00:00
200,M,CNY,USD,79849898,1.0,1.0,,,I,False,2022-02-08 06:53:47.657414+00:00
250,M,CNY,EUR,79849898,1.0,1.0,,,I,False,2022-02-08 06:57:33.449992+00:00
250,M,CNY,USD,79849898,1.0,1.0,,,I,False,2022-02-08 06:57:33.449992+00:00
50,M,EUR,USD,79899898,1.0,1.0,,,I,False,2022-03-08 12:55:25.950606+00:00
50,M,USD,EUR,79899898,1.0,1.0,,,I,False,2022-03-08 12:54:44.294083+00:00
50,M,EUR,USD,81999898,1.0,1.0,,,U,False,2022-02-15 17:02:37.352572+00:00
50,M,EUR,USD,81999898,1.0,1.0,,,U,False,2022-02-15 17:03:16.268294+00:00
50,M,USD,EUR,81999898,1.0,1.0,,,U,False,2022-02-16 13:54:21.404047+00:00
200,M,EUR,USD,79849898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,EUR,USD,79849898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,USD,EUR,79849898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,USD,EUR,79849898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,BHD,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,OMR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,BHD,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,OMR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,BHD,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,OMR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,BHD,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,OMR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,BHD,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,OMR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,BHD,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,OMR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,AED,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,AED,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,AED,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,AED,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,AED,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,AED,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,QAR,CNY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,QAR,EUR,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,QAR,GBP,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,QAR,JPY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,QAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,QAR,USD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,QAR,CNY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,QAR,EUR,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,QAR,GBP,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,QAR,JPY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,QAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,QAR,USD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,QAR,CNY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,QAR,EUR,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,QAR,GBP,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,QAR,JPY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,QAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,QAR,USD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,CNY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,EUR,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,GBP,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,JPY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,USD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,CNY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,EUR,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,GBP,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,JPY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,USD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,CNY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,EUR,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,GBP,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,JPY,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,USD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
0,M,SAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
1,M,SAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
50,M,SAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,SAR,KWD,79989898,1.0,1.0,,,L,False,2022-01-31 20:43:51.824141+00:00
