mandt,kurst,fcurr,tcurr,gdatu,ukurs,ffact,tfact,operation_flag,is_deleted,recordstamp
50,M,CAD,JPY,79779898,94.22962,,,I,False,2022-03-18 07:46:03.702684+00:00
50,M,EUR,CAD,79779898,1.39727,,,I,False,2022-03-18 07:41:52.732309+00:00
50,M,EUR,JPY,79779898,131.69002,,,I,False,2022-03-18 08:03:02.435044+00:00
50,M,JPY,CAD,79779898,1.06123,,,I,False,2022-03-18 07:49:48.601737+00:00
50,M,JPY,CAD,79779898,1.06124,,,U,False,2022-03-18 07:52:02.582946+00:00
50,M,USD,JPY,79779782,,,,D,True,2022-03-18 07:04:47.571970+00:00
50,M,USD,JPY,79779898,118.85241,,,I,False,2022-03-18 07:04:25.365511+00:00
50,M,USD,JPY,79779782,114.9425,,,I,False,2022-02-17 08:15:03.980564+00:00
50,M,USD,CAD,79779782,1.26582,,,I,False,2022-02-17 07:36:04.450635+00:00
50,M,USD,JPY,79779898,118.85241,,,I,False,2022-03-18 09:32:49.133746+00:00
50,M,USD,CAD,79779782,,,,D,True,2022-03-18 06:39:24.849847+00:00
50,M,USD,JPY,79779898,,,,D,True,2022-03-18 07:12:49.630403+00:00
50,M,USD,CAD,79779898,1.26582,,,I,False,2022-03-18 06:39:15.008751+00:00
50,M,USD,CAD,79779898,1.26011,,,U,False,2022-03-18 06:48:49.171706+00:00
100,P,EUR,JPY,79989898,108.5,,,I,False,2022-04-21 15:21:05.045026+00:00
100,P,USD,JPY,79989898,115.0,,,I,False,2022-04-21 15:21:05.045026+00:00
100,M,USD,SGD,79989898,1.736,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,USDN,81999898,1.0,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,GBP,79989898,-1.5,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,MTL,79989898,0.328,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,LVL,79989898,0.529,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,NZD,79989898,-0.44203,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,TRY,79989898,1.31,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,RON,79989898,2.7128,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,HUF,79989898,284.0,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,THB,79989898,43.82,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,KZT,79989898,132.0,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,HRK,79989898,8.1,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,SIT,79989898,226.9,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,MYR,79989898,3.8,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,IDR,79989898,9.5,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,TRL,79989898,6.656,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,TWD,79989898,32.94,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,SEK,79989898,9.4344,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,HKD,79989898,7.8,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,PHP,79989898,51.5,,,I,False,2022-04-21 15:21:03.534689+00:00
100,M,USD,ROL,79989898,25.34,,,I,False,2022-04-21 15:21:03.534689+00:00
