mandt,spras,waers,ltext,ktext,operation_flag,is_deleted,recordstamp
0,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
1,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
50,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
100,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
200,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
250,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
0,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
1,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
50,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
100,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
200,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
250,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
0,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
1,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
50,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
100,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
200,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
250,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
0,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
1,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
50,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
100,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
200,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
250,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
0,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
1,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
50,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
100,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
200,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
250,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
0,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
1,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
