mandt,vbeln,erdat,erzet,ernam,angdt,bnddt,audat,vbtyp,trvog,auart,augru,gwldt,submi,lifsk,faksk,netwr,waerk,vkorg,vtweg,spart,vkgrp,vkbur,gsber,gskst,guebg,gueen,knumv,vdatu,vprgr,autlf,vbkla,vbklt,kalsm,vsbed,fkara,awahr,ktext,bstnk,bsark,bstdk,bstzd,ihrez,bname,telf1,mahza,mahdt,kunnr,kostl,stafo,stwae,aedat,kvgr1,kvgr2,kvgr3,kvgr4,kvgr5,knuma,kokrs,ps_psp_pnr,kurst,kkber,knkli,grupp,sbgrp,ctlpc,cmwae,cmfre,cmnup,cmngv,amtbl,hityp_pr,abrvw,abdis,vgbel,objnr,bukrs_vf,taxk1,taxk2,taxk3,taxk4,taxk5,taxk6,taxk7,taxk8,taxk9,xblnr,zuonr,vgtyp,kalsm_ch,agrzr,aufnr,qmnum,vbeln_grp,scheme_grp,abruf_part,abhod,abhov,abhob,rplnr,vzeit,stceg_l,landtx,xegdr,enqueue_grp,dat_fzau,fmbdat,vsnmr_v,handle,proli,cont_dg,crm_guid,upd_tmstmp,msr_id,tm_ctrl_key,handoverloc,dataaging,glo_log_ref1_hd,psm_budat,fsh_kvgr6,fsh_kvgr7,fsh_kvgr8,fsh_kvgr9,fsh_kvgr10,fsh_rereg,fsh_cq_check,fsh_vrsn_status,fsh_transaction,fsh_vas_cg,fsh_candate,fsh_ss,fsh_os_stg_change,swenr,smenr,phase,mtlaur,stage,hb_cont_reason,hb_expdate,hb_resdate,mill_appl_id,tas,betc,mod_allow,cancel_allow,pay_method,bpn,rep_freq,logsysb,kalcd,multi,sppaym,wtysc_clm_hdr,operation_flag,is_deleted,recordstamp
250,60000000,2022-01-19,10:10:42,MALVIYAH,,,2022-01-19,H,0,RE,101.0,,,,,97.0,USD,US10,10,02,,,,,,,20,2022-01-19,1,,,,ZUS001,1,RE,100,,,,,,,,,,,0000000002,,,USD,2022-01-19,,,,,,,CYMB,,,,,,,,,,,,,A,,,90000006.0,,USA1,1.0,1.0,1.0,,,,,,,PO1,90000006.0,M,,,,,,,,,,,,,,US,,,,2022-01-19,,GW4AW00F7joUeW7fJ2K5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,60000003,2022-02-07,05:40:21,MALVIYAH,,,2022-02-06,H,0,RE,102.0,,,,,97.0,USD,US10,10,03,,,,,,,86,2022-02-07,1,,,,ZUS001,1,RE,100,,,,,,,,,,,0000000002,,,USD,2022-02-07,,,,,,,CYMB,,,,,,,,,,,,,A,,,90000041.0,,USA1,1.0,1.0,1.0,,,,,,,PO,90000041.0,M,,,,,,,,,,,,,,US,,,,2022-02-07,,GW4AW00F7joX{muUjSI5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,60000005,2022-02-23,18:16:50,SIBASISM,,,2022-02-23,H,0,RE,101.0,,,,,19.4,USD,US10,10,02,,US21,,,,,103,2022-02-23,1,,,,ZUS001,1,RE,100,,,,,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,90000051.0,,USA1,1.0,1.0,1.0,,,,,,,PO10,90000051.0,M,,,,,,,,,,,,,,US,,,,2022-02-23,,GW4AW00F7jobcfYVBvY5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,60000001,2022-01-20,12:13:35,SUMITSAXENA,,,2022-01-20,H,0,RE,102.0,,,,,985.0,EUR,EU10,10,02,,,,,,,27,2022-01-20,1,,,,ZEU001,3,RE,100,,,,,,,,,,,0000000003,,,EUR,2022-01-20,,,,,,,CYMB,,,,,,,,,,,,,A,,,90000008.0,,EU01,0.0,,,,,,,,,PO,90000008.0,M,,,,,,,,,,,,,,NL,,,,2022-01-20,,GW4AW00F7joUlKo6y{l5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,60000004,2022-02-07,06:14:13,MALVIYAH,,,2022-02-06,H,0,RE,101.0,,,,,98.5,EUR,EU10,10,03,,,,,,,90,2022-02-07,1,,,,ZEU001,3,RE,100,,,,,,,,,,,0000000003,,,EUR,2022-02-07,,,,,,,CYMB,,,,,,,,,,,,,A,,,90000043.0,,EU01,0.0,,,,,,,,,P,90000043.0,M,,,,,,,,,,,,,,NL,,,,2022-02-07,,GW4AW00F7joX{wM35415Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,7,2022-01-14,16:43:40,MALVIYAH,,,2022-01-14,C,0,TA,,,,,,8.01,EUR,EU10,10,02,,,,,,,7,2022-01-14,1,,,,ZEU001,1,F2,100,,PO1,,2022-01-14,,,,,,,0000000001,,,EUR,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,EU01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-14,,GW4AW00F7joTgoG20JTbAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,6,2022-01-14,14:35:23,MALVIYAH,,,2022-01-14,C,0,TA,,,,,,9.7,USD,US10,10,02,,,,,,,6,2022-01-14,1,,,,ZUS001,1,F2,100,,PO1,,2022-01-14,,,,,,,0000000002,,,USD,2022-01-17,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-14,,GW4AW00F7joTgEQZUrK5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,8,2022-01-18,10:29:47,MALVIYAH,,,2022-01-18,C,0,TA,,,,,,9.7,USD,US10,10,02,,,,,,,9,2022-01-18,1,,,,ZUS001,1,F2,100,,PO1,,2022-01-18,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-18,,GW4AW00F7joUYJ7YQ9J5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,9,2022-01-18,12:53:22,MALVIYAH,,,2022-01-18,C,0,TA,,,,,,9.7,USD,US10,10,02,,,,,,,11,2022-01-18,1,,,,ZUS001,1,F2,100,,PO1,,2022-01-18,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-18,,GW4AW00F7joUYxF2AFp5Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
250,10,2022-01-18,13:19:59,MALVIYAH,,,2022-01-18,C,0,TA,,,,,,9.7,USD,US10,10,02,,,,,,,15,2022-01-18,1,,,,ZUS001,1,F2,100,,PO1,,2022-01-18,,,,,,,0000000002,,,USD,,,,,,,,CYMB,,,,,,,,,,,,,A,,,,,USA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-18,,GW4AW00F7joUZ2ghkG7bAm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-03-26 02:40:14.167739+00:00
