mandt,vbeln,posnr,matnr,matwa,pmatn,charg,matkl,arktx,pstyv,posar,lfrel,fkrel,uepos,grpos,abgru,prodh,zwert,zmeng,zieme,umziz,umzin,meins,smeng,ablfz,abdat,absfz,posex,kdmat,kbver,kever,vkgru,vkaus,grkor,fmeng,uebtk,uebto,untto,faksp,atpkz,rkfkf,spart,gsber,netwr,waerk,antlf,kztlf,chspl,kwmeng,lsmeng,kbmeng,klmeng,vrkme,umvkz,umvkn,brgew,ntgew,gewei,volum,voleh,vbelv,posnv,vgbel,vgpos,voref,upflu,erlre,lprio,werks,lgort,vstel,route,stkey,stdat,stlnr,stpos,awahr,erdat,ernam,erzet,taxm1,taxm2,taxm3,taxm4,taxm5,taxm6,taxm7,taxm8,taxm9,vbeaf,vbeav,vgref,netpr,kpein,kmein,shkzg,sktof,mtvfp,sumbd,kondm,ktgrm,bonus,provg,eannr,prsok,bwtar,bwtex,xchpf,xchar,lfmng,stafo,wavwr,kzwi1,kzwi2,kzwi3,kzwi4,kzwi5,kzwi6,stcur,aedat,ean11,fixmg,prctr,mvgr1,mvgr2,mvgr3,mvgr4,mvgr5,kmpmg,sugrd,sobkz,vpzuo,paobjnr,ps_psp_pnr,aufnr,vpmat,vpwrk,prbme,umref,knttp,kzvbr,sernr,objnr,abgrs,bedae,cmpre,cmtfg,cmpnt,cmkua,cuobj,cuobj_ch,cepok,koupd,serail,anzsn,nachl,magrv,mprok,vgtyp,prosa,uepvw,kalnr,klvar,sposn,kowrr,stadat,exart,prefe,knumh,clint,chmvs,stlty,stlkn,stpoz,stman,zschl_k,kalsm_k,kalvar,kosch,upmat,ukonm,mfrgr,plavo,kannr,cmpre_flt,abfor,abges,j_1bcfop,j_1btaxlw1,j_1btaxlw2,j_1btxsdc,wktnr,wktps,skopf,kzbws,wgru1,wgru2,knuma_pi,knuma_ag,kzfme,lstanr,techs,mwsbp,berid,pctrf,logsys_ext,j_1btaxlw3,j_1btaxlw4,j_1btaxlw5,stockloc,sloctype,msr_ret_reason,msr_refund_code,msr_approv_block,nrab_knumh,trmrisk_relevant,sgt_rcat,handoverloc,handoverdate,handovertime,tc_aut_det,manual_tc_reason,fiscal_incentive,tax_subject_st,fiscal_incentive_id,spcsto,dataaging,revacc_refid,revacc_reftype,session_creation_date,session_creation_time,glo_log_ref1_it,bev1_srfund,aufpl_olc,aplzl_olc,ferc_ind,fsh_season_year,fsh_season,fsh_collection,fsh_theme,fsh_crsd,fsh_searef,fsh_candate,fsh_psm_pfm_split,fsh_vas_rel,fsh_vas_prnt_id,fsh_transaction,fsh_item_group,fsh_item,fsh_vasref,fsh_grid_cond_rec,fsh_pqr_uepos,kostl,fonds,fistl,fkber,grant_nbr,budget_pd,iuid_relevant,mill_se_gposn,prs_objnr,prs_sd_spsnr,prs_work_period,tas,betc,mod_allow,cancel_allow,pay_method,bpn,rep_freq,fmfgus_key,pargb,aufpl_oaa,aplzl_oaa,wrf_charstc1,wrf_charstc2,wrf_charstc3,arsnum,arspos,wtysc_clmitem,operation_flag,is_deleted,recordstamp
800,15353,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,,USD,9.0,,,32.0,32.0,,,ST,1.0,1.0,134.4,134.4,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-05-27,C5162971,10:01:39,,,,,,,,,,,,,,1.0,ST,,X,,,,,,,,X,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,X,1.0,0,0,,,,,,,,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:15:37.060027+00:00
800,15146,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,56444.0,USD,9.0,,,137.0,137.0,,,ST,1.0,1.0,575.4,575.4,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-10,C5162971,05:46:47,,,,,,,,,,,,,412.0,1.0,ST,,X,,,,,,,,X,,,,,,,,56444.0,56444.0,56444.0,,,,1.0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,412.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,412.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:15:24.757374+00:00
800,15136,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,64820.0,USD,9.0,,,140.0,140.0,,,ST,1.0,1.0,588.0,588.0,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-09,C5162971,08:25:00,,,,,,,,,,,,,463.0,1.0,ST,,X,,,,,,,,X,,,,,,,,64820.0,64820.0,64820.0,,,,1.0,2013-04-09,,,,,,,,,,,,,0,0,,,,,,,,,,,,463.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,463.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:16:05.057293+00:00
800,15133,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,45954.0,USD,9.0,,,138.0,138.0,,,ST,1.0,1.0,579.6,579.6,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-09,C5162971,10:59:51,,,,,,,,,,,,,333.0,1.0,ST,,X,,,,,,,,X,,,,,,,,45954.0,45954.0,45954.0,,,,1.0,2013-04-10,,,,,,,,,,,,,0,0,,,,,,,,,,,,333.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,333.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:15:59.561034+00:00
800,15141,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,107460.0,USD,9.0,,,180.0,180.0,,,ST,1.0,1.0,756.0,756.0,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-10,C5162971,05:37:02,,,,,,,,,,,,,597.0,1.0,ST,,X,,,,,,,,X,,,,,,,,107460.0,107460.0,107460.0,,,,1.0,2013-04-10,,,,,,,,,,,,,0,0,,,,,,,,,,,,597.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,597.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:16:05.057293+00:00
800,15135,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,46320.0,USD,9.0,,,60.0,60.0,,,ST,1.0,1.0,252.0,252.0,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-09,C5162971,08:22:46,,,,,,,,,,,,,772.0,1.0,ST,,X,,,,,,,,X,,,,,,,,46320.0,46320.0,46320.0,,,,1.0,2013-04-09,,,,,,,,,,,,,0,0,,,,,,,,,,,,772.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,772.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:16:05.057293+00:00
800,15134,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,120460.0,USD,9.0,,,190.0,190.0,,,ST,1.0,1.0,798.0,798.0,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-09,C5162971,08:15:32,,,,,,,,,,,,,634.0,1.0,ST,,X,,,,,,,,X,,,,,,,,120460.0,120460.0,120460.0,,,,1.0,2013-04-09,,,,,,,,,,,,,0,0,,,,,,,,,,,,634.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,634.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:16:05.057293+00:00
800,15139,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,106344.0,USD,9.0,,,168.0,168.0,,,ST,1.0,1.0,705.6,705.6,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-10,C5162971,04:07:44,,,,,,,,,,,,,633.0,1.0,ST,,X,,,,,,,,X,,,,,,,,106344.0,106344.0,106344.0,,,,1.0,2013-04-10,,,,,,,,,,,,,0,0,,,,,,,,,,,,633.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,633.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:16:05.057293+00:00
800,15138,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,189600.0,USD,9.0,,,300.0,300.0,,,ST,1.0,1.0,1260.0,1260.0,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-09,C5162971,11:15:07,,,,,,,,,,,,,632.0,1.0,ST,,X,,,,,,,,X,,,,,,,,189600.0,189600.0,189600.0,,,,1.0,2013-04-09,,,,,,,,,,,,,0,0,,,,,,,,,,,,632.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,632.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:16:05.057293+00:00
800,15145,10,000000000000002733,000000000000002733,,,002,Notebook Basic 15,TAK,,,A,0,0,,1700010000000110.0,,,ST,1.0,1.0,ST,,,,,,,,,,,0,,,,,,,,0,,102204.0,USD,9.0,,,167.0,167.0,,,ST,1.0,1.0,701.4,701.4,KG,,,,0,,0,,,,1,,,,,,,,,100,2013-04-10,C5162971,05:43:42,,,,,,,,,,,,,612.0,1.0,ST,,X,,,,,,,,X,,,,,,,,102204.0,102204.0,102204.0,,,,1.0,2013-04-10,,,,,,,,,,,,,0,0,,,,,,,,,,,,612.0,,X,1.0,0,0,,,,,,,A,,,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,612.0,,,,,,,,0,,,,,,,,,,,,,T90CLNT090,,,,,,,,,,,,,,,,,,,,0,,,,2020-01-03,01:01:10,,,0,0,,,,,,,,,,,0,,0,0,,,0,,,,,,,,0,,0,0,,,,,,,,,,0,0,,,,0,0,,L,False,2021-08-18 02:16:05.057293+00:00
