MANDT,VBELN,POSNR,ETENR,ETTYP,LFREL,EDATU,EZEIT,WMENG,BMENG,VRKME,LMENG,MEINS,BDDAT,BDART,PLART,VBELE,POSNE,ETENE,RSDAT,IDNNR,BANFN,BSART,BSTYP,WEPOS,REPOS,LRGDT,PRGRS,TDDAT,MBDAT,LDDAT,WADAT,CMENG,LIFSP,GRSTR,ABART,ABRUF,ROMS1,ROMS2,ROMS3,ROMEI,RFORM,UMVKZ,UMVKN,VERFP,BWART,BNFPO,ETART,AUFNR,PLNUM,SERNR,AESKD,ABGES,MBUHR,TDUHR,LDUHR,WAUHR,AULWE,HANDOVERDATE,HANDOVERTIME,DATAAGING,FSH_RALLOC_QTY,FSH_OS_ID,FSH_PQR_RC,MBDAT_DRS,OPERATION_FLAG,IS_DELETED,RECORDSTAMP,AMENG
50,175,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-27 14:46:40.479073+00:00,100.0
50,175,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-27 14:46:40.479073+00:00,250.5
50,176,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-27 14:47:00.553391+00:00,88.25
50,176,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-02-27 14:47:00.553391+00:00,300.0
50,628,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-08 05:42:12.287316+00:00,175.75
50,628,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-08 05:42:12.287316+00:00,60.0
50,629,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-08 06:31:50.035336+00:00,430.0
50,629,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-08 06:31:50.035336+00:00,95.5
50,640,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-08 14:50:31.538602+00:00,210.0
50,680,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-10 07:55:54.160857+00:00,540.0
50,680,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-10 07:55:54.160857+00:00,100.0
50,719,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-17 18:12:56.959634+00:00,250.5
50,717,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-19 09:32:23.106574+00:00,88.25
50,717,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-19 09:32:23.106574+00:00,300.0
50,718,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-19 09:32:41.531355+00:00,175.75
50,718,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-19 09:32:41.531355+00:00,60.0
50,768,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-22 14:51:00.914143+00:00,430.0
50,768,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-22 14:51:00.914143+00:00,95.5
800,16043,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,210.0
800,16043,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,540.0
800,16048,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,100.0
800,16048,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,250.5
800,16049,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,88.25
800,16049,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,300.0
800,16050,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,175.75
800,16050,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,60.0
800,16060,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,430.0
800,16060,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,95.5
800,16061,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,210.0
800,16061,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,540.0
800,16062,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,100.0
800,16062,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,250.5
800,16063,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,88.25
800,16063,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,300.0
800,16067,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,175.75
800,16067,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,60.0
800,16068,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,430.0
800,16068,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,95.5
800,16069,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,210.0
800,16069,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,540.0
800,16073,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,100.0
800,16073,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,250.5
800,16074,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,88.25
800,16074,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,300.0
800,16075,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,175.75
800,16075,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,60.0
800,16076,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,430.0
800,16076,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,95.5
800,16077,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-04-06 06:54:10.694039+00:00,210.0
800,16077,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,540.0
800,16084,10,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,D,True,2021-05-19 21:29:08.205583+00:00,100.0
