mandt,vbeln,posnr,parvw,kunnr,lifnr,pernr,parnr,adrnr,ablad,land1,adrda,xcpdk,hityp,prfre,bokre,histunr,knref,lzone,hzuor,stceg,parvw_ff,adrnp,kale,operation_flag,is_deleted,recordstamp
50,6951,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
50,6952,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
50,6953,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
50,90006419,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6951,,AG,1000054,,,,23140,,US,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6952,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6953,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6954,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6955,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6956,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6957,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6958,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6959,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6960,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6961,,AG,1000057,,,,23149,,DE,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6962,,AG,1000057,,,,23149,,DE,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6963,,AG,1000057,,,,23149,,DE,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6964,,AG,1000057,,,,23149,,DE,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6965,,AG,1000058,,,,23152,,JP,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,6966,,AG,1000058,,,,23152,,JP,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,80005907,,AG,1000054,,,,23140,,US,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006419,,AG,1000054,,,,23140,,US,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006420,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006421,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006422,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006423,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006424,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006425,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006426,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006427,,AG,1000056,,,,23146,,CA,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006428,,AG,1000057,,,,23149,,DE,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
100,90006429,,AG,1000057,,,,23149,,DE,D,,,,,,,1.0,,,,,,I,False,2022-04-26 14:35:09.385347+00:00
50,90006416,,AG,1000000,,,,23012,,US,D,,,,,,,1.0,,,,,,I,False,2022-04-14 16:36:48.491600+00:00
100,1,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,2,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,3,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,4,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,5,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,6,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,9,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,10,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,11,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,12,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,13,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,14,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,15,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,16,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,17,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:29.555809+00:00
100,80000000,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000001,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000002,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000003,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000004,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000005,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000008,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000009,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000010,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
100,80000011,,AG,1000000,,,,23012,,US,D,,,,,,,,,,,,,I,False,2022-04-21 15:31:38.399786+00:00
