mandt,vbeln,fkart,fktyp,vbtyp,waerk,vkorg,vtweg,kalsm,knumv,vsbed,fkdat,belnr,gjahr,poper,konda,kdgrp,bzirk,pltyp,inco1,inco2,expkz,rfbsk,mrnkz,kurrf,cpkur,valtg,valdt,zterm,zlsch,ktgrd,land1,regio,counc,cityc,bukrs,taxk1,taxk2,taxk3,taxk4,taxk5,taxk6,taxk7,taxk8,taxk9,netwr,zukri,ernam,erzet,erdat,stafo,kunrg,kunag,maber,stwae,exnum,stceg,aedat,sfakn,knuma,fkart_rl,fkdat_rl,kurst,mschl,mansp,spart,kkber,knkli,cmwae,cmkuf,hityp_pr,bstnk_vf,vbund,fkart_ab,kappl,landtx,stceg_h,stceg_l,xblnr,zuonr,mwsbk,logsys,fksto,xegdr,rplnr,lcnum,j_1afitp,kurrf_dat,akwae,akkur,kidno,bvtyp,numpg,bupla,vkont,fkk_docstat,nrzas,spe_billing_ind,vtref,fk_source_sys,fktyp_crm,stgrd,vbtyp_ext,j_1tpbupl,incov,inco2_l,inco3_l,glo_log_ref1_hd,dpc_rel,mndid,pay_type,sepon,mndvg,sppaym,sppord,operation_flag,is_deleted,recordstamp
800,90036897,LR,R,3,DEM,1000,10,RVAA01,75530,,1998-12-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,283073.4,,MICHALSKY,11:18:50,2008-07-24,,1050,,,EUR,,,,,,LR,1998-12-31,,,,0,,,,,,,,,,,,,90036897,,45291.74,T90CLNT090,,,,,,1998-12-31,,,90036897,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036928,LR,R,3,EUR,1000,10,RVAA01,75561,,2002-06-30,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,500277.2,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2002-06-30,,,,0,,,,,,,,,,,,,90036928,,80044.35,T90CLNT090,,,,,,2002-06-30,,,90036928,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036901,LR,R,3,DEM,1000,10,RVAA01,75534,,1999-08-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,1404100.0,,MICHALSKY,11:18:50,2008-07-24,,1050,,,EUR,,,,,,LR,1999-08-31,,,,0,,,,,,,,,,,,,90036901,,224656.0,T90CLNT090,,,,,,1999-08-31,,,90036901,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036906,LR,R,3,DEM,1000,10,RVAA01,75539,,2000-06-30,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,1336330.0,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2000-06-30,,,,0,,,,,,,,,,,,,90036906,,213812.8,T90CLNT090,,,,,,2000-06-30,,,90036906,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036916,LR,R,3,EUR,1000,10,RVAA01,75549,,2001-05-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,887496.0,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2001-05-31,,,,0,,,,,,,,,,,,,90036916,,141999.36,T90CLNT090,,,,,,2001-05-31,,,90036916,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036920,LR,R,3,EUR,1000,10,RVAA01,75553,,2001-09-30,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,120564.0,,MICHALSKY,11:18:52,2008-07-24,,1050,,,EUR,,,,,,LR,2001-09-30,,,,0,,,,,,,,,,,,,90036920,,19290.24,T90CLNT090,,,,,,2001-09-30,,,90036920,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036952,LR,R,3,EUR,1000,10,RVAA01,75585,,2005-03-31,,0,0,,,,,,,,C,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,92215.8,,MICHALSKY,11:18:53,2008-07-24,,1050,,,EUR,,,,,,LR,2005-03-31,,,,0,,,,,,,,,,,,,90036952,,14754.53,T90CLNT090,,,,,,2005-03-31,,,90036952,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036967,LR,R,3,EUR,1000,10,RVAA01,75600,,2007-07-31,,0,0,,,,,,,,C,,1.0,,0,,0002,,,,,,,1000,,,,,,,,,,190517.6,,MICHALSKY,11:18:54,2008-07-24,,1050,,,EUR,,,,,,LR,2007-07-31,,,,0,,,,,,,,,,,,,90036967,,36198.34,T90CLNT090,,,,,,2007-07-31,,,90036967,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036909,LR,R,3,EUR,1000,10,RVAA01,75542,,2000-10-31,,0,0,,,,,,,,,,1.0,,0,,ZB01,,,,,,,1000,,,,,,,,,,73114.8,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2000-10-31,,,,0,,,,,,,,,,,,,90036909,,11698.37,T90CLNT090,,,,,,2000-10-31,,,90036909,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
800,90036905,LR,R,3,DEM,1000,10,RVAA01,75538,,2000-03-31,,0,0,,,,,,,,,,-1.95583,,0,,ZB01,,,,,,,1000,,,,,,,,,,1452280.0,,MICHALSKY,11:18:51,2008-07-24,,1050,,,EUR,,,,,,LR,2000-03-31,,,,0,,,,,,,,,,,,,90036905,,232364.8,T90CLNT090,,,,,,2000-03-31,,,90036905,,0,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-05-19 21:26:24.295236+00:00
