mandt,vbeln,posnr,uepos,fkimg,vrkme,umvkz,umvkn,meins,smeng,fklmg,lmeng,ntgew,brgew,gewei,volum,voleh,gsber,prsdt,fbuda,kursk,netwr,vbelv,posnv,vgbel,vgpos,vgtyp,aubel,aupos,auref,matnr,arktx,pmatn,charg,matkl,pstyv,posar,prodh,vstel,atpkz,spart,pospa,werks,aland,wkreg,wkcou,wkcty,taxm1,taxm2,taxm3,taxm4,taxm5,taxm6,taxm7,taxm8,taxm9,kowrr,prsfd,sktof,skfbp,kondm,ktgrm,kostl,bonus,provg,eannr,vkgrp,vkbur,spara,shkzg,ernam,erdat,erzet,bwtar,lgort,stafo,wavwr,kzwi1,kzwi2,kzwi3,kzwi4,kzwi5,kzwi6,stcur,uvprs,uvall,ean11,prctr,kvgr1,kvgr2,kvgr3,kvgr4,kvgr5,mvgr1,mvgr2,mvgr3,mvgr4,mvgr5,matwa,bonba,kokrs,paobjnr,ps_psp_pnr,aufnr,txjcd,cmpre,cmpnt,cuobj,cuobj_ch,koupd,uecha,xchar,abrvw,sernr,bzirk_auft,kdgrp_auft,konda_auft,lland_auft,mprok,pltyp_auft,regio_auft,vkorg_auft,vtweg_auft,abrbg,prosa,uepvw,autyp,stadat,fplnr,fpltr,aktnr,knuma_pi,knuma_ag,prefe,mwsbp,augru_auft,fareg,upmat,ukonm,cmpre_flt,abfor,abges,j_1arfz,j_1aregio,j_1agicd,j_1adtyp,j_1atxrel,j_1bcfop,j_1btaxlw1,j_1btaxlw2,j_1btxsdc,brtwr,wktnr,wktps,rplnr,kursk_dat,wgru1,wgru2,kdkg1,kdkg2,kdkg3,kdkg4,kdkg5,vkaus,j_1aindxp,j_1aidatep,kzfme,mwskz,vertt,vertn,sgtxt,delco,bemot,rrrel,akkur,wminr,vgbel_ex,vgpos_ex,logsys,vgtyp_ex,j_1btaxlw3,j_1btaxlw4,j_1btaxlw5,msr_id,msr_refund_code,msr_ret_reason,nrab_knumh,nrab_value,dispute_case,fund_usage_item,farr_reltype,claims_taxation,kurrf_dat_orig,vgtyp_ext,sgt_rcat,sgt_scat,glo_log_ref1_it,aufpl,aplzl,dpcnr,dcpnr,dpnrb,perop_beg,perop_end,fmfgus_key,fsh_season_year,fsh_season,fsh_collection,fsh_theme,fonds,fistl,fkber,grant_nbr,budget_pd,prs_work_period,pprctr,pargb,aufpl_oaa,aplzl_oaa,campaign,compreas,wrf_charstc1,wrf_charstc2,wrf_charstc3,operation_flag,is_deleted,recordstamp
800,90039677,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017916,50,J,16676.0,50,,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:42:05,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,I,False,2021-04-06 06:55:25.380364+00:00
800,90039677,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017916,50,J,16676.0,50,,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:42:05,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,L,False,2021-05-19 21:30:38.084266+00:00
800,90039678,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017917,50,J,16677.0,50,X,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:43:22,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,I,False,2021-04-06 06:55:25.380364+00:00
800,90039678,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017917,50,J,16677.0,50,X,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:43:22,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,L,False,2021-05-19 21:30:38.084266+00:00
800,90039680,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017919,50,J,16679.0,50,X,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:45:31,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,L,False,2021-05-19 21:30:38.084266+00:00
800,90039680,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017919,50,J,16679.0,50,X,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:45:31,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,I,False,2021-04-06 06:55:25.380364+00:00
800,90039681,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017920,50,J,16680.0,50,X,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:46:23,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,L,False,2021-05-19 21:30:38.084266+00:00
800,90039681,50,0,,,1.0,1.0,,,,,,,,,,,2015-03-19,2015-03-19,1.0,,,0,0080017920,50,J,16680.0,50,X,,,,,,TATX,B,,,,00,10,,US,CO,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,00,,C5189478,2015-03-19,02:46:23,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,0,0,,5102100301.0,,,0,0,,0,,,,,99.0,,US,,,WY,3020,30,,,,C,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2015-03-19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,I,False,2021-04-06 06:55:25.380364+00:00
800,90039532,10,0,1.0,EA,1.0,1.0,EA,,1.0,1.0,,,,,,,2014-05-01,2014-05-01,1.0,,,0,0000015973,10,2,,0,,PROD,2100000060,,,,DLN,,,,,00,10,,US,,,,1.0,,,,,,,,,,X,,,,,,,,,,,00,,I059441,2014-05-01,17:44:31,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,165836,0,,1516304501.0,,,0,0,,0,,,,,,1.0,US,,,IN,3000,10,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2014-05-01,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,L,False,2021-05-19 21:29:25.722817+00:00
800,90039532,10,0,1.0,EA,1.0,1.0,EA,,1.0,1.0,,,,,,,2014-05-01,2014-05-01,1.0,,,0,0000015973,10,2,,0,,PROD,2100000060,,,,DLN,,,,,00,10,,US,,,,1.0,,,,,,,,,,X,,,,,,,,,,,00,,I059441,2014-05-01,17:44:31,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2000,165836,0,,1516304501.0,,,0,0,,0,,,,,,1.0,US,,,IN,3000,10,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,2014-05-01,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,I,False,2021-04-06 06:55:04.491202+00:00
