mandt,vbeln,posnr,rfsta,rfgsa,besta,lfsta,lfgsa,wbsta,fksta,fksaa,absta,gbsta,kosta,lvsta,uvall,uvvlk,uvfak,uvprs,fkivp,uvp01,uvp02,uvp03,uvp04,uvp05,pksta,koqua,costa,cmppi,cmppj,uvpik,uvpak,uvwak,dcsta,rrsta,vlstp,fssta,lssta,pdsta,manek,hdall,ltsps,fsh_ar_stat_itm,mill_vs_vssta,operation_flag,is_deleted,recordstamp
800,11750,13,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,11750,12,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,11750,16,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,16375,100,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,12360,70,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,11732,13,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,16375,110,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,16375,80,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,11750,14,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,13090,11,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,15811,70,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,12360,90,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,16375,90,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,11750,17,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,12360,80,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,14971,10000,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,16375,70,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,12360,120,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,11732,12,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,15817,90,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,12360,100,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,12360,110,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,15817,80,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,15817,70,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,11750,15,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
800,12360,130,,,,,,,,,A,,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53.427856+00:00
200,70000107,700007,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,18175,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000098,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5730,80,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,11657,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17544,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700012,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,11657,140,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17552,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700003,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,16425,23,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700005,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
